task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ARE,HEPG2,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,247,124,978,0,True,True,-0.8456831863076104,True,0.5182778690692932,1.0365557381385864,False,False,1,3,42,42,1,4.7596349639356106e-09,0.4895221986677306,0.0039200329920277,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,247,124,978,0,True,True,-0.8456831863076104,True,0.5182778568406429,1.0365557136812857,True,False,1,3,42,42,1,9.221903657374853e-09,0.4895221819412889,0.0032048759749159217,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,247,124,978,0,True,True,-0.8456831863076104,True,0.518277818170281,1.036555636340562,True,False,1,3,42,42,1,2.9373290660883455e-08,0.4895221290476591,0.0026425510877743363,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,247,124,978,0,True,True,-0.8456831863076104,True,0.5182776958841312,1.0365553917682624,True,False,1,3,42,42,1,9.27407352580012e-08,0.48952196178355284,0.0025572830345481634,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,247,124,978,0,True,True,-0.8456831863076104,True,0.5182773091840764,1.0365546183681529,True,False,1,3,42,42,1,2.932483356699045e-07,0.48952143285038,0.0029297529254108667,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,247,124,978,0,True,True,-0.8456831863076104,True,0.5182760863581842,1.0365521727163685,True,False,1,3,42,42,1,9.273707465562442e-07,0.4895197602405624,0.0029093119082972407,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,247,124,978,0,True,True,-0.8456831863076104,True,0.5182722197919197,1.0365444395838395,True,False,2,4,42,42,1,1.2858877504462463e-10,0.48951447122127517,0.006847014999948442,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,247,124,978,0,True,True,-0.8456831863076104,True,0.5182599957970567,1.0365199915941135,True,False,2,4,42,42,1,1.2856214461065552e-09,0.4894977482472157,0.005027453065849841,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,247,124,978,0,True,True,-0.8456831863076104,True,0.5182213719756955,1.036442743951391,True,False,2,4,42,42,1,1.2847010958522143e-08,0.48944488928637353,0.0033649910474196076,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,247,124,978,0,True,True,-0.8456831863076104,True,0.5180995506843538,1.0361991013687075,True,False,2,4,42,42,1,1.2817989222813075e-07,0.48927797157626385,0.0035432849545031786,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
