task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-HSE,HA1E,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,438,291,978,0,True,True,-2.055196193132736,True,0.1850521273662891,0.3701042547325782,False,False,1,3,42,42,1,1.6605715691397904e-09,0.2427563595658564,0.019263676018454134,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,a191834d8a41827c35f1010d1623cb504f00820a6c06348b42f038ae2f8e83fb
SR-HSE,HA1E,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,438,291,978,0,True,True,-2.055196193132736,True,0.1850521269644004,0.3701042539288008,True,False,1,3,42,42,1,4.128519963397803e-09,0.2427563576965887,0.021969815017655492,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,a191834d8a41827c35f1010d1623cb504f00820a6c06348b42f038ae2f8e83fb
SR-HSE,HA1E,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,438,291,978,0,True,True,-2.055196193132736,True,0.18505212569351792,0.37010425138703584,True,False,1,3,42,42,1,1.232046265009501e-08,0.24275635178544644,0.019613396027125418,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,a191834d8a41827c35f1010d1623cb504f00820a6c06348b42f038ae2f8e83fb
SR-HSE,HA1E,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,438,291,978,0,True,True,-2.055196193132736,True,0.18505212167464646,0.3701042433492929,True,False,1,3,42,42,1,3.896872005637597e-08,0.2427563330927851,0.01952788990456611,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,a191834d8a41827c35f1010d1623cb504f00820a6c06348b42f038ae2f8e83fb
SR-HSE,HA1E,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,438,291,978,0,True,True,-2.055196193132736,True,0.18505210896597685,0.3701042179319537,True,False,1,3,42,42,1,1.2316925056266026e-07,0.24275627398151847,0.02032765804324299,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,a191834d8a41827c35f1010d1623cb504f00820a6c06348b42f038ae2f8e83fb
SR-HSE,HA1E,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,438,291,978,0,True,True,-2.055196193132736,True,0.18505206877881367,0.37010413755762733,True,False,1,3,42,42,1,3.894784832633724e-07,0.24275608705646734,0.019324082997627556,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,a191834d8a41827c35f1010d1623cb504f00820a6c06348b42f038ae2f8e83fb
SR-HSE,HA1E,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,438,291,978,0,True,True,-2.055196193132736,True,0.18505194170234376,0.37010388340468753,True,False,2,4,42,42,1,8.619133878839946e-11,0.2427554959594208,0.02373300993349403,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,a191834d8a41827c35f1010d1623cb504f00820a6c06348b42f038ae2f8e83fb
SR-HSE,HA1E,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,438,291,978,0,True,True,-2.055196193132736,True,0.18505153993818213,0.37010307987636426,True,False,2,4,42,42,1,8.617214788952943e-10,0.2427536268650656,0.023675206932239234,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,a191834d8a41827c35f1010d1623cb504f00820a6c06348b42f038ae2f8e83fb
SR-HSE,HA1E,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,438,291,978,0,True,True,-2.055196193132736,True,0.18505027029864773,0.37010054059729547,True,False,2,4,42,42,1,8.610994937929828e-09,0.24274771745482335,0.024027246050536633,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,a191834d8a41827c35f1010d1623cb504f00820a6c06348b42f038ae2f8e83fb
SR-HSE,HA1E,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,438,291,978,0,True,True,-2.055196193132736,True,0.1850462637800755,0.370092527560151,True,False,2,4,42,42,1,8.591380319666886e-08,0.24272904207126977,0.023937682970426977,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,a191834d8a41827c35f1010d1623cb504f00820a6c06348b42f038ae2f8e83fb
