task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.364703262728208,0.729406525456416,False,False,1,3,42,42,1,6.048932188473799e-09,0.41913403045585257,0.009973170002922416,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.36470325260700065,0.7294065052140013,True,False,1,3,42,42,1,1.300696657411532e-08,0.4191340211803781,0.009802574990317225,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.36470322060095917,0.7294064412019183,True,False,1,3,42,42,1,4.113468058189462e-08,0.41913399184877276,0.008571401005610824,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.36470311938922606,0.7294062387784521,True,False,1,3,42,42,1,1.3008045208345864e-07,0.41913389909428816,0.012063166941516101,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.36470279933219296,0.7294055986643859,True,False,1,3,42,42,1,4.1134635902356775e-07,0.4191336057808176,0.00995743996463716,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.3647017872200283,0.7294035744400565,True,False,2,4,42,42,1,5.677940062565057e-11,0.41913267826181816,0.012859921087510884,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.36469858672998406,0.7293971734599681,True,False,2,4,42,42,1,5.67705021881082e-10,0.4191297453855336,0.015503254951909184,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.3646884666966738,0.7293769333933476,True,False,2,4,42,42,1,5.6742228277117945e-09,0.41912047277863457,0.014134692028164864,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.3646564723595548,0.7293129447191096,True,False,2,4,42,42,1,5.665295327306197e-08,0.4190911698115228,0.014223129954189062,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.3645553766129376,0.7291107532258752,True,False,2,4,42,42,1,5.63718834542537e-07,0.418998700592662,0.014179480029270053,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.3642364940564374,0.7284729881128748,True,False,3,5,42,42,1,3.844326354821015e-08,0.418708205073581,0.017834472935646772,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,316.2277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.3632361374147308,0.7264722748294616,True,False,4,6,42,42,1,4.252465973146949e-08,0.417807830577036,0.020363423973321915,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,2042,0,lbfgs,100.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,350,99,978,0,True,True,-0.8625981260725272,True,0.36015534942686406,0.7203106988537281,True,False,5,7,42,42,1,7.697886418578381e-09,0.4151188585476157,0.02291740500368178,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
