task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-MMP,HT29,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,418,234,978,0,True,True,-1.2775443731387066,True,0.40589812417948923,0.8117962483589785,False,False,1,3,42,42,1,2.53794476753888e-09,0.32471640284202313,0.009800232946872711,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a
SR-MMP,HT29,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,418,234,978,0,True,True,-1.2775443731387066,True,0.405898113454123,0.811796226908246,True,False,1,3,42,42,1,5.555239712684568e-09,0.32471639728123247,0.007590043009258807,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a
SR-MMP,HT29,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,418,234,978,0,True,True,-1.2775443731387066,True,0.40589807953755636,0.8117961590751127,True,False,1,3,42,42,1,1.752073228861173e-08,0.3247163796964754,0.007408063975162804,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a
SR-MMP,HT29,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,418,234,978,0,True,True,-1.2775443731387066,True,0.40589797228415175,0.8117959445683035,True,False,1,3,42,42,1,5.538520635867128e-08,0.3247163240886592,0.007265187916345894,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a
SR-MMP,HT29,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,418,234,978,0,True,True,-1.2775443731387066,True,0.4058976331210674,0.8117952662421348,True,False,1,3,42,42,1,1.7513949174610688e-07,0.32471614824199074,0.007669779937714338,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a
SR-MMP,HT29,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,418,234,978,0,True,True,-1.2775443731387066,True,0.40589656061283486,0.8117931212256697,True,False,1,3,42,42,1,5.538271843213982e-07,0.32471559217286045,0.007405555923469365,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a
SR-MMP,HT29,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,418,234,978,0,True,True,-1.2775443731387066,True,0.4058931693462871,0.8117863386925742,True,False,2,4,42,42,1,1.2445371816438566e-10,0.3247138337964765,0.007733862032182515,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a
SR-MMP,HT29,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,418,234,978,0,True,True,-1.2775443731387066,True,0.40588244779969507,0.8117648955993901,True,False,2,4,42,42,1,1.2438373872547537e-09,0.3247082740079874,0.007541137980297208,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a
SR-MMP,HT29,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,418,234,978,0,True,True,-1.2775443731387066,True,0.4058485693969996,0.8116971387939992,True,False,2,4,42,42,1,1.2416296098910484e-08,0.3246906992661415,0.0075971889309585094,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a
SR-MMP,HT29,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,418,234,978,0,True,True,-1.2775443731387066,True,0.40574169659101955,0.8114833931820391,True,False,2,4,42,42,1,1.2346839814783572e-07,0.32463519140764885,0.006937038036994636,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a
