task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,DDR1,-4.9180924193661724e-11,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,PAX8,3.4672276503701666e-11,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,RPS5,1.1420487221697924e-11,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,ABCF1,-6.195573802917928e-11,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,SPAG7,9.91841392090554e-12,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,RHOA,6.225823450212357e-11,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,RNPS1,-7.650589635788973e-11,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,SMNDC1,-9.825270392545878e-11,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,ATP6V0B,1.3205948371483483e-10,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,RPS6,-7.612750274918564e-12,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,USP22,7.405296992800153e-11,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,APP,1.4073274055256648e-13,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,CLTC,1.3523123117346223e-10,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,MLEC,1.1944019244896423e-10,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,CSRP1,4.286540321124401e-11,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,CALM3,-8.781488462826904e-11,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,PTPRF,-7.739684756877759e-11,100000000.0,-1.827089479231788,True
NR-AR,HA1E,standardized,0,0,0,2042,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,DNAJB1,7.32789658134427e-11,100000000.0,-1.827089479231788,True
