task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,DDR1,1.7249483818677775e-11,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,PAX8,-7.937327773058389e-11,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,RPS5,-1.575783365264483e-10,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,ABCF1,-1.2937966718299072e-10,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,SPAG7,2.5964253250485017e-11,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,RHOA,-2.9439180559402805e-11,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,RNPS1,-3.329719227560399e-11,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,SMNDC1,-4.477184845664326e-11,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,ATP6V0B,-5.835961573204604e-11,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,RPS6,-2.9165280213179156e-11,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,USP22,-1.1033703800364042e-11,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,APP,-4.225641432062624e-12,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,CLTC,-1.0892657779592082e-10,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,MLEC,3.829403157712972e-11,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,CSRP1,-2.6262814011660395e-12,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,CALM3,1.2164749569750343e-10,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,PTPRF,1.460609885174043e-10,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,DNAJB1,1.3365185399752264e-11,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,XBP1,9.41648229315024e-13,100000000.0,-1.9224926380327068,False
NR-AR,HT29,standardized,0,0,0,2042,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374,GRN,4.596653632827723e-11,100000000.0,-1.9224926380327068,False
