task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,DDR1,-1.0711767249538953e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,PAX8,-1.4304189338069895e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,RPS5,-1.7768972163443626e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,ABCF1,7.620758388639042e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,SPAG7,-2.4075525747240874e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,RHOA,1.0434879151408529e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,RNPS1,-9.144797854085283e-12,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,SMNDC1,4.202451031531063e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,ATP6V0B,1.3768193412452483e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,RPS6,5.865744826601479e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,USP22,-8.326759830033858e-12,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,APP,-1.327106590362606e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,CLTC,-2.1680629741404433e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,MLEC,-3.2180946168626964e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,CSRP1,-1.6649879505944996e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,CALM3,-8.127517450776675e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,PTPRF,-1.2642721212345657e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,DNAJB1,-2.2051335845379235e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,XBP1,1.6440468612292258e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,GRN,2.046205959425312e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,HK1,6.716299791734681e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,KDELR2,2.2146718377189843e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,SKP1,-8.863361774032887e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,CAPN1,9.931904587233489e-12,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,CALU,-1.4994223448782655e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,CTSD,-7.271697478411663e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,MAT2A,-5.143779601021947e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,STMN1,-3.5507783649476505e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,ECH1,-8.875397840611227e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,IQGAP1,-4.851632827507263e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,HSPA1A,-4.6561316556790467e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,HSPD1,-1.200790201783786e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,CIRBP,-4.907538892337156e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,PSME1,-1.5597526951596142e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,PAFAH1B1,-6.133717753300644e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,HYOU1,-8.055478750325836e-11,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,PSMD2,-2.7126954138178144e-10,100000000.0,-1.8836563883457378,True
NR-Aromatase,HEPG2,standardized,0,0,0,2042,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,EPRS,3.1003479113474503e-10,100000000.0,-1.8836563883457378,True
