task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,DDR1,-7.32753061224511e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,PAX8,-1.0112693700090974e-12,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,RPS5,-1.457151714270489e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,ABCF1,-8.508056346163077e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,SPAG7,2.8912643003190365e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,RHOA,-5.6232097629665106e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,RNPS1,-2.5956817343363384e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,SMNDC1,-6.871556338242619e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,ATP6V0B,-7.787200203322851e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,RPS6,-1.9906146513253366e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,USP22,-3.098397886572381e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,APP,1.0653507455726043e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,CLTC,4.298727879016368e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,MLEC,-1.8545711315019928e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,CSRP1,4.1936521512442546e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,CALM3,3.083944395951824e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,PTPRF,2.0400172495352843e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,DNAJB1,-3.1555654318940337e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,XBP1,-1.0372798292216938e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,GRN,-1.730608218748705e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,HK1,-8.934175369662404e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,KDELR2,-1.068625947795505e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,SKP1,-1.225315454758809e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,CAPN1,-1.0131502338238309e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,CALU,-2.0867563652830042e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,CTSD,1.7090018473913373e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,MAT2A,1.4893169429678504e-10,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,STMN1,-1.3561080998695557e-11,100000000.0,-1.4850795663377738,True
NR-ER,HT29,standardized,0,0,0,2042,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,ECH1,1.115943039127775e-10,100000000.0,-1.4850795663377738,True
