task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,DDR1,-5.1636009730991636e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,PAX8,2.2140381252931763e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,RPS5,4.6689017499565776e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,ABCF1,5.558488354164389e-12,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,SPAG7,-1.8236519597238526e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,RHOA,-4.58733125476873e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,RNPS1,3.3590629745237644e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,SMNDC1,1.25536410185981e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,ATP6V0B,1.4086819472480714e-10,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,RPS6,-3.093181552412378e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,USP22,-7.903430858303318e-12,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,APP,2.0627788133250745e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,CLTC,-9.306285265211364e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,MLEC,-2.428007597458403e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,CSRP1,-7.229671410601602e-12,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,CALM3,-1.2313726962017672e-10,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,PTPRF,-1.81166074453199e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,DNAJB1,7.713766777318816e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,XBP1,5.170671881588896e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,GRN,9.58508403166757e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,HK1,4.0585771532644364e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,KDELR2,5.188779176959869e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,SKP1,7.030084118973938e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,CAPN1,-1.733376281205194e-11,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,CALU,1.0189337682185775e-10,100000000.0,-1.8558511198679783,True
NR-PPAR-gamma,HT29,standardized,0,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,CTSD,-5.4631815942287826e-11,100000000.0,-1.8558511198679783,True
