task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,DDR1,0.0006067998311725954,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,PAX8,-0.0005077751775027672,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,RPS5,-0.0010734395499104258,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,ABCF1,-0.000978507094411412,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,SPAG7,0.00166137444250653,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,RHOA,-0.0015429334350601717,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,RNPS1,5.675036189841952e-05,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,SMNDC1,0.0014155275075718654,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,ATP6V0B,-0.0003014767943700145,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,RPS6,-0.0019710772556436693,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,USP22,-0.0006832077371376786,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,APP,-0.0002615662177884968,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,CLTC,0.00040332416013129954,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,MLEC,-0.00026527492357897905,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,CSRP1,-0.0024058610053852587,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,CALM3,0.0019354346640268999,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,PTPRF,-0.0010984062772437712,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,DNAJB1,-0.0005062325849848232,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,XBP1,0.0024942933607597436,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,GRN,-0.0015741371731837605,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,HK1,-0.0008561436167530855,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,KDELR2,-0.002042454967572028,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,SKP1,0.00039490373970166385,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,CAPN1,0.0010342655133388518,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,CALU,-0.0018796836655139164,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,CTSD,-3.2141919207722555e-05,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,MAT2A,-0.0004838557895726804,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,STMN1,-0.003067157115895952,10.0,-1.0064256620004566,False
SR-ARE,HA1E,standardized,0,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,ECH1,-0.0001284282056375591,10.0,-1.0064256620004566,False
