task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,DDR1,0.0018764796789191606,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,PAX8,-0.002293777578502494,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,RPS5,0.0005200364828101874,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,ABCF1,-0.0011652057100930086,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,SPAG7,0.003090041166055356,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,RHOA,0.0035231267028619116,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,RNPS1,0.0005106084847130357,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,SMNDC1,-3.144321354015727e-05,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,ATP6V0B,0.0025644047025124455,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,RPS6,-0.0001291069472088942,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,USP22,-0.0021413818623950936,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,APP,-0.001089128158042551,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,CLTC,0.0012172715584414654,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,MLEC,-0.003304210467216239,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,CSRP1,0.005192393166783407,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,CALM3,-0.0046250401835188,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,PTPRF,-0.00024945026218922163,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,DNAJB1,0.002572736790819527,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,XBP1,0.004301269892170413,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,GRN,-0.0013613290742637266,10.0,-0.8095656054471774,False
SR-ARE,HEPG2,standardized,0,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,HK1,0.00208738356099834,10.0,-0.8095656054471774,False
