task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,DDR1,-8.954729985686498e-06,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,PAX8,0.000802763621554668,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,RPS5,0.00033571435230976933,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,ABCF1,3.13443123816311e-05,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,SPAG7,0.0002803942560770108,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,RHOA,0.00027797785820940344,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,RNPS1,-0.00011536235613650325,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,SMNDC1,-0.00044897749519212725,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,ATP6V0B,0.000179513677856772,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,RPS6,0.0004177943951256668,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,USP22,-0.0005304976446032571,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,APP,-0.0003327717727302481,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,CLTC,9.200759942538222e-06,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,MLEC,-0.000248102026513145,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,CSRP1,-0.00047095607497761984,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,CALM3,-0.0002157364376277708,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,PTPRF,-1.4872306895799632e-05,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,DNAJB1,-0.00040000683198441247,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,XBP1,0.00042020743942492914,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,GRN,0.00010546575194871539,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,HK1,2.079676761385963e-05,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,KDELR2,-0.00012978644756345964,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,SKP1,0.00027984883103833734,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,CAPN1,-0.0007169282921585872,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,CALU,0.0009780811402185687,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,CTSD,0.00012724738835504624,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,MAT2A,0.00012194775982586406,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,STMN1,-0.00041011761955547397,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,ECH1,-0.000253861100231444,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,IQGAP1,-0.000605118824621048,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,HSPA1A,-0.0004991723355112639,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,HSPD1,0.0006192442927871282,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,CIRBP,-0.00029146908377265893,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,PSME1,-0.00023198931534674407,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,PAFAH1B1,-0.0007514732389578787,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,HYOU1,0.0007239922547516635,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,PSMD2,-0.00042556075966699235,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,EPRS,0.0004015779415570322,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,PSMD4,0.00019927612303307623,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,PGAM1,0.0003507070871332315,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,STAT1,0.0001419826745060336,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,FKBP4,-0.0004355185561296707,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,KTN1,-0.0006116701114720542,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,TMED10,0.0008335244474600169,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,ALDOA,0.00018028990306735143,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,TSPAN3,-0.00029100675415691634,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,GNAS,-0.0005226466420902935,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,HIF1A,-5.062852056596139e-05,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,AARS,-3.1390943054245104e-05,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,RPN1,0.0005528197915484044,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,PAICS,0.00013362565841517523,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,BLCAP,9.14426684805596e-05,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,HADH,0.0001501866050958942,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,GNAI2,0.00020038754060065935,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,PSMF1,-0.0007170254860056827,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,MYL9,0.0005652151412393974,31.622776601683796,-1.048733769395857,False
SR-ARE,HT29,standardized,0,0,0,2042,2042,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,MMP2,-0.0002626855262760966,31.622776601683796,-1.048733769395857,False
