task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,DDR1,-1.7131092408536857e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,PAX8,-1.5872993627904384e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,RPS5,4.094489896801812e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,ABCF1,-5.339148978797339e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,SPAG7,-1.5532314522836746e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,RHOA,-5.0128615387489056e-12,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,RNPS1,8.53091745112955e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,SMNDC1,-1.629424194330438e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,ATP6V0B,1.0472343540016731e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,RPS6,8.29470713081601e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,USP22,-2.0213060537081363e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,APP,4.787007346444479e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,CLTC,-1.2969663657737905e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,MLEC,-1.5541042732363992e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,CSRP1,2.0556952030352793e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,CALM3,1.6436063631477673e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,PTPRF,1.1972347039842267e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,DNAJB1,7.686419621244773e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,XBP1,8.529453475085864e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,GRN,8.598331438396187e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,HK1,-2.777446862643745e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,KDELR2,-3.440920624563001e-11,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,SKP1,-1.1197863536159503e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,CAPN1,-1.576782202466937e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,CALU,1.156113726929715e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,CTSD,-1.3969977404329073e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,MAT2A,-2.637388935708974e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,STMN1,-3.1359445738614004e-10,100000000.0,-1.0847419887467606,True
SR-ARE,MCF7,standardized,0,0,0,2042,2042,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,ECH1,4.648326411266848e-11,100000000.0,-1.0847419887467606,True
