task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,DDR1,-0.0017920645671566364,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,PAX8,-0.0016075701284432294,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,RPS5,-0.003634355901818788,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,ABCF1,-0.0001380487983660401,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,SPAG7,-0.0014963032187920889,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,RHOA,0.003907709581441651,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,RNPS1,0.0022935731794498405,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,SMNDC1,0.0012743306145819747,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,ATP6V0B,0.006724691774110914,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,RPS6,0.00039186140273007945,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,USP22,0.0008248273639216094,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,APP,-0.0010431520276942426,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,CLTC,0.001490545471854726,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,MLEC,-0.0006398466687947356,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,CSRP1,0.0009445420039718235,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,CALM3,-0.00452804869161189,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,PTPRF,-0.0033670506445890027,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,DNAJB1,0.0050129905632331035,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,XBP1,0.003060789035995963,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,GRN,0.002233767240100455,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,HK1,-0.0039370634542749364,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,KDELR2,-5.971897901197273e-05,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,SKP1,-0.0019100083716251765,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,CAPN1,-0.0008121420683947439,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,CALU,0.0015249973562647566,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,CTSD,0.002006603132513477,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,MAT2A,-0.0012551700839754203,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,STMN1,0.0005234910830251564,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,ECH1,-0.01127784016337811,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,IQGAP1,-0.0008479502889599536,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,HSPA1A,0.004547770292019754,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,HSPD1,0.0009336013585060568,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,CIRBP,0.0006993185369614734,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,PSME1,-0.0012318419695271493,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,PAFAH1B1,-0.0018969278998473916,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,HYOU1,-0.002550750846937841,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,PSMD2,-0.004540920530041923,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,EPRS,0.008755632640421429,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,PSMD4,0.005715693565375396,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,PGAM1,-0.0020886546983309518,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,STAT1,-0.0011741191091409135,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,FKBP4,0.0008646501472118305,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,KTN1,0.0009245889901290017,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,TMED10,0.003846607880378483,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,ALDOA,0.00403721696372953,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,TSPAN3,-0.004843232160668044,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,GNAS,0.0033181282426527074,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,HIF1A,-0.001006102639534142,3.162277660168379,-2.25768654265423,False
SR-HSE,HEPG2,standardized,0,0,0,2042,2042,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,AARS,0.014751215778792745,3.162277660168379,-2.25768654265423,False
