task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,DDR1,-8.114475413590392e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PAX8,-1.7194680865487723e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,RPS5,-5.6176907488077324e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,ABCF1,3.805508538185875e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,SPAG7,4.787807116174995e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,RHOA,-4.9165079004818656e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,RNPS1,-3.915641141129067e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,SMNDC1,-3.455481147582371e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,ATP6V0B,3.495167144593473e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,RPS6,4.6314288195646884e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,USP22,-6.92694370111357e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,APP,-1.84331069255089e-12,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,CLTC,-7.408297732010768e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,MLEC,-8.863830447492276e-12,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,CSRP1,9.28044096940073e-12,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,CALM3,3.962946966670572e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PTPRF,3.0199395047291605e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,DNAJB1,1.5083368158887547e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,XBP1,2.8088952650507793e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,GRN,7.579834305813213e-12,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,HK1,-1.8073891501940826e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,KDELR2,-4.441821698501258e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,SKP1,-2.0699750218449616e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,CAPN1,-8.752021514159063e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,CALU,5.2872760476624485e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,CTSD,9.746626245597831e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,MAT2A,1.76155078150014e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,STMN1,-5.1111032001595566e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,ECH1,1.967980584354117e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,IQGAP1,-4.089841054477305e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,HSPA1A,1.6558758105474464e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,HSPD1,1.9804550466436338e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,CIRBP,-2.074065023589362e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PSME1,5.43216774727783e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PAFAH1B1,1.436408503920999e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,HYOU1,1.0474948797132881e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PSMD2,-5.3737315287724896e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,EPRS,3.478093723996297e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PSMD4,2.1277272073122196e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PGAM1,2.8504694797791855e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,STAT1,-1.5789368357246456e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,FKBP4,6.439899113139652e-12,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,KTN1,4.747602553092436e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,TMED10,-4.504497527458111e-12,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,ALDOA,-1.9708389084815509e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,TSPAN3,-6.665362395133849e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,GNAS,-7.406501925503808e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,HIF1A,2.1301318553601443e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,AARS,2.8291782664644947e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,RPN1,4.623309837240277e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PAICS,2.3270986104892448e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,BLCAP,-5.286151206018608e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,HADH,2.9080646746229208e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,GNAI2,-5.761294033510462e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PSMF1,-5.403199020518371e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,MYL9,1.455867324691316e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,MMP2,1.5061613912723914e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,SMARCC1,-1.7468041495362008e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,TM9SF2,-6.344313400866427e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PIP4K2B,-1.6636052060522484e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PXN,9.544935715712673e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,COPB2,1.1411863192955292e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PFKL,4.72708058405954e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PGRMC1,2.296645800791489e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,ITGB5,5.215628262037557e-12,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PLP2,-9.85980368861965e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,NFE2L2,1.458315827615211e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,MBNL1,-2.924315036329787e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,NMT1,5.170243490667477e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,BHLHE40,-4.821829883679916e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,TERF2IP,3.866147425014852e-12,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,FBXO7,8.474588562852091e-12,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,HTRA1,9.099785261809937e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,LRPAP1,4.891356092060544e-12,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,CREG1,-5.381839840276572e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,PCNA,-6.133894820737968e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,LGMN,5.4425861430039415e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,ILK,-6.492717736495168e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,ATP1B1,-1.6015057384166997e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,SYPL1,1.5367253436741937e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,TXNRD1,1.653034043479399e-10,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,NUDCD3,-1.9189242896994035e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,TOP2A,5.3543224672585665e-11,100000000.0,-2.203304729037759,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,STK25,-4.990500627372419e-12,100000000.0,-2.203304729037759,True
