task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,DDR1,0.00011823242556371348,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,PAX8,-9.453023266757175e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,RPS5,-8.496674845453882e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,ABCF1,2.895417672358221e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,SPAG7,0.0002377081738285946,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,RHOA,-0.00015362979685385478,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,RNPS1,-0.00019888401413960317,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,SMNDC1,1.0497124638444847e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,ATP6V0B,-6.0995440695980835e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,RPS6,-0.0002758319934410017,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,USP22,-0.00039997092347045633,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,APP,9.683681019551061e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,CLTC,-0.0003851918039077169,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,MLEC,-0.0003905473569584785,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,CSRP1,-0.00036928815525560856,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,CALM3,0.00012352874415242604,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,PTPRF,-7.284712057268327e-06,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,DNAJB1,-0.0006858898545612355,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,XBP1,4.432917461647926e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,GRN,-0.00012514158006920456,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,HK1,-9.399511760432181e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,KDELR2,-0.0001917874637544926,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,SKP1,-0.00016548536265159036,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,CAPN1,-0.0002694864755455757,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,CALU,-0.0002610859375794842,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,CTSD,0.0002055944882237556,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,MAT2A,-0.000535129901855796,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,STMN1,-0.00048286666409383817,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,ECH1,0.00013100894451917026,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,IQGAP1,0.00022795471828645716,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,HSPA1A,-8.128073148971885e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,HSPD1,-0.00014186648941614383,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,CIRBP,-0.0002660425849464697,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,PSME1,-0.00014996366607536966,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,PAFAH1B1,8.576402841549946e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,HYOU1,0.0002866545972213666,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,PSMD2,-9.722610180143534e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,EPRS,4.579197396210619e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,PSMD4,-0.0001952863555242142,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,PGAM1,-0.0002921241306285539,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,STAT1,0.00017871232595436794,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,FKBP4,5.630454188751372e-05,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,KTN1,0.0001916063538870787,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,TMED10,0.00020854253860221096,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,ALDOA,-0.00010947472696594705,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,TSPAN3,-0.00021313167196445292,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,GNAS,-0.0005601963123017772,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,HIF1A,-9.178833241986237e-06,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,AARS,0.00016378127192523715,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,RPN1,-0.00023167790531033168,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,PAICS,-0.00031952119824438534,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,BLCAP,-0.0003499661256368428,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,HADH,-6.452009933235149e-06,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,GNAI2,-0.00020479841853177043,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,PSMF1,0.00011613711360184952,100.0,-1.0750508330558315,False
SR-MMP,HA1E,standardized,0,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,MYL9,-2.435717171416337e-05,100.0,-1.0750508330558315,False
