task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,DDR1,-3.0202737507022237e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,PAX8,-6.359589934638645e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,RPS5,-1.1386621265492408e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,ABCF1,2.2082806655139768e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,SPAG7,1.452001723738862e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,RHOA,-1.547778228581999e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,RNPS1,-5.133082484241874e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,SMNDC1,5.438628187791077e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,ATP6V0B,-6.195750951614742e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,RPS6,-9.004985516778751e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,USP22,-3.3293964030325753e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,APP,2.3155992546943186e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,CLTC,-1.7274374460872553e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,MLEC,-5.4448378546581204e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,CSRP1,-1.147231145438819e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,CALM3,3.2492167827180964e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,PTPRF,8.177442920598318e-12,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,DNAJB1,-1.6204490623249872e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,XBP1,-2.517603074181373e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,GRN,-2.2780523832344187e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,HK1,-1.8573929003403082e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,KDELR2,-2.8291382177064386e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,SKP1,-4.7608061668415614e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,CAPN1,-2.653684274085874e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,CALU,-3.2357271228157834e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,CTSD,1.1817780620815663e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,MAT2A,-4.667187830657716e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,STMN1,-5.15419340507386e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,ECH1,2.8421789964173467e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,IQGAP1,1.816156744403359e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,HSPA1A,5.702334675579874e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,HSPD1,-7.144671226637088e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,CIRBP,-3.2419898203935795e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,PSME1,-2.4453195506421952e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,PAFAH1B1,8.031361418173345e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,HYOU1,2.872860596965196e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,PSMD2,-1.0636459850666935e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,EPRS,-2.547430316429248e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,PSMD4,-2.387282886948018e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,PGAM1,-1.1644378499059764e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,STAT1,1.2125308972372437e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,FKBP4,7.668379392614825e-11,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,KTN1,3.0925256624618434e-10,100000000.0,-1.6037780095511562,True
SR-p53,HA1E,standardized,0,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,TMED10,2.5021577134842017e-10,100000000.0,-1.6037780095511562,True
