task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AhR,HT29,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,755,86,978,0,False,True,True,False,unweighted_publication_primary,-1.3413463002684778,-1.3413463002684778,3.484995844980822e-09,100000000.0,3.162277660168379,True,True,10.0,755,86,0.5718430421338739,0.5718430421338739,0.5718430421338739,0.0,0.7924882629107981,0.7924882629107981,0.7924882629107981,0.0,0.40221953357254403,0.38896401279335435,0.38896401250798196,-2.85372392383465e-10,True,False,1,3,1.5431882889604953e-09,0.2695716199306082,0.013514466932974756,0,0,2042,8db16dd2a39987affa65a883d24486a11b75d3092aec712b57a6d0577b43dcb2
NR-AhR,HT29,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,687,154,978,0,False,True,True,False,unweighted_publication_primary,-1.264442239761412,-1.264442239761412,3.825322726128824e-09,100000000.0,3.162277660168379,True,True,100.0,687,154,0.5330764245180721,0.5330764245180721,0.5330764245180721,0.0,0.9040032679738561,0.9040032679738561,0.9040032679738561,0.0,0.35755532604480117,0.26332648925059554,0.2633264892092817,-4.131384123695625e-11,True,False,1,3,1.3060294894173818e-09,0.28559587057563157,0.024631440988741815,0,1,2042,8db16dd2a39987affa65a883d24486a11b75d3092aec712b57a6d0577b43dcb2
NR-AhR,HT29,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,586,255,978,0,False,True,True,False,unweighted_publication_primary,-1.149947079457389,-1.149947079457389,3.6141785072953595e-09,100000000.0,3.162277660168379,True,True,31.622776601683796,586,255,0.3775025508950962,0.3775025508950962,0.3775025508950962,0.0,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.0,0.3894239124205142,0.26325044152152643,0.2632504414578552,-6.36712349511015e-11,True,False,1,3,4.1281872711906864e-10,0.29031333096213263,0.015095161972567439,0,2,2042,8db16dd2a39987affa65a883d24486a11b75d3092aec712b57a6d0577b43dcb2
NR-AhR,HT29,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,651,190,978,0,False,True,True,False,unweighted_publication_primary,-1.3052538254344543,-1.3052538254344543,3.5348978059553708e-09,100000000.0,100000000.0,True,False,,651,190,0.5564200390662679,0.5564200390662679,0.5564200390662679,0.0,0.8152056277056277,0.8152056277056277,0.8152056277056277,0.0,0.32678074769955473,0.2662059008130983,0.26620590047728127,-3.3581704084184594e-10,True,False,1,3,2.104781647582765e-09,0.28608468222310923,0.02372925402596593,0,3,2042,8db16dd2a39987affa65a883d24486a11b75d3092aec712b57a6d0577b43dcb2
NR-AhR,HT29,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,685,156,978,0,False,True,True,False,unweighted_publication_primary,-1.23687824429447,-1.23687824429447,3.8465345986427366e-09,100000000.0,1.0,True,True,316.2277660168379,685,156,0.34498967519243595,0.34498967519243595,0.34498967519243595,0.0,0.6741071428571428,0.6741071428571428,0.6741071428571428,0.0,0.40314701260792524,0.29782953453115607,0.2978295345627414,3.158534545022462e-11,True,False,1,3,2.0034596412421557e-09,0.2778429366099289,0.010705906082876027,0,4,2042,8db16dd2a39987affa65a883d24486a11b75d3092aec712b57a6d0577b43dcb2
NR-AhR,HT29,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,750,91,978,0,False,True,True,False,unweighted_publication_primary,-1.388027904772696,-1.388027904772696,3.3801889583515308e-09,100000000.0,100000000.0,True,False,,750,91,0.6521101906779814,0.6521101906779814,0.6521101906779814,0.0,0.780952380952381,0.780952380952381,0.780952380952381,0.0,0.4485166128845366,0.46775240374389576,0.46775240326277157,-4.811241960389623e-10,True,False,1,3,1.8559637021686726e-09,0.25966957503642085,0.013110357103869319,1,0,3042,2afebc09e5eff0fa05bd409a462743691947c937b3ccaaac06cc3f199d4f0536
NR-AhR,HT29,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,679,162,978,0,False,True,True,False,unweighted_publication_primary,-1.3248059045007594,-1.3248059045007594,3.448243817094038e-09,100000000.0,100000000.0,True,False,,679,162,0.5464779506138531,0.5464779506138531,0.5464779506138531,0.0,0.8142519419115164,0.8142519419115164,0.8142519419115164,0.0,0.35824949049600185,0.3008079123551804,0.30080791203961305,-3.155673500288003e-10,True,False,1,3,1.5710919024081171e-09,0.27711771907911037,0.026216004975140095,1,1,3042,2afebc09e5eff0fa05bd409a462743691947c937b3ccaaac06cc3f199d4f0536
NR-AhR,HT29,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,652,189,978,0,False,True,True,False,unweighted_publication_primary,-1.1831540814931705,-1.1831540814931705,3.874475137411718e-09,100000000.0,3.162277660168379,True,True,31.622776601683796,652,189,0.191992455548848,0.191992455548848,0.191992455548848,0.0,0.75743006993007,0.75743006993007,0.75743006993007,0.0,0.34467240982873387,0.23077740489856288,0.23077740463143143,-2.671314558444493e-10,True,False,1,3,1.7447880501508806e-09,0.2966053566225536,0.02313899202272296,1,2,3042,2afebc09e5eff0fa05bd409a462743691947c937b3ccaaac06cc3f199d4f0536
NR-AhR,HT29,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,605,236,978,0,False,True,True,False,unweighted_publication_primary,-1.1223317547564209,-1.1223317547564209,4.065913229138063e-09,100000000.0,1.0,True,True,100.0,605,236,0.4779087847021652,0.4779087847021652,0.4779087847021652,0.0,0.8048611111111111,0.8048611111111111,0.8048611111111111,0.0,0.374020700238274,0.24036883225164582,0.240368832202703,-4.894282201739486e-11,True,False,1,3,1.4580638155181624e-09,0.298842512431048,0.015853859018534422,1,3,3042,2afebc09e5eff0fa05bd409a462743691947c937b3ccaaac06cc3f199d4f0536
NR-AhR,HT29,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,678,163,978,0,False,True,True,False,unweighted_publication_primary,-1.2854755920065146,-1.2854755920065146,3.486810736364979e-09,100000000.0,1.0,True,True,31.622776601683796,678,163,0.4351812495434918,0.4351812495434918,0.4351812495434918,0.0,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.0,0.37836425673872714,0.29577224652968387,0.29577224633971666,-1.8996720863029282e-10,True,False,1,3,1.037113395163658e-09,0.2781168571171078,0.01754750299733132,1,4,3042,2afebc09e5eff0fa05bd409a462743691947c937b3ccaaac06cc3f199d4f0536
