task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER-LBD,MCF7,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1079,115,978,0,False,True,True,False,unweighted_publication_primary,-2.2602689939880167,-2.2602689939880167,2.211834047023238e-09,100000000.0,0.09999999999999999,True,True,31.622776601683796,1079,115,0.3920311885445017,0.3920311885445017,0.3920311885445017,0.0,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.0,0.4021664343679084,0.20619490696220294,0.20619490667580684,-2.8639610127889625e-10,True,False,1,3,1.4441703319323373e-09,0.17268614368747714,0.053380982019007206,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,837,357,978,0,False,True,True,False,unweighted_publication_primary,-2.214704960130409,-2.214704960130409,2.4051565275207983e-09,100000000.0,0.09999999999999999,True,True,3.162277660168379,837,357,0.4465664185437914,0.4465664185437914,0.4465664185437914,0.0,0.8294117647058825,0.8294117647058825,0.8294117647058825,0.0,0.3939814566874005,0.162758487388106,0.16275848719265726,-1.9544874052535022e-10,True,False,1,3,1.225860669917811e-09,0.18151083396650616,0.024000522098504007,0,1,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,949,245,978,0,False,True,True,False,unweighted_publication_primary,-2.303401802540475,-2.303401802540475,2.239890848701781e-09,100000000.0,0.09999999999999999,True,True,10.0,949,245,0.11564017502537136,0.11564017502537136,0.11564017502537136,0.0,0.6370087336244541,0.6370087336244541,0.6370087336244541,0.0,0.4494849262208779,0.23838504403480607,0.23838504378051045,-2.5429561234524556e-10,True,False,1,3,9.224826388876117e-10,0.15990927371560976,0.035491109010763466,0,2,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,946,248,978,0,False,True,True,False,unweighted_publication_primary,-2.300274136032051,-2.300274136032051,2.427539685989505e-09,100000000.0,0.31622776601683794,True,True,100.0,946,248,0.7964653240059241,0.7964653240059241,0.7964653240059241,0.0,0.9555495689655172,0.9555495689655172,0.9555495689655172,0.0,0.38962631077450377,0.18249794122674343,0.18249794105589945,-1.708439778536075e-10,True,False,1,3,9.612504334177707e-10,0.1742989713238295,0.03655036201234907,0,3,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,965,229,978,0,False,True,True,False,unweighted_publication_primary,-2.0973205221240843,-2.0973205221240843,0.3786049332728223,0.31622776601683794,0.09999999999999999,False,False,316.2277660168379,965,229,0.2628746797088883,0.2628746797088883,0.1188762837353714,-0.14399839597351688,0.5875,0.5875,0.7205357142857143,0.13303571428571426,0.40465999337107184,0.1138484153374319,0.1138200021592713,-2.8413178160602293e-05,True,False,15,18,9.468111987643441e-07,0.1480670333846867,0.21041193895507604,0,4,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1078,116,978,0,False,True,True,False,unweighted_publication_primary,-2.249851793017934,-2.249851793017934,2.182172626693379e-09,100000000.0,0.09999999999999999,True,True,100.0,1078,116,0.24162861382345427,0.24162861382345427,0.24162861382345427,0.0,0.7483617300131061,0.7483617300131061,0.7483617300131061,0.0,0.4359124170586915,0.2138220903558057,0.21382209005645977,-2.993459369271534e-10,True,False,1,3,9.304639628227029e-10,0.17182228436648564,0.028412371990270913,1,0,3042,90455f1a2b1df67c48db5404573d1d99fe5a2a73ea0cdfd3f82ba45b8c3523da
NR-ER-LBD,MCF7,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,794,400,978,0,False,True,True,False,unweighted_publication_primary,-2.2361617503957105,-2.2361617503957105,0.1900682605373895,1.0,0.09999999999999999,False,False,100.0,794,400,0.271906688564791,0.271906688564791,0.24402537941687275,-0.027881309147918254,0.7032739328636552,0.7032739328636552,0.682552838789888,-0.02072109407376721,0.3991218160487954,0.17824853320812836,0.176059983117369,-0.002188550090759356,True,False,12,14,2.7428233158668935e-07,0.14857229249819018,0.05644328997004777,1,1,3042,90455f1a2b1df67c48db5404573d1d99fe5a2a73ea0cdfd3f82ba45b8c3523da
NR-ER-LBD,MCF7,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,959,235,978,0,False,True,True,False,unweighted_publication_primary,-2.113744940167894,-2.113744940167894,0.16949736777072277,1.0,0.09999999999999999,False,False,316.2277660168379,959,235,0.4486377619425475,0.4486377619425475,0.5182530704589527,0.06961530851640524,0.781328320802005,0.781328320802005,0.8533834586466165,0.07205513784461148,0.41365214982595977,0.12320083696783311,0.11955180607654046,-0.0036490308912926483,True,False,11,13,3.682439451279263e-07,0.16868235361731235,0.15270562400110066,1,2,3042,90455f1a2b1df67c48db5404573d1d99fe5a2a73ea0cdfd3f82ba45b8c3523da
NR-ER-LBD,MCF7,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,945,249,978,0,False,True,True,False,unweighted_publication_primary,-2.362922606583081,-2.362922606583081,1.8769408181758685e-09,100000000.0,0.31622776601683794,True,True,10.0,945,249,0.6140967297173762,0.6140967297173762,0.6140967297173762,0.0,0.8649885583524027,0.8649885583524027,0.8649885583524027,0.0,0.4067034342317388,0.2210670094860348,0.22106700927888723,-2.0714757686945973e-10,True,False,1,3,4.425362611082395e-10,0.16448441275848066,0.021974241943098605,1,3,3042,90455f1a2b1df67c48db5404573d1d99fe5a2a73ea0cdfd3f82ba45b8c3523da
NR-ER-LBD,MCF7,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1000,194,978,0,False,True,True,False,unweighted_publication_primary,-2.2173531699219406,-2.2173531699219406,0.16746426577326648,1.0,0.09999999999999999,False,False,316.2277660168379,1000,194,0.4146849633283742,0.4146849633283742,0.4248918705815257,0.010206907253151543,0.8672672672672673,0.8672672672672673,0.7291291291291291,-0.13813813813813824,0.40013821307602554,0.16250126493299516,0.1608625103600073,-0.0016387545729878716,True,False,11,13,1.2774571986340355e-07,0.15891000754367635,0.11576866102404892,1,4,3042,90455f1a2b1df67c48db5404573d1d99fe5a2a73ea0cdfd3f82ba45b8c3523da
