task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ATAD5,HA1E,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,805,106,978,0,False,True,True,False,unweighted_publication_primary,-1.2222003618383084,-1.2222003618383084,2.655659225834609e-09,100000000.0,0.31622776601683794,True,True,100.0,805,106,0.2161276223776224,0.2161276223776224,0.2161276223776224,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.22399752021527564,0.14652174113197322,0.1465217409554346,-1.765386170582417e-10,True,False,1,3,1.0456097584987667e-09,0.18957523792865374,0.016877020010724664,0,0,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,645,266,978,0,False,True,True,False,unweighted_publication_primary,-1.2036328846533355,-1.2036328846533355,2.928406139579683e-09,100000000.0,0.31622776601683794,True,True,10.0,645,266,0.2636143267743768,0.2636143267743768,0.2636143267743768,0.0,0.8212222560048648,0.8212222560048648,0.8212222560048648,0.0,0.24421062037952318,0.1748552301970062,0.17485523005635423,-1.4065196229928745e-10,True,False,1,3,5.25989744815103e-10,0.18863749573281824,0.02904739195946604,0,1,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,727,184,978,0,False,True,True,False,unweighted_publication_primary,-1.3514299431529555,-1.3514299431529555,2.382448443105961e-09,100000000.0,1.0,True,True,3.162277660168379,727,184,0.2561928966468687,0.2561928966468687,0.2561928966468687,0.0,0.8239495798319327,0.8239495798319327,0.8239495798319327,0.0,0.27726203891984624,0.23868570483609275,0.2386857045620386,-2.74054140492197e-10,True,False,1,3,5.901525709089972e-10,0.17106461824188748,0.018790703965350986,0,2,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,723,188,978,0,False,True,True,False,unweighted_publication_primary,-1.2288657413752784,-1.2288657413752784,0.1885112949538084,1.0,0.31622776601683794,False,False,316.2277660168379,723,188,0.24080037362901735,0.24080037362901735,0.2289289646008713,-0.01187140902814604,0.7694444444444445,0.7694444444444445,0.7659722222222222,-0.003472222222222321,0.22251531872806796,0.16059228736253822,0.15879142808238642,-0.0018008592801518064,True,False,11,14,2.870187960444387e-07,0.16497576820811202,0.11853061697911471,0,3,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,744,167,978,0,False,True,True,False,unweighted_publication_primary,-1.3095724252222374,-1.3095724252222374,0.008169148834850624,31.622776601683796,0.31622776601683794,False,False,316.2277660168379,744,167,0.44532157650649073,0.44532157650649073,0.451167634421223,0.00584605791473225,0.925990675990676,0.925990675990676,0.9242424242424242,-0.0017482517482517723,0.23986931967053296,0.19531040864817478,0.1947781965695406,-0.0005322120786341866,True,False,4,6,7.920849109388506e-07,0.18109016439144415,0.026992106926627457,0,4,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,809,102,978,0,False,True,True,False,unweighted_publication_primary,-1.273998951942545,-1.273998951942545,2.3831532033423033e-09,100000000.0,0.31622776601683794,True,True,31.622776601683796,809,102,0.24548229548229547,0.24548229548229547,0.24548229548229547,0.0,0.8645833333333334,0.8645833333333334,0.8645833333333334,0.0,0.24573070588289672,0.1938090100518649,0.1938090095463315,-5.055333929249173e-10,True,False,1,3,5.696463578619415e-10,0.183358072395893,0.019057760015130043,1,0,3042,65b6147ef91a86cbcb89ae9c5559049ea912f316b234f734d5506757a0f438e9
SR-ATAD5,HA1E,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,723,188,978,0,False,True,True,False,unweighted_publication_primary,-1.4402027667397341,-1.4402027667397341,2.931506123083399e-09,100000000.0,0.31622776601683794,True,True,31.622776601683796,723,188,0.3490618972904215,0.3490618972904215,0.3490618972904215,0.0,0.8390092879256965,0.8390092879256965,0.8390092879256965,0.0,0.2940449267195178,0.2782340009568873,0.27823400123358866,2.7670138402768885e-10,True,False,1,3,1.961523665716669e-09,0.1611241839097454,0.02484259696211666,1,1,3042,65b6147ef91a86cbcb89ae9c5559049ea912f316b234f734d5506757a0f438e9
SR-ATAD5,HA1E,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,722,189,978,0,False,True,True,False,unweighted_publication_primary,-1.2045013905287967,-1.2045013905287967,3.0991273987427035e-09,100000000.0,0.31622776601683794,True,True,100.0,722,189,0.4513217338217338,0.4513217338217338,0.4513217338217338,0.0,0.9185082872928176,0.9185082872928176,0.9185082872928176,0.0,0.21299924707402793,0.1418415553611224,0.14184155573060508,3.6948269444003756e-10,True,False,1,3,2.2428301507670945e-09,0.1958064039687657,0.016103350091725588,1,2,3042,65b6147ef91a86cbcb89ae9c5559049ea912f316b234f734d5506757a0f438e9
SR-ATAD5,HA1E,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,744,167,978,0,False,True,True,False,unweighted_publication_primary,-1.208615287709742,-1.208615287709742,2.682563487318128e-09,100000000.0,0.31622776601683794,True,True,31.622776601683796,744,167,0.20946438015765748,0.20946438015765748,0.20946438015765748,0.0,0.9107142857142857,0.9107142857142857,0.9107142857142857,0.0,0.22554751889042782,0.15284684916537317,0.1528468489792995,-1.860736564829324e-10,True,False,1,3,2.3650393102259137e-10,0.19172579661401576,0.02515509503427893,1,3,3042,65b6147ef91a86cbcb89ae9c5559049ea912f316b234f734d5506757a0f438e9
SR-ATAD5,HA1E,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,646,265,978,0,False,True,True,False,unweighted_publication_primary,-1.1978650780125373,-1.1978650780125373,0.02639530960396092,10.0,0.09999999999999999,False,False,100.0,646,265,0.2168569783213839,0.2168569783213839,0.21903015165755993,0.002173173336176032,0.7246376811594203,0.7246376811594203,0.7203557312252964,-0.0042819499341238965,0.239029290776839,0.17112592734351237,0.1710132635914988,-0.00011266375201357537,True,False,6,8,1.0018491938129648e-07,0.18635081846632168,0.03466477291658521,1,4,3042,65b6147ef91a86cbcb89ae9c5559049ea912f316b234f734d5506757a0f438e9
