task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ATAD5,HEPG2,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,550,69,978,0,False,True,True,False,unweighted_publication_primary,-1.2934012625632143,-1.2934012625632143,4.6471825073301334e-09,100000000.0,3.162277660168379,True,True,1000.0,550,69,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.0,0.95,0.95,0.95,0.0,0.24559379381703944,0.17399414264413274,0.1739941419466096,-6.97523150350321e-10,True,False,1,3,3.555636035601495e-09,0.1780925111253682,0.00942188105545938,0,0,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,497,122,978,0,False,True,True,False,unweighted_publication_primary,-1.3260180197262241,-1.3260180197262241,4.171182947009315e-09,100000000.0,1.0,True,True,316.2277660168379,497,122,0.20357905982905983,0.20357905982905983,0.20357905982905983,0.0,0.7403726708074534,0.7403726708074534,0.7403726708074534,0.0,0.2537554844236032,0.19990163557621737,0.1999016338974969,-1.6787204681900647e-09,True,False,1,3,1.9384398045052542e-09,0.17218865058299268,0.007427288917824626,0,1,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,426,193,978,0,False,True,True,False,unweighted_publication_primary,-1.2148654232672553,-1.2148654232672553,0.04282733304166042,10.0,1.0,False,False,3162.277660168379,426,193,0.18072226897059004,0.18072226897059004,0.17106284006513364,-0.009659428905456402,0.8297297297297297,0.8297297297297297,0.8297297297297298,1.1102230246251565e-16,0.2301719876949434,0.1583346783133521,0.15958369353973031,0.001249015226378214,True,False,5,7,5.649520023430499e-07,0.1744109828903721,0.02043710893485695,0,2,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,503,116,978,0,False,True,True,False,unweighted_publication_primary,-1.2246231670910543,-1.2246231670910543,0.036946572387250305,10.0,3.162277660168379,False,False,3162.277660168379,503,116,0.3214285714285714,0.3214285714285714,0.3547619047619047,0.033333333333333326,0.9508928571428571,0.9508928571428571,0.953125,0.0022321428571429047,0.21090069363804947,0.13036209292949383,0.12405495712803093,-0.006307135801462901,True,False,6,8,5.59102412006629e-08,0.18045928574785483,0.03142046695575118,0,3,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,500,119,978,0,False,True,True,False,unweighted_publication_primary,-1.4482547592337034,-1.4482547592337034,3.90311937571746e-09,100000000.0,1.0,True,True,316.2277660168379,500,119,0.5319602219135326,0.5319602219135326,0.5319602219135326,0.0,0.9091743119266055,0.9091743119266055,0.9091743119266055,0.0,0.2622616892063558,0.24228083173033096,0.24228082982979685,-1.9005341189703984e-09,True,False,1,3,2.4006263157905217e-09,0.16289141417515246,0.010717096971347928,0,4,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,546,73,978,0,False,True,True,False,unweighted_publication_primary,-1.3744691583414388,-1.3744691583414388,4.644490557188501e-09,100000000.0,1.0,True,True,1000.0,546,73,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.0,0.8432835820895523,0.8432835820895523,0.8432835820895523,0.0,0.2829673894057362,0.2551458891914993,0.25514588845097474,-7.405245305847075e-10,True,False,1,3,2.3749279071116902e-09,0.16742218131785172,0.01896179502364248,1,0,3042,2c580d1f822b1e6024453df0edcbb1a2298f2b0add652d52f8c50232bb72d6ec
SR-ATAD5,HEPG2,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,498,121,978,0,False,True,True,False,unweighted_publication_primary,-1.1767191165278303,-1.1767191165278303,0.03792321047309987,10.0,1.0,False,False,3162.277660168379,498,121,0.221256038647343,0.221256038647343,0.33333333333333337,0.11207729468599037,0.92090395480226,0.92090395480226,0.9519774011299436,0.031073446327683607,0.2014782405937146,0.11085023049374443,0.10617249660876657,-0.004677733884977858,True,False,6,8,5.983542859799851e-08,0.18555048723330764,0.02312401100061834,1,1,3042,2c580d1f822b1e6024453df0edcbb1a2298f2b0add652d52f8c50232bb72d6ec
SR-ATAD5,HEPG2,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,438,181,978,0,False,True,True,False,unweighted_publication_primary,-1.3134156155752308,-1.3134156155752308,0.04033160490860899,10.0,3.162277660168379,False,False,3162.277660168379,438,181,0.3318597125380875,0.3318597125380875,0.3736751543931368,0.04181544185504932,0.8023391812865497,0.8023391812865497,0.772514619883041,-0.029824561403508643,0.25028338798144145,0.18987514664776547,0.185784711668782,-0.0040904349789834815,True,False,6,8,6.988472005687446e-08,0.16213760739463934,0.016872089938260615,1,2,3042,2c580d1f822b1e6024453df0edcbb1a2298f2b0add652d52f8c50232bb72d6ec
SR-ATAD5,HEPG2,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,500,119,978,0,False,True,True,False,unweighted_publication_primary,-1.3170682140822445,-1.3170682140822445,4.204288654107669e-09,100000000.0,1.0,True,True,316.2277660168379,500,119,0.3938586545729403,0.3938586545729403,0.3938586545729403,0.0,0.885204081632653,0.885204081632653,0.885204081632653,0.0,0.23922103278846746,0.18161345456298794,0.18161345294922251,-1.613765426844438e-09,True,False,1,3,2.1134090380514614e-09,0.17669599506825454,0.008456780924461782,1,3,3042,2c580d1f822b1e6024453df0edcbb1a2298f2b0add652d52f8c50232bb72d6ec
SR-ATAD5,HEPG2,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,494,125,978,0,False,True,True,False,unweighted_publication_primary,-1.3258988983947604,-1.3258988983947604,4.0480889662968605e-09,100000000.0,3.162277660168379,True,True,316.2277660168379,494,125,0.4417027417027417,0.4417027417027417,0.4417027417027417,0.0,0.8595641646489104,0.8595641646489104,0.8595641646489104,0.0,0.23357498648658176,0.1805408098409614,0.18054080800985797,-1.8311034355456002e-09,True,False,1,3,2.088800486743647e-09,0.17691916032294852,0.01087389700114727,1,4,3042,2c580d1f822b1e6024453df0edcbb1a2298f2b0add652d52f8c50232bb72d6ec
