task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ATAD5,HT29,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,796,107,978,0,False,True,True,False,unweighted_publication_primary,-1.2556896655429859,-1.2556896655429859,3.453043046046992e-09,100000000.0,1.0,True,True,316.2277660168379,796,107,0.33453079178885636,0.33453079178885636,0.33453079178885636,0.0,0.9158415841584158,0.9158415841584158,0.9158415841584158,0.0,0.22993011693477,0.1796469353053778,0.17964693487489852,-4.30479263346939e-10,True,False,1,3,8.641393295372168e-10,0.18580252043900913,0.031426190049387515,0,0,2042,1ea0e33a0c7caa822fa91d7e5b43053f68023bcdebfddb2299b902a188003f16
SR-ATAD5,HT29,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,737,166,978,0,False,True,True,False,unweighted_publication_primary,-1.213221348437602,-1.213221348437602,3.684595855488403e-09,100000000.0,0.31622776601683794,True,True,316.2277660168379,737,166,0.09474713395697426,0.09474713395697426,0.09474713395697426,0.0,0.6313291139240507,0.6313291139240507,0.6313291139240507,0.0,0.2565599185696599,0.18929490819424408,0.1892949079632011,-2.3104299029519382e-10,True,False,1,3,9.965502034692264e-10,0.1841540218313249,0.020537629025056958,0,1,2042,1ea0e33a0c7caa822fa91d7e5b43053f68023bcdebfddb2299b902a188003f16
SR-ATAD5,HT29,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,710,193,978,0,False,True,True,False,unweighted_publication_primary,-1.4159728544024819,-1.4159728544024819,2.602360334678808e-09,100000000.0,100000000.0,True,False,,710,193,0.4626936799297173,0.4626936799297173,0.4626936799297173,0.0,0.920120320855615,0.920120320855615,0.920120320855615,0.0,0.2676165534628486,0.2507616188148658,0.250761617881364,-9.335018313905152e-10,True,False,1,3,1.1533802593555187e-09,0.16810975533965156,0.014741147053427994,0,2,2042,1ea0e33a0c7caa822fa91d7e5b43053f68023bcdebfddb2299b902a188003f16
SR-ATAD5,HT29,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,731,172,978,0,False,True,True,False,unweighted_publication_primary,-1.214184179790275,-1.214184179790275,0.08068177110321209,3.162277660168379,1.0,False,False,3162.277660168379,731,172,0.27053254812563327,0.27053254812563327,0.39862570028011207,0.1280931521544788,0.9123475609756098,0.9123475609756098,0.926829268292683,0.014481707317073211,0.2261332478421921,0.16136880277635823,0.15380289640131878,-0.007565906375039455,True,False,10,12,3.164782830184301e-07,0.17636290971210306,0.058116592932492495,0,3,2042,1ea0e33a0c7caa822fa91d7e5b43053f68023bcdebfddb2299b902a188003f16
SR-ATAD5,HT29,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,638,265,978,0,False,True,True,False,unweighted_publication_primary,-1.141867490951149,-1.141867490951149,0.2000211222306175,1.0,0.09999999999999999,False,False,100.0,638,265,0.20947453882693598,0.20947453882693598,0.18265445334080133,-0.026820085486134654,0.8020758768790265,0.8020758768790265,0.7863278453829635,-0.015748031496062964,0.23101241578183612,0.15838095995538867,0.16022218448855613,0.001841224533167457,True,False,16,18,3.7190487462448974e-07,0.1581524714155453,0.05988343304488808,0,4,2042,1ea0e33a0c7caa822fa91d7e5b43053f68023bcdebfddb2299b902a188003f16
SR-ATAD5,HT29,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,801,102,978,0,False,True,True,False,unweighted_publication_primary,-1.2421088775868816,-1.2421088775868816,3.6713759709989838e-09,100000000.0,0.09999999999999999,True,True,316.2277660168379,801,102,0.4846003898635477,0.4846003898635477,0.4846003898635477,0.0,0.9322916666666666,0.9322916666666666,0.9322916666666666,0.0,0.24457804941481145,0.1807858041406655,0.18078580410942166,-3.1243840847849924e-11,True,False,1,3,1.003514417396989e-09,0.18561699273259508,0.018509704968892038,1,0,3042,2182d80611b581a61d11583274bfd0b0c32c99b7b89fbdf2ff6d5f36140b14aa
SR-ATAD5,HT29,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,709,194,978,0,False,True,True,False,unweighted_publication_primary,-1.2868517744321282,-1.2868517744321282,0.07619799058920242,3.162277660168379,0.31622776601683794,False,False,316.2277660168379,709,194,0.2544650829921071,0.2544650829921071,0.4117191006712416,0.15725401767913455,0.8768315018315018,0.8768315018315018,0.8891941391941391,0.012362637362637319,0.24606077044404745,0.1993659278089278,0.1846199219738433,-0.014746005835084508,True,False,9,11,2.9638836087351496e-07,0.1695269834391746,0.03539185400586575,1,1,3042,2182d80611b581a61d11583274bfd0b0c32c99b7b89fbdf2ff6d5f36140b14aa
SR-ATAD5,HT29,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,737,166,978,0,False,True,True,False,unweighted_publication_primary,-1.2515925451668453,-1.2515925451668453,3.18039027759332e-09,100000000.0,0.31622776601683794,True,True,316.2277660168379,737,166,0.48957239754341203,0.48957239754341203,0.48957239754341203,0.0,0.9002123142250531,0.9002123142250531,0.9002123142250531,0.0,0.22897999534638291,0.17506042578988618,0.1750604250304081,-7.594780637720788e-10,True,False,1,3,1.8436247112285642e-09,0.18732645594209635,0.01782906602602452,1,2,3042,2182d80611b581a61d11583274bfd0b0c32c99b7b89fbdf2ff6d5f36140b14aa
SR-ATAD5,HT29,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,730,173,978,0,False,True,True,False,unweighted_publication_primary,-1.1612111372796254,-1.1612111372796254,3.953118251132471e-09,100000000.0,1.0,True,True,316.2277660168379,730,173,0.3044226044226044,0.3044226044226044,0.3044226044226044,0.0,0.8233532934131736,0.8233532934131736,0.8233532934131736,0.0,0.21335983763816924,0.13562492103405455,0.13562492103217336,-1.881189648500481e-12,True,False,1,3,1.3366245471546634e-09,0.19702396840849443,0.013537127990275621,1,3,3042,2182d80611b581a61d11583274bfd0b0c32c99b7b89fbdf2ff6d5f36140b14aa
SR-ATAD5,HT29,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,635,268,978,0,False,True,True,False,unweighted_publication_primary,-1.304566286853514,-1.304566286853514,3.706526173996891e-09,100000000.0,1.0,True,True,316.2277660168379,635,268,0.18506798040590922,0.18506798040590922,0.18506798040590922,0.0,0.7818139207874385,0.7818139207874385,0.7818139207874385,0.0,0.2662313096216362,0.21639272016304284,0.21639271975508537,-4.0795747335842236e-10,True,False,1,3,8.730590347894029e-10,0.17197357255318346,0.02380863600410521,1,4,3042,2182d80611b581a61d11583274bfd0b0c32c99b7b89fbdf2ff6d5f36140b14aa
