task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-p53,HEPG2,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,525,78,978,0,False,True,True,False,unweighted_publication_primary,-1.4736217707913415,-1.4736217707913415,0.2708151686115926,1.0,0.31622776601683794,False,False,3162.277660168379,525,78,0.25896825396825396,0.25896825396825396,0.3202508960573477,0.06128264208909373,0.7835616438356166,0.7835616438356166,0.7945205479452055,0.010958904109588996,0.4458229328422458,0.2233750854063902,0.21990033546337565,-0.0034747499430145545,True,False,16,18,3.394947927751364e-07,0.23555243947224475,0.08863028103951365,0,0,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,425,178,978,0,False,True,True,False,unweighted_publication_primary,-1.4555880950206794,-1.4555880950206794,7.683762678819895e-09,100000000.0,1.0,True,True,1000.0,425,178,0.14685392391673194,0.14685392391673194,0.14685392391673194,0.0,0.6594076655052266,0.6594076655052266,0.6594076655052266,0.0,0.44827108714434566,0.2686786762890241,0.26867867542326157,-8.657625172325822e-10,True,False,1,3,1.553243599711207e-09,0.3154809045924689,0.006585618015378714,0,1,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,484,119,978,0,False,True,True,False,unweighted_publication_primary,-1.581875335662795,-1.581875335662795,6.067645972016411e-09,100000000.0,1.0,True,True,316.2277660168379,484,119,0.3540388291841496,0.3540388291841496,0.3540388291841496,0.0,0.8183673469387756,0.8183673469387756,0.8183673469387756,0.0,0.4504122438952787,0.3177177652389256,0.31771776224198833,-2.9969372539184747e-09,True,False,1,3,1.4131967714103855e-09,0.29734583829400113,0.008947351016104221,0,2,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,486,117,978,0,False,True,True,False,unweighted_publication_primary,-1.593559680406002,-1.593559680406002,0.0526872185164339,10.0,1.0,False,False,1000.0,486,117,0.45056298594931526,0.45056298594931526,0.46817344651703385,0.01761046056771859,0.8385620915032681,0.8385620915032681,0.8810457516339869,0.0424836601307188,0.4588524846136192,0.33078846588871397,0.3116491329868303,-0.019139332901883688,True,False,7,9,9.926502904551715e-07,0.27696976849154853,0.03756743005942553,0,3,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,492,111,978,0,False,True,True,False,unweighted_publication_primary,-1.6192432122290523,-1.6192432122290523,6.123537865013554e-09,100000000.0,3.162277660168379,True,True,1000.0,492,111,0.4530365893934695,0.4530365893934695,0.4530365893934695,0.0,0.7730263157894737,0.7730263157894737,0.7730263157894737,0.0,0.4887416484521474,0.3697048152995083,0.36970481277850387,-2.5210044607426596e-09,True,False,1,3,2.31241180370656e-09,0.28618155971117526,0.011182539979927242,0,4,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,520,83,978,0,False,True,True,False,unweighted_publication_primary,-1.5178469921578928,-1.5178469921578928,6.699822836066183e-09,100000000.0,1.0,True,True,316.2277660168379,520,83,0.2868387611256881,0.2868387611256881,0.2868387611256881,0.0,0.7050000000000001,0.7050000000000001,0.7050000000000001,0.0,0.48333039948921797,0.2971959670282825,0.29719596588716946,-1.1411130373950584e-09,True,False,1,3,1.5166781164310805e-09,0.3019915882817248,0.011368504958227277,1,0,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a
SR-p53,HEPG2,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,427,176,978,0,False,True,True,False,unweighted_publication_primary,-1.579472068512466,-1.579472068512466,0.12768063977061708,3.162277660168379,1.0,False,False,3162.277660168379,427,176,0.3509648443773301,0.3509648443773301,0.4841445791817722,0.13317973480444212,0.8364063023801542,0.8364063023801542,0.9094870935300033,0.07308079114984911,0.43217911860372654,0.2962993087626995,0.2625323211944844,-0.03376698756821511,True,False,11,13,3.972447517874844e-07,0.26438565120753904,0.02723238302860409,1,1,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a
SR-p53,HEPG2,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,480,123,978,0,False,True,True,False,unweighted_publication_primary,-1.47774365728488,-1.47774365728488,0.28151318188147634,1.0,0.31622776601683794,False,False,10000.0,480,123,0.2801209547484481,0.2801209547484481,0.42265224910259325,0.14253129435414513,0.7261208576998051,0.7261208576998051,0.7183235867446394,-0.007797270955165692,0.4267979516291623,0.24331413466895008,0.22375598351820092,-0.01955815115074916,True,False,15,17,4.344660668479869e-07,0.23527987125726998,0.03944199497345835,1,2,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a
SR-p53,HEPG2,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,494,109,978,0,False,True,True,False,unweighted_publication_primary,-1.6551000351270344,-1.6551000351270344,0.0514158215897044,10.0,1.0,False,False,1000.0,494,109,0.5640744704754627,0.5640744704754627,0.5888697885947665,0.0247953181193038,0.7966751918158568,0.7966751918158568,0.8312020460358056,0.03452685421994883,0.47304494454539764,0.38357452961180477,0.3671761566218917,-0.01639837298991309,True,False,7,9,7.474435528564971e-07,0.26695877835753395,0.04407436598557979,1,3,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a
SR-p53,HEPG2,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,491,112,978,0,False,True,True,False,unweighted_publication_primary,-1.500992441342553,-1.500992441342553,0.006330074464209156,100.0,1.0,False,False,1000.0,491,112,0.21931244996771962,0.21931244996771962,0.2410330586505669,0.02172060868284728,0.6993699369936994,0.6993699369936994,0.7191719171917191,0.01980198019801971,0.49878185658225377,0.3048042673683126,0.30273426806405335,-0.0020699993042592735,True,False,4,6,8.246378657809916e-07,0.29853309913331044,0.03081258898600936,1,4,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a
