k,global_macro_auprc,nr_macro_auprc,sr_macro_auprc
1,0.44279804399176803,0.43834035134437827,0.44903881369811377
2,0.45931446513604174,0.4519877659334076,0.46957184401972957
3,0.47505802955606585,0.4594200096203948,0.49695125746600544
4,0.48282832266407477,0.4649422812539262,0.5078687806382826
5,0.46981128452913307,0.4592993521256605,0.4845279898939946
6,0.4686196743510478,0.4562844683713257,0.48588896272265886
7,0.4698602024573309,0.4585030818190024,0.4857601713509908
8,0.46729869390893025,0.45473904257301406,0.48488220577921287
9,0.45703200845562025,0.4509242914424637,0.46558281227403925
10,0.4488032770449885,0.4438134824095184,0.45578898953464664
11,0.43910968499293873,0.43142376579234426,0.44986997187377104
12,0.43139904540493323,0.42571163582050103,0.4393614188231384
