task,gene_set,n_active,mean_nes,median_nes,q_lt_0_05_n,q_lt_0_10_n,q_lt_primary_n,q_lt_primary_pos_n,q_lt_primary_neg_n,fraction_q_lt_0_05,fraction_q_lt_0_10,fraction_q_lt_0_05_signed,confirmed_enriched,nominally_enriched,mean_abs_nes_significant,dominant_sign,n_endpoints_significant
NR-Aromatase,Adipogenesis,76,0.33401293770761126,0.791720057789339,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Allograft Rejection,76,0.31732308397404646,0.8205619810422338,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
NR-Aromatase,Androgen Response,76,0.20485329169780434,0.7613128071426127,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Angiogenesis,76,0.1382842740018637,0.6326319215609635,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Apical Junction,76,0.4816855373887508,0.960183858012032,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Apical Surface,76,0.3572091296250763,0.8351599063476953,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
NR-Aromatase,Apoptosis,76,0.6315092479924447,0.9415879012185174,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,2
NR-Aromatase,Bile Acid Metabolism,76,0.17360156001112834,0.7261129870738223,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Cholesterol Homeostasis,76,0.2687970196094706,0.9307861807224406,5,6,6,0,0,0.06578947368421052,0.07894736842105263,0.06578947368421052,True,True,0.0,1,2
NR-Aromatase,Coagulation,76,0.19073555582899915,0.7996997363323848,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Complement,76,0.11763606230363285,0.6509096117403118,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,DNA Repair,76,0.3793744350783468,0.916924459338765,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,E2F Targets,76,0.6458841582353338,1.0882595009581482,39,43,43,0,0,0.5131578947368421,0.5657894736842105,0.5131578947368421,True,True,0.0,1,4
NR-Aromatase,Epithelial Mesenchymal Transition,76,0.4614278475926888,0.9549639942698164,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Estrogen Response Early,76,0.3287334773351645,0.7967231221648204,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Estrogen Response Late,76,0.18503771558312423,0.8255078364415586,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Fatty Acid Metabolism,76,0.2988102536818566,0.8471256762349482,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,G2-M Checkpoint,76,0.71143104142827,1.2448938152737588,37,39,39,0,0,0.4868421052631579,0.5131578947368421,0.4868421052631579,True,True,0.0,1,3
NR-Aromatase,Glycolysis,76,0.6228242094735086,1.036492955659046,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Hedgehog Signaling,76,-0.15388020388510903,-0.6340100329714069,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
NR-Aromatase,Hypoxia,76,0.6251435906723625,1.03269799570664,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
NR-Aromatase,IL-2/STAT5 Signaling,76,0.23115740154260153,0.7227232383237077,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,IL-6/JAK/STAT3 Signaling,76,-0.04711821268869058,0.44118088470295846,1,1,1,0,0,0.013157894736842105,0.013157894736842105,0.013157894736842105,True,True,0.0,-1,1
NR-Aromatase,Inflammatory Response,76,0.3063850659733391,0.7890475117012417,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Interferon Alpha Response,76,0.10566945742677133,0.6289711684317789,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Interferon Gamma Response,76,0.3201299199616819,0.8965311459317445,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,2
NR-Aromatase,KRAS Signaling Dn,76,0.23212287431043435,0.6947465213985664,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
NR-Aromatase,KRAS Signaling Up,76,0.03225618250579052,0.5235531060175385,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
NR-Aromatase,Mitotic Spindle,76,0.42134846824699457,0.8622074445168021,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,2
NR-Aromatase,Myc Targets V1,76,0.6332274244037418,1.1781041795798028,7,15,15,0,0,0.09210526315789473,0.19736842105263158,0.09210526315789473,True,True,0.0,1,2
NR-Aromatase,Myc Targets V2,76,0.4569514954819909,0.9505678169425251,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
NR-Aromatase,Myogenesis,76,0.5569149930486496,0.9440117898447824,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Notch Signaling,76,0.22636827869270335,0.7004616296140744,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Oxidative Phosphorylation,76,0.12253032142242289,0.6880098686711233,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,PI3K/AKT/mTOR  Signaling,76,0.6352977985557062,0.9976171457409168,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Pancreas Beta Cells,76,-0.4469356465037856,-0.7529187491055188,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,0
NR-Aromatase,Pperoxisome,76,0.5314855032174757,1.1043023077964111,4,5,5,0,0,0.05263157894736842,0.06578947368421052,0.05263157894736842,True,True,0.0,1,2
NR-Aromatase,Protein Secretion,76,0.4317083090041966,1.0122168349821679,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Reactive Oxygen Species Pathway,76,0.35155899843278954,0.8196973596903966,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
NR-Aromatase,Spermatogenesis,76,0.29060412340098685,0.8016279236960056,0,7,7,0,0,0.0,0.09210526315789473,0.0,False,True,0.0,1,1
NR-Aromatase,TGF-beta Signaling,76,-0.29882341926408107,-0.7831932013117142,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,-1,1
NR-Aromatase,TNF-alpha Signaling via NF-kB,76,0.42647151993479215,0.8868113466833788,3,3,3,0,0,0.039473684210526314,0.039473684210526314,0.039473684210526314,True,True,0.0,1,4
NR-Aromatase,UV Response Dn,76,0.34366591970650723,0.811373949763718,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
NR-Aromatase,UV Response Up,76,0.4500420487816601,0.9785788094556069,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Unfolded Protein Response,76,0.5996840261171856,0.9662969902460863,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,1
NR-Aromatase,Wnt-beta Catenin Signaling,76,0.01271271348304883,0.5185471837377579,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
NR-Aromatase,Xenobiotic Metabolism,76,0.6677956134679376,1.148632112334314,0,0,0,0,0,0.0,0.0,0.0,False,False,0.0,1,0
