variant,task,cell,gene,beta_mean,beta_sd,n_outer_fits,abs_beta_mean,sign_positive,sign_consistency,n_repeat_points
standardized,NR-Aromatase,MCF7,RAP1GAP,0.0126711907522074,0.009203753131977,100,0.0126711907522074,1.0,,100
standardized,NR-Aromatase,MCF7,TSC22D3,0.0120333378661934,0.0084509385069221,100,0.0120333378661934,1.0,,100
standardized,NR-Aromatase,MCF7,LAMA3,0.0113140463928522,0.0109911434199664,100,0.0113140463928522,1.0,,100
standardized,NR-Aromatase,MCF7,HIST2H2BE,0.0101307767623244,0.0060228091719338,100,0.0101307767623244,1.0,,100
standardized,NR-Aromatase,MCF7,MVP,0.0098194498272805,0.0060447473573186,100,0.0098194498272805,1.0,,100
standardized,NR-Aromatase,MCF7,HOXA5,0.0095702201902727,0.0078442270089527,100,0.0095702201902727,1.0,,100
standardized,NR-Aromatase,MCF7,PSRC1,-0.0093936029946338,0.007119393797837,100,0.0093936029946338,0.0,,100
standardized,NR-Aromatase,MCF7,DDIT4,0.0090327582380217,0.0058912828815638,100,0.0090327582380217,1.0,,100
standardized,NR-Aromatase,MCF7,PIK3R3,0.0079193986141029,0.0052135996474189,100,0.0079193986141029,1.0,,100
standardized,NR-Aromatase,MCF7,FOXO3,0.0078061791536584,0.0054323925067583,100,0.0078061791536584,1.0,,100
standardized,NR-Aromatase,MCF7,CCNA2,-0.0077432100915929,0.0035409494991389,100,0.0077432100915929,0.0,,100
standardized,NR-Aromatase,MCF7,LIG1,-0.0074732488477139,0.0043251857597774,100,0.0074732488477139,0.0,,100
standardized,SR-ARE,HEPG2,FOS,0.0128667154998335,0.0102347796619455,100,0.0128667154998335,1.0,,100
standardized,SR-ARE,HEPG2,LRP10,0.0108609214998317,0.0069382981620372,100,0.0108609214998317,1.0,,100
standardized,SR-ARE,HEPG2,FOSL1,0.010601149160793,0.0060585528544086,100,0.010601149160793,1.0,,100
standardized,SR-ARE,HEPG2,TXNRD1,0.0105486576891224,0.0068304578280749,100,0.0105486576891224,1.0,,100
