task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR,HA1E,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,450,286,978,0,True,True,-2.052644450030851,True,0.19953913869359927,0.39907827738719853,False,False,1,3,42,42,1,5.8191493637616e-10,0.20116614067791008,0.004060812992975116,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,450,286,978,0,True,True,-2.052644450030851,True,0.19953913805694348,0.39907827611388696,True,False,1,3,42,42,1,1.2120418037275815e-09,0.2011661398337835,0.0024492429802194238,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,450,286,978,0,True,True,-2.052644450030851,True,0.199539136043662,0.399078272087324,True,False,1,3,42,42,1,3.843195695713009e-09,0.2011661371644214,0.0025081710191443563,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,450,286,978,0,True,True,-2.052644450030851,True,0.19953912967711682,0.39907825935423363,True,False,1,3,42,42,1,1.2047376503950685e-08,0.20116612872316128,0.002572398050688207,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,450,286,978,0,True,True,-2.052644450030851,True,0.19953910954443024,0.3990782190888605,True,False,1,3,42,42,1,3.809600961730483e-08,0.20116610202959476,0.002423969912342727,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,450,286,978,0,True,True,-2.052644450030851,True,0.19953904588025687,0.39907809176051373,True,False,1,3,42,42,1,1.2046864356226282e-07,0.20116601761754324,0.0023980600526556373,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,450,286,978,0,True,True,-2.052644450030851,True,0.19953884456617904,0.3990776891323581,True,False,1,3,42,42,1,3.8093955788192843e-07,0.2011657506873737,0.0024607409723103046,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,450,286,978,0,True,True,-2.052644450030851,True,0.19953820809243872,0.39907641618487744,True,False,2,4,42,42,1,1.678961986800731e-10,0.20116490662180492,0.002930613001808524,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,450,286,978,0,True,True,-2.052644450030851,True,0.19953619659013558,0.39907239318027116,True,False,2,4,42,42,1,1.6777145159241336e-09,0.2011622378692858,0.0028307740576565266,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,450,286,978,0,True,True,-2.052644450030851,True,0.19952984779510216,0.3990596955902043,True,False,2,4,42,42,1,1.673757751667615e-08,0.201153802696239,0.0028841319726780057,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
