task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER,MCF7,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,667,302,978,0,True,True,-1.5521241406031778,True,0.3875277086015468,0.7750554172030936,False,False,1,3,42,42,1,2.0276858837819933e-09,0.3709465052213474,0.007592287962324917,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,667,302,978,0,True,True,-1.5521241406031778,True,0.3875277077244809,0.7750554154489618,True,False,1,3,42,42,1,4.4211406853220114e-09,0.37094650298988086,0.006465342012234032,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,667,302,978,0,True,True,-1.5521241406031778,True,0.3875277049509592,0.7750554099019183,True,False,1,3,42,42,1,1.4006215102654873e-08,0.37094649593336637,0.0057510510087013245,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,667,302,978,0,True,True,-1.5521241406031778,True,0.38752769618035166,0.7750553923607033,True,False,1,3,42,42,1,4.4307459582358655e-08,0.37094647361873184,0.00630699098110199,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,667,302,978,0,True,True,-1.5521241406031778,True,0.38752766844564074,0.7750553368912815,True,False,1,3,42,42,1,1.4011204501913205e-07,0.3709464030538994,0.0077306299936026335,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,667,302,978,0,True,True,-1.5521241406031778,True,0.38752758074463484,0.7750551614892697,True,False,1,3,42,42,1,4.4306442588491063e-07,0.37094617991068285,0.006998961907811463,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,667,302,978,0,True,True,-1.5521241406031778,True,0.38752730346361,0.77505460692722,True,False,2,4,42,42,1,1.876078944973436e-10,0.37094547429363844,0.008172014961019158,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,667,302,978,0,True,True,-1.5521241406031778,True,0.3875264270986243,0.7750528541972486,True,False,2,4,42,42,1,1.8754166900003533e-09,0.37094324317416466,0.00806154403835535,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,667,302,978,0,True,True,-1.5521241406031778,True,0.3875236605735767,0.7750473211471534,True,False,2,4,42,42,1,1.8732913612679036e-08,0.3709361901271079,0.00802496902178973,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,667,302,978,0,True,True,-1.5521241406031778,True,0.38751495956974646,0.7750299191394929,True,False,2,4,42,42,1,1.8665979575893665e-07,0.3709139100551666,0.007343805977143347,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
