task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-PPAR-gamma,HA1E,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,484,148,978,0,True,True,-1.6051485245602923,True,0.12516836365960723,0.25033672731921447,False,False,1,3,42,42,1,8.886012099751373e-10,0.17776337072082835,0.0044921369990333915,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c893f891eba0e200b1ddeb699a07bd1e09c2ba72001012dfa02b24c5739f074d
NR-PPAR-gamma,HA1E,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,484,148,978,0,True,True,-1.6051485245602923,True,0.1251683641578077,0.2503367283156154,True,False,1,3,42,42,1,1.983457131177202e-09,0.17776336868587322,0.0038059859070926905,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c893f891eba0e200b1ddeb699a07bd1e09c2ba72001012dfa02b24c5739f074d
NR-PPAR-gamma,HA1E,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,484,148,978,0,True,True,-1.6051485245602923,True,0.1251683657332558,0.2503367314665116,True,False,1,3,42,42,1,6.2019511817834605e-09,0.1777633622507816,0.004131020046770573,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c893f891eba0e200b1ddeb699a07bd1e09c2ba72001012dfa02b24c5739f074d
NR-PPAR-gamma,HA1E,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,484,148,978,0,True,True,-1.6051485245602923,True,0.12516837071525969,0.25033674143051937,True,False,1,3,42,42,1,1.9646267841733067e-08,0.17776334190125034,0.003588489955291152,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c893f891eba0e200b1ddeb699a07bd1e09c2ba72001012dfa02b24c5739f074d
NR-PPAR-gamma,HA1E,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,484,148,978,0,True,True,-1.6051485245602923,True,0.12516838646973466,0.2503367729394693,True,False,1,3,42,42,1,6.214807199075856e-08,0.17776327755053406,0.003868215950205922,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c893f891eba0e200b1ddeb699a07bd1e09c2ba72001012dfa02b24c5739f074d
NR-PPAR-gamma,HA1E,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,484,148,978,0,True,True,-1.6051485245602923,True,0.12516843628971291,0.25033687257942583,True,False,1,3,42,42,1,1.9652778192671971e-07,0.17776307405721886,0.0040355309611186385,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c893f891eba0e200b1ddeb699a07bd1e09c2ba72001012dfa02b24c5739f074d
NR-PPAR-gamma,HA1E,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,484,148,978,0,True,True,-1.6051485245602923,True,0.12516859383385642,0.25033718766771285,True,False,1,3,42,42,1,6.214587236520741e-07,0.17776243057002986,0.003986494964919984,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c893f891eba0e200b1ddeb699a07bd1e09c2ba72001012dfa02b24c5739f074d
NR-PPAR-gamma,HA1E,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,484,148,978,0,True,True,-1.6051485245602923,True,0.12516909199957887,0.25033818399915775,True,False,2,4,42,42,1,1.4305200687209085e-10,0.17776039583668188,0.004813345964066684,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c893f891eba0e200b1ddeb699a07bd1e09c2ba72001012dfa02b24c5739f074d
NR-PPAR-gamma,HA1E,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,484,148,978,0,True,True,-1.6051485245602923,True,0.1251706671271947,0.2503413342543894,True,False,2,4,42,42,1,1.4308590735867543e-09,0.17775396296486048,0.00471257499884814,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c893f891eba0e200b1ddeb699a07bd1e09c2ba72001012dfa02b24c5739f074d
NR-PPAR-gamma,HA1E,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,484,148,978,0,True,True,-1.6051485245602923,True,0.12517564588879615,0.2503512917775923,True,False,2,4,42,42,1,1.4319479833650728e-08,0.1777336356961364,0.004301603999920189,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c893f891eba0e200b1ddeb699a07bd1e09c2ba72001012dfa02b24c5739f074d
