task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-p53,HA1E,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,512,173,978,0,True,True,-1.6458061191411313,True,0.3098960408557383,0.6197920817114766,False,False,1,3,42,42,1,5.852049775323387e-09,0.2711039809248094,0.0036730129504576325,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c
SR-p53,HA1E,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,512,173,978,0,True,True,-1.6458061191411313,True,0.3098960240049738,0.6197920480099476,True,False,1,3,42,42,1,1.2758373191257277e-08,0.271103969027141,0.007577798096463084,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c
SR-p53,HA1E,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,512,173,978,0,True,True,-1.6458061191411313,True,0.30989597071825437,0.6197919414365087,True,False,1,3,42,42,1,4.042242978535837e-08,0.27110393140343964,0.0034920379985123873,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c
SR-p53,HA1E,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,512,173,978,0,True,True,-1.6458061191411313,True,0.3098958022116247,0.6197916044232494,True,False,1,3,42,42,1,1.2781513320653248e-07,0.271103812427143,0.0030713939340785146,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c
SR-p53,HA1E,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,512,173,978,0,True,True,-1.6458061191411313,True,0.3098952693546023,0.6197905387092046,True,False,1,3,42,42,1,4.041893676004493e-07,0.2711034361939963,0.003095282008871436,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c
SR-p53,HA1E,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,512,173,978,0,True,True,-1.6458061191411313,True,0.3098935844199705,0.619787168839941,True,False,2,4,42,42,1,1.0209741906075376e-11,0.27110224646970027,0.003714755061082542,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c
SR-p53,HA1E,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,512,173,978,0,True,True,-1.6458061191411313,True,0.3098882571363517,0.6197765142727034,True,False,2,4,42,42,1,1.0210936913709889e-10,0.271098484524913,0.0036108100321143866,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c
SR-p53,HA1E,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,512,173,978,0,True,True,-1.6458061191411313,True,0.30987142035384796,0.6197428407076959,True,False,2,4,42,42,1,1.0214686288652353e-09,0.2710865911481851,0.003510231035761535,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c
SR-p53,HA1E,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,512,173,978,0,True,True,-1.6458061191411313,True,0.30981827336836726,0.6196365467367345,True,False,2,4,42,42,1,1.0226524480971139e-08,0.27104901034434503,0.0036028228932991624,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c
SR-p53,HA1E,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,512,173,978,0,True,True,-1.6458061191411313,True,0.3096511612902198,0.6193023225804396,True,False,2,4,42,42,1,1.0263781804542918e-07,0.2709304624374666,0.003483362030237913,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c
