task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,DDR1,-3.839356958880208e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,PAX8,-4.158564992601216e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,RPS5,-2.2167847211321896e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,ABCF1,3.857554672305903e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,SPAG7,2.976191849131353e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,RHOA,-9.245457053214634e-12,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,RNPS1,-1.1283501956956142e-10,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,SMNDC1,-1.4207217639119953e-10,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,ATP6V0B,8.212959960808871e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,RPS6,8.98238009908337e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,USP22,-8.381783710121622e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,APP,1.9693336116094694e-10,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,CLTC,-9.187022757922989e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,MLEC,-1.7475194209337625e-10,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,CSRP1,5.2194995807252614e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,CALM3,1.3316846892677278e-10,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,PTPRF,1.6841776345154438e-10,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,DNAJB1,-2.2524827935298197e-10,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,XBP1,-1.7530433739588936e-10,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,GRN,1.300847824554275e-10,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,HK1,-6.623346323417195e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,KDELR2,-2.948846957423833e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,SKP1,-2.156053199881269e-11,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,CAPN1,-1.5534155856161682e-10,100000000.0,-1.3147135430864756,True
SR-ATAD5,HT29,standardized,0,0,0,2042,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8,CALU,-8.249900704202206e-11,100000000.0,-1.3147135430864756,True
