task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,DDR1,4.763671237698057e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,PAX8,8.12841855502657e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,RPS5,3.446979602802728e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,ABCF1,5.02533894273366e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,SPAG7,1.803628001335265e-10,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,RHOA,-1.070029127570017e-10,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,RNPS1,6.061966373035443e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,SMNDC1,-7.43186378506155e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,ATP6V0B,-3.696564553092769e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,RPS6,6.174259406674479e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,USP22,-3.568777986447458e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,APP,1.531839146816987e-10,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,CLTC,-3.98180047676753e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,MLEC,5.447291523656555e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,CSRP1,1.1753354297392005e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,CALM3,-9.392642236984187e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,PTPRF,1.0654761897212084e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,DNAJB1,-1.117652248359605e-10,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,XBP1,5.4927828804863975e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,GRN,1.5985873473113286e-10,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,HK1,-7.249923788521721e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,KDELR2,4.681477111650418e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,SKP1,-5.338700412292197e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,CAPN1,2.3987089597509813e-12,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,CALU,-7.897572662065575e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,CTSD,1.2279877941529562e-10,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,MAT2A,1.0666179978768255e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,STMN1,-3.37756315417993e-10,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,ECH1,1.7806890143777396e-10,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,IQGAP1,-1.0800198981555104e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,HSPA1A,-1.6003356072173917e-12,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,HSPD1,-1.8305772738262387e-10,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,CIRBP,1.6541560372201244e-12,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,PSME1,-3.250630035611184e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,PAFAH1B1,-1.5543073981430066e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,HYOU1,1.7029420610112503e-10,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,PSMD2,-4.2935776555810074e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,EPRS,1.5512561972253805e-10,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,PSMD4,-3.4990624664759064e-11,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,PGAM1,-2.736629622228228e-10,100000000.0,-2.2703021030900428,True
SR-HSE,MCF7,standardized,0,0,0,2042,2042,95c0179a19b653d0e39b7f4134d22488f981bab4a1552d656bc86a7bf55214a9,STAT1,-7.212706158174165e-11,100000000.0,-2.2703021030900428,True
