task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER-LBD,MCF7,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1064,114,978,0,False,True,True,False,unweighted_publication_primary,-2.2036805323137347,-2.2036805323137347,2.9909394609968172e-09,100000000.0,0.31622776601683794,True,True,100.0,1064,114,0.4774193548387097,0.4774193548387097,0.4774193548387097,0.0,0.7207207207207207,0.7207207207207207,0.7207207207207207,0.0,0.39297213831078964,0.11389379326980978,0.11389379340270288,1.328930993027555e-10,True,False,1,3,9.946684587092136e-10,0.17979317727366123,0.010454230010509491,0,0,2042,a897325baf80a7b7559dec9255234d06e8598ecb8d65be254818fa18f0ef7795
NR-ER-LBD,MCF7,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,970,208,978,0,False,True,True,False,unweighted_publication_primary,-2.3349544589540865,-2.3349544589540865,0.021082566887553052,10.0,0.31622776601683794,False,False,100.0,970,208,0.3266002051813003,0.3266002051813003,0.38171021666471694,0.055110011483416654,0.820034542314335,0.820034542314335,0.82279792746114,0.002763385146804964,0.43957299467822925,0.23102851258383988,0.22700415999784798,-0.004024352585991903,True,False,6,8,5.8699605791964066e-08,0.1588501919798761,0.03273187403101474,0,1,2042,a897325baf80a7b7559dec9255234d06e8598ecb8d65be254818fa18f0ef7795
NR-ER-LBD,MCF7,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,809,369,978,0,False,True,True,False,unweighted_publication_primary,-2.0652189845327267,-2.0652189845327267,3.522710150188786e-09,100000000.0,0.09999999999999999,True,True,316.2277660168379,809,369,0.07063864022783226,0.07063864022783226,0.07063864022783226,0.0,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.0,0.3900971297256193,0.1244257185106395,0.12442571839359996,-1.170395308447425e-10,True,False,1,3,1.7043205735589595e-09,0.19694754378654533,0.010031779995188117,0,2,2042,a897325baf80a7b7559dec9255234d06e8598ecb8d65be254818fa18f0ef7795
NR-ER-LBD,MCF7,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,935,243,978,0,False,True,True,False,unweighted_publication_primary,-2.4238582957643873,-2.4238582957643873,3.0086682282672447e-09,100000000.0,0.31622776601683794,True,True,100.0,935,243,0.703919853090198,0.703919853090198,0.703919853090198,0.0,0.8504484304932736,0.8504484304932736,0.8504484304932736,0.0,0.40561765197030636,0.23326062376235954,0.2332606237037217,-5.863784457993404e-11,True,False,1,3,1.0693437420272733e-09,0.15861312834164618,0.012707356014288962,0,3,2042,a897325baf80a7b7559dec9255234d06e8598ecb8d65be254818fa18f0ef7795
NR-ER-LBD,MCF7,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,934,244,978,0,False,True,True,False,unweighted_publication_primary,-2.2553452867640273,-2.2553452867640273,0.17575915411882642,1.0,0.09999999999999999,False,False,100.0,934,244,0.2405354302515561,0.2405354302515561,0.3377846508939699,0.09724922064241381,0.7719109195402298,0.7719109195402298,0.6875,-0.08441091954022983,0.4109732944224591,0.1810429814151976,0.17929849347936097,-0.0017444879358366194,True,False,13,16,9.700207329534256e-07,0.148116393233378,0.06027657201047987,0,4,2042,a897325baf80a7b7559dec9255234d06e8598ecb8d65be254818fa18f0ef7795
NR-ER-LBD,MCF7,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1068,110,978,0,False,True,True,False,unweighted_publication_primary,-2.269374975220657,-2.269374975220657,0.3519149319895689,0.31622776601683794,0.09999999999999999,False,False,100.0,1068,110,0.3178869860180359,0.3178869860180359,0.5861742424242424,0.26828725640620654,0.7900641025641025,0.7900641025641025,0.764423076923077,-0.02564102564102555,0.40297576488319575,0.19491629507484587,0.17242619506066487,-0.022490100014181003,True,False,19,21,7.237425735100601e-07,0.1317937776336284,0.07584507495630533,1,0,3042,6ae0facb32e4cf502add51fd2cfc343275d9c2ee02f5502de678627c0b8fd3d9
NR-ER-LBD,MCF7,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,914,264,978,0,False,True,True,False,unweighted_publication_primary,-2.2516392326169985,-2.2516392326169985,3.2320123068799604e-09,100000000.0,0.31622776601683794,True,True,100.0,914,264,0.62997554093717,0.62997554093717,0.62997554093717,0.0,0.8822857142857142,0.8822857142857142,0.8822857142857142,0.0,0.39848002505525865,0.15916939273229094,0.15916939265211225,-8.01786970150431e-11,True,False,1,3,1.0027129716816408e-09,0.17745681549867365,0.011867485009133816,1,1,3042,6ae0facb32e4cf502add51fd2cfc343275d9c2ee02f5502de678627c0b8fd3d9
NR-ER-LBD,MCF7,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,825,353,978,0,False,True,True,False,unweighted_publication_primary,-2.2231554024224214,-2.2231554024224214,0.1796196708666623,1.0,0.31622776601683794,False,False,31.622776601683796,825,353,0.28650953763372167,0.28650953763372167,0.3534236252850602,0.06691408765133855,0.7570474777448071,0.7570474777448071,0.7314540059347181,-0.025593471810088975,0.40066335535207326,0.16450421772321722,0.15777897331506807,-0.006725244408149145,True,False,12,14,6.701808433174587e-07,0.15391875790074624,0.050112135941162705,1,2,3042,6ae0facb32e4cf502add51fd2cfc343275d9c2ee02f5502de678627c0b8fd3d9
NR-ER-LBD,MCF7,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,964,214,978,0,False,True,True,False,unweighted_publication_primary,-2.172500719731502,-2.172500719731502,0.36910546427817154,0.31622776601683794,0.09999999999999999,False,False,1000.0,964,214,0.5248406259055346,0.5248406259055346,0.5224140514329301,-0.0024265744726045257,0.9365079365079364,0.9365079365079364,0.8978605935127674,-0.03864734299516903,0.3976064825661011,0.12403820062435227,0.11104592193249656,-0.012992278691855708,True,False,21,24,3.847335432132881e-07,0.14042379432437102,0.0832785649690777,1,3,3042,6ae0facb32e4cf502add51fd2cfc343275d9c2ee02f5502de678627c0b8fd3d9
NR-ER-LBD,MCF7,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,941,237,978,0,False,True,True,False,unweighted_publication_primary,-2.3510194282921577,-2.3510194282921577,2.808742288730089e-09,100000000.0,0.09999999999999999,True,True,31.622776601683796,941,237,0.17844141352203244,0.17844141352203244,0.17844141352203244,0.0,0.6566742081447964,0.6566742081447964,0.6566742081447964,0.0,0.4344742967803899,0.2404723544896793,0.2404723542359361,-2.537431931237677e-10,True,False,1,3,8.742003718142932e-10,0.1567304239437874,0.014478746918030083,1,4,3042,6ae0facb32e4cf502add51fd2cfc343275d9c2ee02f5502de678627c0b8fd3d9
