variant,task,cell,ik,y,n_repeats,mean_probability_chem,mean_probability_bio,mean_delta_probability,n_repeats_exceeding_threshold,effect_threshold,wilcoxon_alternative,wilcoxon_p_value,effect_and_stability_pass,bh_q_value,retained,classification
standardized,NR-AR,HA1E,AADCDMQTJNYOSS,0,20,0.0409294513603277,0.04074811456933721,-0.00018133679099048526,0,-0.02,less,9.5367431640625e-07,False,4.1226545969645185e-06,False,not_retained
standardized,NR-AR,HA1E,AAKJLRGGTJKAMG,1,20,0.049019406729858016,0.04846236938429736,-0.0005570373455606594,0,0.05,greater,0.9999971389770508,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AAOVKJBEBIDNHE,0,20,0.055068970731041375,0.05523266456603891,0.00016369383499754037,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,ACWBQPMHZXGDFX,0,20,0.041172229332353184,0.04160933454432685,0.00043710521197367974,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,ADEBPBSSDYVVLD,0,20,0.06285398381661304,0.06340414458255633,0.0005501607659432736,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AELCINSCMGFISI,0,20,0.0715346642330085,0.07109450964060658,-0.0004401545924019052,0,-0.02,less,0.9997072219848633,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AFJYYKSVHJGXSN,0,20,0.062485215826793325,0.06248521405051568,-1.776277644763291e-09,0,-0.02,less,9.5367431640625e-07,False,4.1226545969645185e-06,False,not_retained
standardized,NR-AR,HA1E,AFNXATANNDIXLG,0,20,0.02998451345880752,0.02994743205885699,-3.708139995053476e-05,0,-0.02,less,0.0001049041748046875,False,0.0003658422902852547,False,not_retained
standardized,NR-AR,HA1E,AFSOIHMEOKEZJF,0,20,0.04276500014216907,0.04276500010094258,-4.122650137938777e-11,0,-0.02,less,0.026584625244140625,False,0.07688236568862968,False,not_retained
standardized,NR-AR,HA1E,AGMMTXLNIQSRCG,0,20,0.05096520775940653,0.05056498044045393,-0.00040022731895259547,0,-0.02,less,0.9620742797851562,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AGOYDEPGAOXOCK,0,20,0.09797081314026586,0.0979708132446937,1.0442783582309544e-10,0,-0.02,less,0.9513463973999023,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AHLBNYSZXLDEJQ,0,20,0.03839172950353375,0.03839172958952869,8.599493547811755e-11,0,-0.02,less,0.9914093017578125,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AHOUBRCZNHFOSL,0,20,0.043560191522275485,0.04356657363731643,6.382115040935374e-06,0,-0.02,less,0.9998388290405273,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AJLFOPYRIVGYMJ,0,20,0.07233576807129989,0.06870259730471864,-0.0036331707665812596,1,-0.02,less,9.5367431640625e-07,False,4.1226545969645185e-06,False,not_retained
standardized,NR-AR,HA1E,AKJHMTWEGVYYSE,0,20,0.044709041268473346,0.04372396977760542,-0.0009850714908679256,1,-0.02,less,0.00029277801513671875,False,0.0009838289577468688,False,not_retained
standardized,NR-AR,HA1E,AKNNEGZIBPJZJG,0,20,0.047976000262722085,0.048153138300350236,0.00017713803762814533,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,ANGKOCUUWGHLCE,0,20,0.08944190757777062,0.0896237728662526,0.00018186528848197075,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,ANMLJLFWUCQGKZ,0,20,0.04138091657733373,0.04166387048593565,0.0002829539086019291,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,APGDTXUMTIZLCJ,1,20,0.46556163410224044,0.46556164135696143,7.254720993388197e-09,0,0.05,greater,9.5367431640625e-07,False,4.1226545969645185e-06,False,not_retained
standardized,NR-AR,HA1E,AQCHWTWZEMGIFD,0,20,0.05097844286933898,0.0509784434337775,5.644385195346935e-10,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AQHHHDLHHXJYJD,0,20,0.03565119307375075,0.03482897081017968,-0.0008222222635710702,0,-0.02,less,9.5367431640625e-07,False,4.1226545969645185e-06,False,not_retained
standardized,NR-AR,HA1E,AQIXAKUUQRKLND,0,20,0.03689145883422416,0.036946241473316474,5.4782639092329843e-05,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AQNDDEOPVVGCPG,0,20,0.04351760074324361,0.04371649660600095,0.00019889586275733637,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,ARFHIAQFJWUCFH,0,20,0.04908587488642749,0.04908587430427526,-5.821522205268215e-10,0,-0.02,less,9.5367431640625e-07,False,4.1226545969645185e-06,False,not_retained
standardized,NR-AR,HA1E,ARSRBNBHOADGJU,0,20,0.032892649197566404,0.03249397116405055,-0.00039867803351585455,0,-0.02,less,9.5367431640625e-07,False,4.1226545969645185e-06,False,not_retained
standardized,NR-AR,HA1E,ASUTZQLVASHGKV,0,20,0.14157344043429768,0.14232025036347556,0.0007468099291778787,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,ATCGGEJZONJOCL,0,20,0.038554508737747045,0.038689614315889534,0.00013510557814248557,0,-0.02,less,1.0,False,1.0,False,not_retained
standardized,NR-AR,HA1E,AUNGANRZJHBGPY,0,20,0.0824379904071861,0.08275799942532089,0.0003200090181347849,0,-0.02,less,1.0,False,1.0,False,not_retained
