variant,task,cell,n_repeats,outer_folds_per_repeat,n_paired_outer_draws,n_unique_compounds,n_test_evaluations,mean_auprc_chem,sd_auprc_chem,mean_auprc_bio,sd_auprc_bio,mean_delta_auprc,sd_delta_auprc,nb_auprc_corrected_se,nb_auprc_ci_low,nb_auprc_ci_high,nb_auprc_t_stat,nb_auprc_df,nb_auprc_p_value,nb_auprc_inference_valid,nb_auprc_variance_degenerate,nb_auprc_correction_factor,nb_auprc_mean_test_train_ratio,mean_auroc_chem,sd_auroc_chem,mean_auroc_bio,sd_auroc_bio,mean_delta_auroc,sd_delta_auroc,nb_auroc_corrected_se,nb_auroc_ci_low,nb_auroc_ci_high,nb_auroc_t_stat,nb_auroc_df,nb_auroc_p_value,nb_auroc_inference_valid,nb_auroc_variance_degenerate,nb_auroc_correction_factor,nb_auroc_mean_test_train_ratio,mean_log_loss_chem,sd_log_loss_chem,mean_log_loss_bio,sd_log_loss_bio,mean_delta_log_loss,sd_delta_log_loss,nb_log_loss_corrected_se,nb_log_loss_ci_low,nb_log_loss_ci_high,nb_log_loss_t_stat,nb_log_loss_df,nb_log_loss_p_value,nb_log_loss_inference_valid,nb_log_loss_variance_degenerate,nb_log_loss_correction_factor,nb_log_loss_mean_test_train_ratio,nb_auprc_q_value,significant_positive_auprc_fdr,nb_auroc_q_value,significant_positive_auroc_fdr,nb_log_loss_q_value,significant_positive_log_loss_fdr,significant_improvement_log_loss_fdr
standardized,NR-AR,HA1E,20,5,100,830,16600,0.4322698892056048,0.20411266184708068,0.4322098280507019,0.2040669767290569,-6.0061154902840005e-05,0.001890991396276417,0.0009781344944942603,-0.0020008921997337276,0.0018807698899280475,-0.061403779583393936,99,0.9511614361011573,True,False,0.26755806343868055,0.25755806343868054,0.7063803223047479,0.12888980093859134,0.7050245980321226,0.13012990240116487,-0.0013557242726254639,0.013557954619037681,0.007012989648594909,-0.015271017214122402,0.012559568668871476,-0.19331616622264522,99,0.8471074271298377,True,False,0.26755806343868055,0.25755806343868054,0.20581740340466886,0.035647680366044605,0.20589191205225063,0.035730655733566326,7.450864758179751e-05,0.001063875174001289,0.0005503002327645873,-0.0010174064026888705,0.0011664236978524655,0.13539635847050702,99,0.8925734178806966,True,False,0.26755806343868055,0.25755806343868054,1.0,False,1.0,False,1.0,False,False
standardized,NR-AR,HT29,20,5,100,585,11700,0.38507728226188703,0.16730800506705523,0.38507728226188703,0.16730800506705523,0.0,0.0,0.0,,,,99,,False,True,0.265067187143678,0.255067187143678,0.6335926064268641,0.12509471727352003,0.6335926064268641,0.12509471727352003,0.0,0.0,0.0,,,,99,,False,True,0.265067187143678,0.255067187143678,0.2323620318131837,0.04956782549407357,0.23236203167466726,0.04956782546556104,-1.385164891121171e-10,2.965261126622631e-10,1.5266550860755968e-10,,,,99,,False,True,0.265067187143678,0.255067187143678,1.0,False,1.0,False,1.0,False,False
standardized,NR-AR,MCF7,20,5,100,1243,24860,0.45969048127949785,0.19868124072848808,0.45969048127949785,0.19868124072848808,0.0,0.0,0.0,,,,99,,False,True,0.2698943090712041,0.2598943090712041,0.7398289930607785,0.09662370516280283,0.7398289930607785,0.09662370516280283,0.0,0.0,0.0,,,,99,,False,True,0.2698943090712041,0.2598943090712041,0.18456876023468446,0.03903529098952796,0.18456876017138274,0.03903529100119049,-6.330169527446472e-11,2.0356871252044719e-10,1.057567006777143e-10,,,,99,,False,True,0.2698943090712041,0.2598943090712041,1.0,False,1.0,False,1.0,False,False
standardized,NR-AR-LBD,HA1E,20,5,100,747,14940,0.5027177274640572,0.23949026095939735,0.5027137654659084,0.2398988996619804,-3.961998148879998e-06,0.0031904641473560046,0.001651526045704263,-0.0032809479738933824,0.003273023977595622,-0.0023989922285424666,99,0.9980907104428067,True,False,0.2679557723653901,0.2579557723653901,0.8077140056285385,0.1245176279752492,0.8073430125774719,0.12431644124729158,-0.00037099305106658,0.003731836677751651,0.001931764529223403,-0.0042040329762748465,0.003462046874141686,-0.19204879552049986,99,0.8480973587111397,True,False,0.2679557723653901,0.2579557723653901,0.14078482775733892,0.0427545965255784,0.1408870310747642,0.04286022132619398,0.00010220331742528331,0.0008688660054191003,0.00044976366193170937,-0.0007902253647522348,0.0009946319996028015,0.22723782749883764,99,0.820707414623306,True,False,0.2679557723653901,0.2579557723653901,1.0,False,1.0,False,1.0,False,False
standardized,NR-AR-LBD,HT29,20,5,100,523,10460,0.5098805230800949,0.2141064344364238,0.5098805230800949,0.2141064344364238,0.0,0.0,0.0,,,,99,,False,True,0.2665813702024514,0.25658137020245136,0.7587128202665648,0.14787162734419018,0.7587128202665648,0.14787162734419018,0.0,0.0,0.0,,,,99,,False,True,0.2665813702024514,0.25658137020245136,0.11693346496848203,0.050946361929509014,0.11693346493825278,0.05094636190650363,-3.0229252989677494e-11,1.0221941478075495e-10,5.277743604726371e-11,,,,99,,False,True,0.2665813702024514,0.25658137020245136,1.0,False,1.0,False,1.0,False,False
standardized,NR-AR-LBD,MCF7,20,5,100,1129,22580,0.5833554356001741,0.2215535159797979,0.5857963858422862,0.22063937645147613,0.002440950242112158,0.016001654159521102,0.008316633001984732,-0.014061053939902493,0.018942954424126808,0.29350221917086333,99,0.7697526947826027,True,False,0.27012533272679756,0.26012533272679755,0.8470788406637582,0.1105055896511883,0.8477955999452423,0.11000500739916079,0.0007167592814843291,0.0036616437878716447,0.00190308747234149,-0.003059379141339467,0.004492897704308125,0.3766297093020398,99,0.7072548238436192,True,False,0.27012533272679756,0.26012533272679755,0.11395493278477811,0.04279869394977436,0.11362985202933135,0.042760126666378295,-0.00032508075544677675,0.0016689058053772571,0.0008673901435337481,-0.0020461709818179893,0.0013960094709244359,-0.37478031987128363,99,0.7086254937556715,True,False,0.27012533272679756,0.26012533272679755,1.0,False,1.0,False,0.9598726596818761,False,False
standardized,NR-AhR,HA1E,20,5,100,727,14540,0.5269568402254392,0.12324704775259407,0.5296545929638661,0.1259498494522391,0.0026977527384268794,0.014778027261879604,0.007664411048210142,-0.012510101586762115,0.017905607063615873,0.3519843496724881,99,0.7255981316445295,True,False,0.26898288645974266,0.25898288645974266,0.8059307576553303,0.05619372134183043,0.805796415170593,0.05648309645974051,-0.00013434248473730801,0.004098787924134977,0.0021257773377537275,-0.004352345913441253,0.004083660943966636,-0.06319687502138178,99,0.9497371559989194,True,False,0.26898288645974266,0.25898288645974266,0.3015671590415361,0.05044294256009146,0.30089800848043224,0.049579300853722606,-0.0006691505611039234,0.00460956767282136,0.002390685899611123,-0.005412790048845099,0.004074488926637252,-0.2798989868191257,99,0.7801389905329952,True,False,0.26898288645974266,0.25898288645974266,1.0,False,1.0,False,1.0,False,False
standardized,NR-AhR,HT29,20,5,100,516,10320,0.5213510870214929,0.1434165614115317,0.5213510870214929,0.1434165614115317,0.0,0.0,0.0,,,,99,,False,True,0.26730018329902844,0.25730018329902843,0.8048287728765016,0.06291031077085374,0.8048287728765016,0.06291031077085374,0.0,0.0,0.0,,,,99,,False,True,0.26730018329902844,0.25730018329902843,0.2994231587186774,0.05589510344526856,0.2994231586191051,0.05589510343497404,-9.957233398916188e-11,3.4329261880464946e-10,1.774859967884003e-10,,,,99,,False,True,0.26730018329902844,0.25730018329902843,1.0,False,1.0,False,1.0,False,False
standardized,NR-AhR,MCF7,20,5,100,1099,21980,0.46830660791100187,0.12386753892161308,0.4680097552348916,0.12289564501571401,-0.00029685267611021996,0.007440270171034578,0.0038737943822479692,-0.007983301156025746,0.007389595803805306,-0.07663098420261424,99,0.9390717628980815,True,False,0.2710789021790365,0.2610789021790365,0.8090778639839897,0.04582929147028669,0.8095193660774385,0.04620639410632202,0.00044150209344867504,0.003318381669329906,0.0017277233182807078,-0.0029866758022007367,0.0038696799890980864,0.2555398128723658,99,0.7988363652881162,True,False,0.2710789021790365,0.2610789021790365,0.2683812055694401,0.04761495703419811,0.26819106286195427,0.047586690573516915,-0.00019014270748580832,0.0014368553663780285,0.0007481021681238337,-0.0016745397109375177,0.001294254295965901,-0.25416676436410746,99,0.7998938830682301,True,False,0.2710789021790365,0.2610789021790365,1.0,False,1.0,False,0.9598726596818761,False,False
standardized,NR-Aromatase,HA1E,20,5,100,655,13100,0.39677232859771294,0.127156409048289,0.4823290252352308,0.1346985834041281,0.08555669663751782,0.10140669213462734,0.05275715177719012,-0.01912493823209925,0.19023833150713487,1.6217080292516621,99,0.10804651178970755,True,False,0.27066334791457514,0.2606633479145751,0.7481170101799772,0.07822339650256017,0.786530994868166,0.07292694473231143,0.038413984688188886,0.0438416619519873,0.022808763061658417,-0.006843549621698829,0.0836715189980766,1.6841765853038686,99,0.09529799809504251,True,False,0.27066334791457514,0.2606633479145751,0.2614768793323567,0.05254231482521537,0.2467909072239613,0.04941396518042022,-0.014685972108395364,0.015244035872216266,0.007930757795942576,-0.03042231616541426,0.0010503719486235318,-1.8517741288113474,99,0.06703850343886189,True,False,0.27066334791457514,0.2606633479145751,0.6482790707382453,False,0.571787988570255,False,0.40223102063317134,False,False
