task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR,HA1E,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,736,94,978,0,False,True,True,False,unweighted_publication_primary,-1.918193757898505,-1.918193757898505,2.7825175310635313e-09,100000000.0,1.0,True,True,316.2277660168379,736,94,0.4189047554972734,0.4189047554972734,0.4189047554972734,0.0,0.6535303776683087,0.6535303776683087,0.6535303776683087,0.0,0.3830758008881507,0.2391242160713516,0.2391242156012863,-4.700652922462466e-10,True,False,1,3,9.745032909964924e-10,0.2000075927578443,0.0055007759947329,0,0,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,672,158,978,0,False,True,True,False,unweighted_publication_primary,-1.8904482495416224,-1.8904482495416224,3.09908765410493e-09,100000000.0,3.162277660168379,True,True,316.2277660168379,672,158,0.7719601361173075,0.7719601361173075,0.7719601361173075,0.0,0.7996575342465754,0.7996575342465754,0.7996575342465754,0.0,0.3466504462773428,0.1689420152454105,0.1689420149415944,-3.0381613891350407e-10,True,False,1,3,1.218070146049438e-09,0.2127522056611128,0.0075040030060335,0,1,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,660,170,978,0,False,True,True,False,unweighted_publication_primary,-1.8934933737267825,-1.8934933737267825,3.103416889089141e-09,100000000.0,1.0,True,True,316.2277660168379,660,170,0.2703785627276965,0.2703785627276965,0.2703785627276965,0.0,0.7032967032967032,0.7032967032967032,0.7032967032967032,0.0,0.4423244333590215,0.2574675584810332,0.2574675582298714,-2.5116186908036303e-10,True,False,1,3,1.0030640155284096e-09,0.1907473486215408,0.0085544579196721,0,2,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,660,170,978,0,False,True,True,False,unweighted_publication_primary,-1.822616692256478,-1.822616692256478,3.3208710284428554e-09,100000000.0,1.0,True,True,100.0,660,170,0.1456248443224805,0.1456248443224805,0.1456248443224805,0.0,0.6846100759144237,0.6846100759144237,0.6846100759144237,0.0,0.4047844473890477,0.1983727794256947,0.198372779547692,1.2199724563899395e-10,True,False,1,3,9.249786110665513e-10,0.2061410541253941,0.0058808519970625,0,3,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,592,238,978,0,False,True,True,False,unweighted_publication_primary,-1.9232636667922456,-1.9232636667922456,2.9112927081246513e-09,100000000.0,3.162277660168379,True,True,100.0,592,238,0.6407479096763393,0.6407479096763393,0.6407479096763393,0.0,0.7790790524354537,0.7790790524354537,0.7790790524354537,0.0,0.337230347092593,0.181916033298409,0.1819160328508566,-4.475523562863515e-10,True,False,1,3,1.0359527524012035e-09,0.2135054261152825,0.0090838129399344,0,4,2042,ca362dbb24ef751d462a52a5cade4fe1619ded879920b525964dbc430cf01154
NR-AR,HA1E,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,725,105,978,0,False,True,True,False,unweighted_publication_primary,-1.830788698292704,-1.830788698292704,3.020441801754501e-09,100000000.0,1.0,True,True,1000.0,725,105,0.1120638271070104,0.1120638271070104,0.1120638271070104,0.0,0.4381188118811881,0.4381188118811881,0.4381188118811881,0.0,0.3832596428862252,0.1652044158831633,0.1652044157224695,-1.6069381936212324e-10,True,False,1,3,1.0387763414607075e-09,0.2102117830722084,0.0044794309651479,1,0,3042,211ab1f5179a87c0e65fa8c932f38443964a86f791d8ba1dc5e461ddd4d72b68
NR-AR,HA1E,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,687,143,978,0,False,True,True,False,unweighted_publication_primary,-2.0351814285144645,-2.0351814285144645,2.7790850888448357e-09,100000000.0,1.0,True,True,100.0,687,143,0.556153095293007,0.556153095293007,0.556153095293007,0.0,0.7030812324929971,0.7030812324929971,0.7030812324929971,0.0,0.392647040945596,0.2939419547220162,0.2939419542280814,-4.939347819643558e-10,True,False,1,3,7.37554694402176e-10,0.1865315179902631,0.0068026349181309,1,1,3042,211ab1f5179a87c0e65fa8c932f38443964a86f791d8ba1dc5e461ddd4d72b68
NR-AR,HA1E,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,664,166,978,0,False,True,True,False,unweighted_publication_primary,-1.8499202800897363,-1.8499202800897363,3.053621566306353e-09,100000000.0,3.162277660168379,True,True,100.0,664,166,0.1868224704361164,0.1868224704361164,0.1868224704361164,0.0,0.620253164556962,0.620253164556962,0.620253164556962,0.0,0.3714339101412369,0.1868059952356122,0.1868059949321919,-3.0342037216080087e-10,True,False,1,3,1.012335802642525e-09,0.2088735194930032,0.0039119330467656,1,2,3042,211ab1f5179a87c0e65fa8c932f38443964a86f791d8ba1dc5e461ddd4d72b68
NR-AR,HA1E,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,574,256,978,0,False,True,True,False,unweighted_publication_primary,-1.831709055849392,-1.831709055849392,3.063836199393293e-09,100000000.0,3.162277660168379,True,True,100.0,574,256,0.6279336430938706,0.6279336430938706,0.6279336430938706,0.0,0.8168840758060547,0.8168840758060547,0.8168840758060547,0.0,0.3622929746795441,0.1727208908472888,0.1727208905089081,-3.3838071233915907e-10,True,False,1,3,8.354652126368877e-10,0.2186945985240253,0.0053045729873701,1,3,3042,211ab1f5179a87c0e65fa8c932f38443964a86f791d8ba1dc5e461ddd4d72b68
NR-AR,HA1E,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,670,160,978,0,False,True,True,False,unweighted_publication_primary,-1.9060882084843829,-1.9060882084843829,3.323752772329307e-09,100000000.0,1.0,True,True,100.0,670,160,0.5019742893018756,0.5019742893018756,0.5019742893018756,0.0,0.8178963893249608,0.8178963893249608,0.8178963893249608,0.0,0.4015838010677047,0.2273537256375392,0.2273537256683144,3.077524346473126e-11,True,False,1,3,1.4018687209335632e-09,0.1989444814929984,0.0048019490204751,1,4,3042,211ab1f5179a87c0e65fa8c932f38443964a86f791d8ba1dc5e461ddd4d72b68
