task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR,HEPG2,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,452,132,978,0,True,True,-1.9219137551619379,True,0.1808383494811098,0.3616766989622196,False,False,1,3,42,42,1,4.2858060850248236e-10,0.1788274219264134,0.02261284098494798,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,452,132,978,0,True,True,-1.9219137551619379,True,0.18083834932505394,0.3616766986501079,True,False,1,3,42,42,1,7.736748724312958e-10,0.17882742123614248,0.019623014028184116,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,452,132,978,0,True,True,-1.9219137551619379,True,0.1808383488315621,0.3616766976631242,True,False,1,3,42,42,1,2.4373333282201592e-09,0.17882741905331426,0.019480529939755797,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,452,132,978,0,True,True,-1.9219137551619379,True,0.18083834727100492,0.36167669454200985,True,False,1,3,42,42,1,7.685023359002563e-09,0.17882741215060713,0.01947829802520573,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,452,132,978,0,True,True,-1.9219137551619379,True,0.1808383423360995,0.361676684672199,True,False,1,3,42,42,1,2.4301881892258015e-08,0.1788273903223476,0.01901718496810645,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,452,132,978,0,True,True,-1.9219137551619379,True,0.18083832673065622,0.36167665346131245,True,False,1,3,42,42,1,7.684621714486306e-08,0.17882732129550108,0.01968374801799655,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,452,132,978,0,True,True,-1.9219137551619379,True,0.18083827738288957,0.36167655476577915,True,False,1,3,42,42,1,2.429995263220769e-07,0.17882710301515586,0.0181839739670977,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,452,132,978,0,True,True,-1.9219137551619379,True,0.18083812134132832,0.36167624268265663,True,False,1,3,42,42,1,7.683453682478386e-07,0.17882641276918895,0.01916799903847277,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,452,132,978,0,True,True,-1.9219137551619379,True,0.18083762777771994,0.3616752555554399,True,False,2,4,42,42,1,1.7813675673439278e-09,0.17882423019060587,0.024651624029502273,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,452,132,978,0,True,True,-1.9219137551619379,True,0.18083606671390634,0.3616721334278127,True,False,2,4,42,42,1,1.7792787302545188e-08,0.17881732997670216,0.022683692979626358,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
