task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.21338083959469384,0.4267616791893877,False,False,1,3,42,42,1,1.1516588308002618e-09,0.2774446395929763,0.04550029197707772,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.2133808394864371,0.4267616789728742,True,False,1,3,42,42,1,1.6376475947890712e-09,0.2774446383593089,0.04353587597142905,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.2133808391440997,0.4267616782881994,True,False,1,3,42,42,1,5.232485987896607e-09,0.2774446344581105,0.03708058700431138,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.2133808380615372,0.4267616761230744,True,False,1,3,42,42,1,1.6556818267093876e-08,0.2774446221214443,0.044219408999197185,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.2133808346382098,0.4267616692764196,True,False,1,3,42,42,1,5.234906693546426e-08,0.2774445831095417,0.04107043705880642,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.21338082381305473,0.42676164762610946,True,False,1,3,42,42,1,1.6553922562150686e-07,0.2774444597436879,0.044487191014923155,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.21338078958447623,0.42676157916895247,True,False,1,3,42,42,1,5.234505234801706e-07,0.27744406963274865,0.0425667209783569,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.21338068139078709,0.42676136278157417,True,False,2,4,42,42,1,2.3817811438398007e-10,0.27744283605506703,0.05011702794581652,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.21338033967224912,0.42676067934449824,True,False,2,4,42,42,1,2.3782316012355142e-09,0.27743893575383355,0.05106659501325339,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.2133792632846559,0.4267585265693118,True,False,2,4,42,42,1,2.3670198928509023e-08,0.2774266080460261,0.05260859301779419,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.21337590126335645,0.4267518025267129,True,False,2,4,42,42,1,2.3320439259885695e-07,0.2773876853292358,0.05476156703662127,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,316.2277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.2133656725963857,0.4267313451927714,True,False,3,5,42,42,1,1.57481883731464e-08,0.27726519911307274,0.06132582004647702,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,100.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.21333697771600424,0.4266739554320085,True,False,3,5,42,42,1,3.7998329209358583e-07,0.2768835320785315,0.06284909800160676,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,31.622776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.2132742219490682,0.4265484438981364,True,False,4,6,42,42,1,4.844590420979844e-07,0.2757256990511891,0.07353312999475747,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,10.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.21323112184287057,0.42646224368574115,True,False,6,8,42,42,1,1.524766099934502e-07,0.27242373774284695,0.09275590896140784,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,3.162277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.21357441848513276,0.4271488369702655,True,False,8,10,42,42,1,2.2919781623390728e-07,0.26405327312613186,0.11433456896338612,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,1.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.21529120806731714,0.43058241613463427,True,False,12,15,42,42,1,4.689567966280339e-07,0.24608397223871858,0.17797544097993523,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,0.31622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.22166210834765276,0.44332421669530553,True,False,16,18,42,42,1,8.242076733658808e-07,0.2140173652250574,0.21251516893971711,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,2042,0,lbfgs,0.09999999999999999,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,723,286,978,0,True,True,-1.3366897418448873,True,0.2376983574700278,0.4753967149400556,True,False,23,28,42,42,1,8.705947900190325e-07,0.1696309700176092,0.3161917090183124,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
