task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.2509279718230651,0.5018559436461302,False,False,1,3,42,42,1,9.107228946675372e-10,0.2562543152008912,0.015131058054976165,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.2509279694688269,0.5018559389376538,True,False,1,3,42,42,1,1.9234369860732237e-09,0.25625431396267956,0.0190816440153867,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.25092796202407386,0.5018559240481477,True,False,1,3,42,42,1,6.207393732707289e-09,0.2562543100471112,0.01980526908300817,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.2509279384817139,0.5018558769634278,True,False,1,3,42,42,1,1.9607147263428493e-08,0.2562542976650024,0.01941887103021145,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.2509278640343999,0.5018557280687997,True,False,1,3,42,42,1,6.201187718185563e-08,0.2562542585093929,0.018761920975521207,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.25092762861297097,0.5018552572259419,True,False,1,3,42,42,1,1.9609865842609708e-07,0.2562541346890479,0.017952641006559134,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.2509268841615329,0.5018537683230658,True,False,1,3,42,42,1,6.200896936394557e-07,0.2562537431403804,0.01904945296701044,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.2509245300467198,0.5018490600934395,True,False,2,4,42,42,1,5.396191445072862e-10,0.2562525050111921,0.02440003294032067,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.2509170866433466,0.5018341732866932,True,False,2,4,42,42,1,5.393539361658872e-09,0.2562485902666497,0.025199895026162267,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.2508935577406658,0.5017871154813316,True,False,2,4,42,42,1,5.3847058643571866e-08,0.25623621638087096,0.024508215952664614,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.2508192437489058,0.5016384874978116,True,False,2,4,42,42,1,5.356919330623544e-07,0.25619714251990927,0.02350923209451139,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,316.2277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.2505851432094104,0.5011702864188208,True,False,3,5,42,42,1,4.669300299143739e-08,0.2560741249740124,0.028475285973399878,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,100.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.2498533482557908,0.4997066965115816,True,False,4,6,42,42,1,1.1726216950919133e-07,0.255690187705382,0.03670206503011286,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,31.622776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.2476159527853854,0.4952319055707708,True,False,5,7,42,42,1,5.319901319293663e-08,0.2545184160566447,0.03947584703564644,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,10.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.24124923028018858,0.48249846056037715,True,False,7,9,42,42,1,4.5683709261334915e-07,0.2511112026327352,0.056215439923107624,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,3.162277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.22727395816034437,0.45454791632068875,True,False,9,13,42,42,1,3.454837038058614e-07,0.2421965537852334,0.07233513402752578,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,1.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.21039657657053773,0.42079315314107546,True,False,13,17,42,42,1,7.847116398258282e-07,0.22321568483074525,0.09368778497446328,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
NR-Aromatase,HT29,standardized,0,2042,0,lbfgs,0.31622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,536,144,978,0,True,True,-1.9174955623250214,True,0.198363144891599,0.396726289783198,True,False,19,22,42,42,1,5.968787277575022e-07,0.19110754241249814,0.12013670802116394,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891
