task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER,HEPG2,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,296,183,978,0,True,True,-1.4236068921788054,True,0.38933578365009197,0.7786715673001839,False,False,1,3,42,42,1,4.273751829861339e-09,0.42421771217102655,0.012711556046269834,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3
NR-ER,HEPG2,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,296,183,978,0,True,True,-1.4236068921788054,True,0.3893357826617252,0.7786715653234504,True,False,1,3,42,42,1,9.26665675096694e-09,0.42421770712890355,0.009863235987722874,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3
NR-ER,HEPG2,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,296,183,978,0,True,True,-1.4236068921788054,True,0.3893357795362457,0.7786715590724914,True,False,1,3,42,42,1,2.9285148667179683e-08,0.42421769118431824,0.01068895892240107,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3
NR-ER,HEPG2,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,296,183,978,0,True,True,-1.4236068921788054,True,0.38933576965271516,0.7786715393054303,True,False,1,3,42,42,1,9.262334777805636e-08,0.4242176407631872,0.0109843909740448,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3
NR-ER,HEPG2,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,296,183,978,0,True,True,-1.4236068921788054,True,0.3893357383992849,0.7786714767985699,True,False,1,3,42,42,1,2.9290975273391084e-07,0.4242174813183182,0.011373052024282515,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3
NR-ER,HEPG2,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,296,183,978,0,True,True,-1.4236068921788054,True,0.389335639577637,0.778671279155274,True,False,1,3,42,42,1,9.262353786367722e-07,0.42421697711684486,0.01066324906423688,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3
NR-ER,HEPG2,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,296,183,978,0,True,True,-1.4236068921788054,True,0.3893353272670686,0.7786706545341372,True,False,2,4,42,42,1,3.9022039072245107e-10,0.42421538276651183,0.013906683074310422,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3
NR-ER,HEPG2,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,296,183,978,0,True,True,-1.4236068921788054,True,0.3893343411993055,0.778668682398611,True,False,2,4,42,42,1,3.9003251496583236e-09,0.4242103417348776,0.013950057094916701,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3
NR-ER,HEPG2,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,296,183,978,0,True,True,-1.4236068921788054,True,0.3893312386643818,0.7786624773287636,True,False,2,4,42,42,1,3.8944243919980526e-08,0.42419440804772085,0.0142940329387784,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3
NR-ER,HEPG2,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,296,183,978,0,True,True,-1.4236068921788054,True,0.38932158317257715,0.7786431663451543,True,False,2,4,42,42,1,3.875862286430165e-07,0.424144095426767,0.013299323036335409,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3
