task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER,HT29,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.42789775579506134,0.8557955115901227,False,False,1,3,42,42,1,4.8140669228757815e-09,0.3984938962229432,0.024233349016867578,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.4278977563123369,0.8557955126246738,True,False,1,3,42,42,1,1.0558345371614042e-08,0.39849389257689266,0.021242302027530968,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.4278977579481138,0.8557955158962276,True,False,1,3,42,42,1,3.319992602363042e-08,0.39849388104707983,0.021115269046276808,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.4278977631209754,0.8557955262419508,True,False,1,3,42,42,1,1.0495337381816183e-07,0.3984938445867212,0.02450603700708598,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.4278977794798062,0.8557955589596123,True,False,1,3,42,42,1,3.3189769505642674e-07,0.3984937292900548,0.02267455297987908,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.427897831221774,0.855795662443548,True,False,2,4,42,42,1,1.4655634344995505e-11,0.39849336470108965,0.030423994990997016,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.42789799494083425,0.8557959898816685,True,False,2,4,42,42,1,1.465329801941806e-10,0.3984922118806044,0.031373115023598075,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.4278985136393418,0.8557970272786836,True,False,2,4,42,42,1,1.4646172902949006e-09,0.39848856745204164,0.031370704993605614,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.42790016360434363,0.8558003272086873,True,False,2,4,42,42,1,1.462367722401825e-08,0.39847705383580334,0.029848590027540922,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.42790547703904097,0.8558109540780819,True,False,2,4,42,42,1,1.4552856011235127e-07,0.3984407547358918,0.029843293013982475,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.42792319796247114,0.8558463959249423,True,False,3,5,42,42,1,1.2662120910805763e-08,0.39832704867817664,0.03434256196487695,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,316.2277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.42798732587467314,0.8559746517493463,True,False,3,5,42,42,1,3.7299394555628806e-07,0.3979777083204975,0.03420868597459048,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,100.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.42824445146999296,0.8564889029399859,True,False,4,6,42,42,1,2.9799895172582386e-07,0.39695974297642556,0.04016166494693607,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,31.622776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.4292027226467762,0.8584054452935524,True,False,5,7,42,42,1,5.865458858438088e-07,0.3943043916417531,0.04256318893749267,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,10.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.431607246380121,0.863214492760242,True,False,8,10,42,42,1,8.344014784471797e-07,0.38823426997157895,0.06100133899599314,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,3.162277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.4357836328010951,0.8715672656021902,True,False,12,14,42,42,1,5.489187140227808e-07,0.37533190064333266,0.08496832696255296,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,1.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.44316036616076754,0.8863207323215351,True,False,16,20,42,42,1,5.101515585057698e-07,0.34926432782547767,0.10672539693769068,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,0.31622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.46053906632207375,0.9210781326441475,True,False,20,25,42,42,1,9.456996856139436e-07,0.3025936685389584,0.15156864398159087,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,0.09999999999999999,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.5016541367330213,1.0033082734660426,True,False,35,39,42,42,1,8.084203920019541e-07,0.23809654968707472,0.21303926093969494,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,0.03162277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.595713751132924,1.191427502265848,True,False,52,62,42,42,1,9.060883555673908e-07,0.17209720545961749,0.3512053530430421,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,0.01,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,0.7964574295772502,1.5929148591545004,True,False,74,81,42,42,1,8.909657888317478e-07,0.11649762168412017,0.49021195399109274,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,2042,0,lbfgs,0.0031622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,529,194,978,0,True,True,-1.523097663036245,True,1.1635106382772318,2.3270212765544636,True,False,98,105,42,42,1,6.82084342752947e-07,0.07342302698622528,0.36837760801427066,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
