task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ATAD5,HA1E,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,564,241,978,0,True,True,-1.1971976610482011,True,0.17465223351792059,0.34930446703584117,False,False,1,3,42,42,1,8.903329844212049e-10,0.19597562889455816,0.01213387306779623,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,564,241,978,0,True,True,-1.1971976610482011,True,0.1746522332535348,0.3493044665070696,True,False,1,3,42,42,1,2.1777281644652646e-09,0.19597562768533966,0.010792586021125317,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,564,241,978,0,True,True,-1.1971976610482011,True,0.1746522324174744,0.3493044648349488,True,False,1,3,42,42,1,6.439679504921525e-09,0.19597562386145556,0.01192478695884347,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,564,241,978,0,True,True,-1.1971976610482011,True,0.1746522297736278,0.3493044595472556,True,False,1,3,42,42,1,2.0300540363310526e-08,0.1959756117692782,0.012435595970600843,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,564,241,978,0,True,True,-1.1971976610482011,True,0.1746522214131357,0.3493044428262714,True,False,1,3,42,42,1,6.418625618856422e-08,0.19597557353051454,0.011703153955750167,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,564,241,978,0,True,True,-1.1971976610482011,True,0.17465219497578868,0.34930438995157737,True,False,1,3,42,42,1,2.0297185299861242e-07,0.19597545260951355,0.010226633050478995,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,564,241,978,0,True,True,-1.1971976610482011,True,0.17465211138205947,0.34930422276411893,True,False,1,3,42,42,1,6.418265422296343e-07,0.19597507022960448,0.010422799037769437,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,564,241,978,0,True,True,-1.1971976610482011,True,0.17465184704304304,0.3493036940860861,True,False,2,4,42,42,1,4.0444384820370605e-10,0.19597386109685555,0.012641916051506996,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,564,241,978,0,True,True,-1.1971976610482011,True,0.17465101152670548,0.34930202305341096,True,False,2,4,42,42,1,4.042467159626195e-09,0.19597003806998153,0.012761722085997462,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
SR-ATAD5,HA1E,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,564,241,978,0,True,True,-1.1971976610482011,True,0.17464837308863504,0.3492967461772701,True,False,2,4,42,42,1,4.036054410995471e-08,0.19595795445226236,0.012395058991387486,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,9325aa54554b594d02a438ed652a963628bb8b1b38ce7f9c5f4321d3b06b57a7
