task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-HSE,MCF7,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,757,230,978,0,True,True,-2.2102499879387216,True,0.2007702961703025,0.401540592340605,False,False,1,3,42,42,1,9.54438660050183e-10,0.21514184734709696,0.018586113001219928,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6
SR-HSE,MCF7,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,757,230,978,0,True,True,-2.2102499879387216,True,0.20077029534578103,0.40154059069156206,True,False,1,3,42,42,1,1.4191824104781148e-09,0.21514184632538627,0.016061660018749535,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6
SR-HSE,MCF7,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,757,230,978,0,True,True,-2.2102499879387216,True,0.20077029273841582,0.40154058547683164,True,False,1,3,42,42,1,5.110607430303116e-09,0.2151418430944536,0.016081218025647104,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6
SR-HSE,MCF7,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,757,230,978,0,True,True,-2.2102499879387216,True,0.2007702844932096,0.4015405689864192,True,False,1,3,42,42,1,1.6526299072283646e-08,0.21514183287735136,0.015920439967885613,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6
SR-HSE,MCF7,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,757,230,978,0,True,True,-2.2102499879387216,True,0.20077025841964358,0.40154051683928715,True,False,1,3,42,42,1,5.224514269125402e-08,0.2151418005680746,0.016039709094911814,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6
SR-HSE,MCF7,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,757,230,978,0,True,True,-2.2102499879387216,True,0.20077017596844143,0.40154035193688287,True,False,1,3,42,42,1,1.6523846413374343e-07,0.2151416983975474,0.015689563006162643,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6
SR-HSE,MCF7,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,757,230,978,0,True,True,-2.2102499879387216,True,0.20076991524137908,0.40153983048275815,True,False,1,3,42,42,1,5.225028703037538e-07,0.21514137530974062,0.016234723036177456,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6
SR-HSE,MCF7,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,757,230,978,0,True,True,-2.2102499879387216,True,0.20076909081944272,0.40153818163888544,True,False,2,4,42,42,1,9.726220523420537e-11,0.21514035365407091,0.02056056901346892,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6
SR-HSE,MCF7,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,757,230,978,0,True,True,-2.2102499879387216,True,0.2007664844452438,0.4015329688904876,True,False,2,4,42,42,1,9.721712462829046e-10,0.21513712327190435,0.01977775397244841,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6
SR-HSE,MCF7,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,757,230,978,0,True,True,-2.2102499879387216,True,0.2007582491390751,0.4015164982781502,True,False,2,4,42,42,1,9.707348383458658e-09,0.2151269116704523,0.020071144914254546,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,85b236e756e3cb4e75eca1ec7dd61b079dcd21821c4f2c6809d478109e22bcb6
