task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,DDR1,6.341083950203851e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PAX8,-4.146717133807959e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,RPS5,1.1054957226583201e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,ABCF1,4.935453615330206e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,SPAG7,4.110879790873817e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,RHOA,6.860325809197995e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,RNPS1,1.5635760053534023e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,SMNDC1,5.522586879081064e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,ATP6V0B,-4.531514733716677e-12,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,RPS6,1.3980350309714988e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,USP22,3.302352640587607e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,APP,1.7324161081520374e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,CLTC,-1.7750510337103762e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,MLEC,-5.559680880946999e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,CSRP1,-1.3085839677685262e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,CALM3,-6.726311403279351e-12,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PTPRF,-1.662950585115204e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,DNAJB1,3.6607376445292443e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,XBP1,1.1800900988492382e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,GRN,-1.2479832452376863e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HK1,4.67983185240265e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,KDELR2,1.215499253619642e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,SKP1,8.155771417193142e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,CAPN1,-3.4645118704739106e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,CALU,8.071100193135347e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,CTSD,7.825929320949866e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,MAT2A,1.4620119955441062e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,STMN1,1.338696962223236e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,ECH1,-4.5110440557918775e-12,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,IQGAP1,9.95713679817219e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HSPA1A,9.154716802119806e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HSPD1,1.0367315214830716e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,CIRBP,9.754234562271042e-12,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PSME1,-4.889019341396478e-14,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PAFAH1B1,1.082524876035064e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HYOU1,-5.265870544633404e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PSMD2,2.1746335658217308e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,EPRS,2.9450479715532696e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PSMD4,-1.9947420894493655e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PGAM1,4.1845318377852344e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,STAT1,2.6531526665272806e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,FKBP4,4.581373394265476e-12,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,KTN1,-4.8519111057067386e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,TMED10,-3.375340445210277e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,ALDOA,-6.078808164037018e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,TSPAN3,8.212474204430994e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,GNAS,-7.771509466423968e-12,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HIF1A,-2.7746050837048508e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,AARS,-1.4774806238598057e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,RPN1,-7.581268897230376e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PAICS,1.1377094554130717e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,BLCAP,7.095460358247089e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HADH,-1.7338032794104237e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,GNAI2,3.636174189373724e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PSMF1,5.38042511114563e-12,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,MYL9,1.2557486153530646e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,MMP2,-5.134769709387859e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,SMARCC1,2.6381221521453405e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,TM9SF2,6.859241216339038e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PIP4K2B,1.5641138131064558e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PXN,-2.223775569704333e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,COPB2,4.088353618988886e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PFKL,6.819903846524261e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PGRMC1,1.1285347102040784e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,ITGB5,7.622265933096526e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PLP2,-2.417739614203786e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,NFE2L2,-1.8333978753412483e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,MBNL1,1.3145807802158062e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,NMT1,1.572472077397495e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,BHLHE40,-1.003623082598736e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,TERF2IP,2.1412425324973715e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,FBXO7,-4.293049311679349e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,HTRA1,4.235766594843976e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,LRPAP1,-1.814292070133597e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,CREG1,-2.0306472063763645e-13,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PCNA,-1.491240844114661e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,LGMN,1.7587009135977697e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,ILK,-1.0118924943091166e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,ATP1B1,-6.7121645311123e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,SYPL1,7.394867408675402e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,TXNRD1,-4.5765272390471996e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,NUDCD3,-8.379983627925016e-13,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,TOP2A,1.6127576721292666e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,STK25,1.6825707865754075e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,EBNA1BP2,3.528012778647015e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,ARHGEF12,1.326395735410832e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,SCP2,1.3987500793962804e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,YME1L1,1.2802396053150472e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,TMEM109,-4.317772869868618e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,TPD52L2,-3.422835328181011e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,CRTAP,-1.947328310637032e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,TRAP1,1.107475423509632e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,IGF2R,-2.1536422968944706e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PHGDH,-2.3934318762570123e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,LRP10,-9.270925299077337e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,SOX4,-3.5942557210058895e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,CAT,-6.131463580632126e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,RHEB,-3.6942279864252807e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,MAPKAPK2,3.343339214121259e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,SCRN1,4.4143038490506275e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,JUN,-2.0577515535248615e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,SHC1,-1.2941190062079632e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,SQSTM1,-1.542921005518867e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,PRCP,-8.093563560695776e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,USP7,-4.108483903661707e-12,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,NFKBIA,1.2648940501739673e-10,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,G3BP1,2.8975533046795172e-12,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,TOMM70A,-4.720820655789166e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,RPA1,8.907683857776329e-11,100000000.0,-2.0230465356536245,True
NR-AR,HEPG2,standardized,0,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,ZFP36,-2.73977840818124e-11,100000000.0,-2.0230465356536245,True
