task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,DDR1,-7.576704176206552e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,PAX8,-5.966035468039545e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,RPS5,-6.325664602606239e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,ABCF1,1.2443737097729198e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,SPAG7,4.408198905101878e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,RHOA,3.892114420727658e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,RNPS1,-1.4506537901199818e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,SMNDC1,8.789491296294447e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,ATP6V0B,1.1955874614919729e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,RPS6,1.1318239924053537e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,USP22,7.651345018977928e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,APP,-7.578796691035381e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,CLTC,-8.255170027912416e-12,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,MLEC,-1.2577161682477734e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,CSRP1,-3.379260659610362e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,CALM3,-1.0329035750652714e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,PTPRF,-5.562363111297456e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,DNAJB1,1.1869677599518476e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,XBP1,2.099555091904669e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,GRN,-2.0723342673660932e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,HK1,1.3545610577634652e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,KDELR2,8.934224052679117e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,SKP1,1.98695101256991e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,CAPN1,2.401611321613524e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,CALU,9.116787274704728e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,CTSD,2.3011990325975108e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,MAT2A,1.464586911319331e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,STMN1,5.052222647177923e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,ECH1,-1.2043100727574328e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,IQGAP1,2.69149381074243e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,HSPA1A,-2.4652330570948526e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,HSPD1,4.3135542587007695e-12,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,CIRBP,2.528954240895129e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,PSME1,-1.4858898761082942e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,PAFAH1B1,-1.383599328002323e-10,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,HYOU1,5.407526144910458e-12,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,PSMD2,-4.7365934959022086e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,EPRS,9.96342344522708e-11,100000000.0,-1.8894495120608756,True
NR-AR,MCF7,standardized,0,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,PSMD4,2.0166439268335477e-11,100000000.0,-1.8894495120608756,True
