task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-AhR,HA1E,standardized,0,0,0,2042,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,DDR1,7.847020108664148e-11,100000000.0,-1.2873140041982645,True
NR-AhR,HA1E,standardized,0,0,0,2042,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,PAX8,-6.457045712318574e-11,100000000.0,-1.2873140041982645,True
NR-AhR,HA1E,standardized,0,0,0,2042,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,RPS5,-6.369013448985317e-12,100000000.0,-1.2873140041982645,True
NR-AhR,HA1E,standardized,0,0,0,2042,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,ABCF1,-3.7192497568380786e-11,100000000.0,-1.2873140041982645,True
NR-AhR,HA1E,standardized,0,0,0,2042,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,SPAG7,2.1727181569551772e-10,100000000.0,-1.2873140041982645,True
NR-AhR,HA1E,standardized,0,0,0,2042,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,RHOA,9.528727268094926e-11,100000000.0,-1.2873140041982645,True
NR-AhR,HA1E,standardized,0,0,0,2042,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,RNPS1,7.579186288642783e-11,100000000.0,-1.2873140041982645,True
NR-AhR,HA1E,standardized,0,0,0,2042,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,SMNDC1,6.681151952499151e-13,100000000.0,-1.2873140041982645,True
NR-AhR,HA1E,standardized,0,0,0,2042,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,ATP6V0B,-8.608806938884648e-11,100000000.0,-1.2873140041982645,True
NR-AhR,HA1E,standardized,0,0,0,2042,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5,RPS6,-1.0615341275976289e-10,100000000.0,-1.2873140041982645,True
