task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-AhR,HEPG2,standardized,0,0,0,2042,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,DDR1,1.4689864701508918e-10,100000000.0,-1.272834010095037,True
NR-AhR,HEPG2,standardized,0,0,0,2042,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,PAX8,-4.078300295870149e-11,100000000.0,-1.272834010095037,True
NR-AhR,HEPG2,standardized,0,0,0,2042,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,RPS5,3.987038972687921e-11,100000000.0,-1.272834010095037,True
NR-AhR,HEPG2,standardized,0,0,0,2042,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,ABCF1,-1.3018873917521613e-10,100000000.0,-1.272834010095037,True
NR-AhR,HEPG2,standardized,0,0,0,2042,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,SPAG7,1.362647412427393e-10,100000000.0,-1.272834010095037,True
NR-AhR,HEPG2,standardized,0,0,0,2042,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,RHOA,2.9528969058568175e-10,100000000.0,-1.272834010095037,True
NR-AhR,HEPG2,standardized,0,0,0,2042,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,RNPS1,1.5968671398955056e-10,100000000.0,-1.272834010095037,True
NR-AhR,HEPG2,standardized,0,0,0,2042,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,SMNDC1,9.341270858699743e-12,100000000.0,-1.272834010095037,True
NR-AhR,HEPG2,standardized,0,0,0,2042,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,ATP6V0B,-3.585190982051273e-11,100000000.0,-1.272834010095037,True
NR-AhR,HEPG2,standardized,0,0,0,2042,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,RPS6,-6.424913494986188e-11,100000000.0,-1.272834010095037,True
NR-AhR,HEPG2,standardized,0,0,0,2042,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,USP22,-1.1970486183997942e-10,100000000.0,-1.272834010095037,True
NR-AhR,HEPG2,standardized,0,0,0,2042,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,APP,-1.4031367647265029e-10,100000000.0,-1.272834010095037,True
