task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-ER,HEPG2,standardized,0,0,0,2042,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,DDR1,-7.273120588047045e-11,100000000.0,-1.4735014410217817,True
NR-ER,HEPG2,standardized,0,0,0,2042,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,PAX8,3.4874234284959384e-10,100000000.0,-1.4735014410217817,True
NR-ER,HEPG2,standardized,0,0,0,2042,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,RPS5,1.0999670182399047e-10,100000000.0,-1.4735014410217817,True
NR-ER,HEPG2,standardized,0,0,0,2042,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,ABCF1,7.838035587424954e-11,100000000.0,-1.4735014410217817,True
NR-ER,HEPG2,standardized,0,0,0,2042,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,SPAG7,-1.6747379163386094e-10,100000000.0,-1.4735014410217817,True
NR-ER,HEPG2,standardized,0,0,0,2042,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,RHOA,3.0729199389056514e-11,100000000.0,-1.4735014410217817,True
NR-ER,HEPG2,standardized,0,0,0,2042,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,RNPS1,1.3945188677339612e-10,100000000.0,-1.4735014410217817,True
NR-ER,HEPG2,standardized,0,0,0,2042,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,SMNDC1,1.3008770063637031e-10,100000000.0,-1.4735014410217817,True
NR-ER,HEPG2,standardized,0,0,0,2042,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,ATP6V0B,6.956512852365282e-11,100000000.0,-1.4735014410217817,True
NR-ER,HEPG2,standardized,0,0,0,2042,2042,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,RPS6,-1.1657130408086876e-10,100000000.0,-1.4735014410217817,True
