task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-MMP,MCF7,standardized,0,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,DDR1,0.0019734175395338706,1.0,-1.2230336405963342,False
SR-MMP,MCF7,standardized,0,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,PAX8,-0.003681105540538689,1.0,-1.2230336405963342,False
SR-MMP,MCF7,standardized,0,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,RPS5,-0.005954345630563743,1.0,-1.2230336405963342,False
SR-MMP,MCF7,standardized,0,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,ABCF1,0.011088024155323251,1.0,-1.2230336405963342,False
SR-MMP,MCF7,standardized,0,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,SPAG7,0.0008802485359206745,1.0,-1.2230336405963342,False
SR-MMP,MCF7,standardized,0,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,RHOA,-0.0010024631930131576,1.0,-1.2230336405963342,False
SR-MMP,MCF7,standardized,0,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,RNPS1,0.0007840094294766504,1.0,-1.2230336405963342,False
SR-MMP,MCF7,standardized,0,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,SMNDC1,0.015686999302520013,1.0,-1.2230336405963342,False
SR-MMP,MCF7,standardized,0,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,ATP6V0B,0.0018772050297128124,1.0,-1.2230336405963342,False
SR-MMP,MCF7,standardized,0,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,RPS6,0.0008078406489341842,1.0,-1.2230336405963342,False
SR-MMP,MCF7,standardized,0,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,USP22,-0.0063202238885402065,1.0,-1.2230336405963342,False
