task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR-LBD,MCF7,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1039,106,978,0,False,True,True,False,unweighted_publication_primary,-1.4534338280220565,-1.4534338280220565,2.113895824437163e-09,100000000.0,0.31622776601683794,True,True,100.0,1039,106,0.5026664171551943,0.5026664171551943,0.5026664171551943,0.0,0.6224489795918366,0.6224489795918366,0.6224489795918366,0.0,0.21953408448773026,0.22352298682466976,0.22352298684122857,1.6558809878830516e-11,True,False,1,3,5.152999901780753e-10,0.0990479091921494,0.023418880999088287,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,906,239,978,0,False,True,True,False,unweighted_publication_primary,-1.3755249087295345,-1.3755249087295345,1.9629829035642814e-09,100000000.0,0.31622776601683794,True,True,100.0,906,239,0.8087546189172804,0.8087546189172804,0.8087546189172804,0.0,0.9283619606200251,0.9283619606200251,0.9283619606200251,0.0,0.18140682053437693,0.1370156040909085,0.13701560389871104,-1.9219745239773545e-10,True,False,1,3,4.4970123111442994e-10,0.10345575668002076,0.04176620999351144,0,1,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,919,226,978,0,False,True,True,False,unweighted_publication_primary,-1.3399198164713517,-1.3399198164713517,2.1002416089418603e-09,100000000.0,0.31622776601683794,True,True,100.0,919,226,0.2449635566678533,0.2449635566678533,0.2449635566678533,0.0,0.706787330316742,0.706787330316742,0.706787330316742,0.0,0.13763685979141005,0.10112284974894993,0.10112284960068718,-1.4826274929991e-10,True,False,1,3,3.94833339634193e-10,0.11276716672619846,0.04485856194514781,0,2,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,792,353,978,0,False,True,True,False,unweighted_publication_primary,-1.4012302209975522,-1.4012302209975522,2.1498514040639346e-09,100000000.0,0.31622776601683794,True,True,31.622776601683796,792,353,0.6191662007535149,0.6191662007535149,0.6191662007535149,0.0,0.8973950026581605,0.8973950026581605,0.8973950026581605,0.0,0.10830438731310515,0.0797898946627145,0.07978989455032849,-1.1238600328145054e-10,True,False,1,3,2.840525523128967e-10,0.12415605813179557,0.015251907985657454,0,3,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,924,221,978,0,False,True,True,False,unweighted_publication_primary,-1.2531219472328765,-1.2531219472328765,2.217168823919446e-09,100000000.0,0.31622776601683794,True,True,100.0,924,221,0.5826562771938586,0.5826562771938586,0.5826562771938586,0.0,0.9218958611481977,0.9218958611481977,0.9218958611481977,0.0,0.14711934106010022,0.0891846533865125,0.08918465337103332,-1.547918737632159e-11,True,False,1,3,2.1485681636623788e-10,0.11578186773655741,0.024407483986578882,0,4,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1036,109,978,0,False,True,True,False,unweighted_publication_primary,-1.394975278467449,-1.394975278467449,2.0261773975890995e-09,100000000.0,0.31622776601683794,True,True,100.0,1036,109,0.549458594807432,0.549458594807432,0.549458594807432,0.0,0.8527508090614887,0.8527508090614887,0.8527508090614887,0.0,0.17259377531697281,0.13621814695645476,0.1362181468021751,-1.542796723708051e-10,True,False,1,3,1.4804030917803246e-10,0.10776334276832314,0.034687840030528605,1,0,3042,acfc2ef0cf4ed1fedf91b68b8b0ac3bafc6ab9a8f1c0916e46d4a11d669eb9d9
NR-AR-LBD,MCF7,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,924,221,978,0,False,True,True,False,unweighted_publication_primary,-1.2182300789490055,-1.2182300789490055,0.022236296019198833,10.0,0.31622776601683794,False,False,316.2277660168379,924,221,0.3461803957662218,0.3461803957662218,0.3461047983402805,-7.559742594126506e-05,0.5581039755351681,0.5581039755351681,0.5581039755351682,1.1102230246251565e-16,0.13456561074441525,0.07707805127615117,0.07717060853870966,9.255726255849583e-05,True,False,4,6,5.423853175713297e-07,0.11622922473732555,0.055922874016687274,1,1,3042,acfc2ef0cf4ed1fedf91b68b8b0ac3bafc6ab9a8f1c0916e46d4a11d669eb9d9
NR-AR-LBD,MCF7,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,921,224,978,0,False,True,True,False,unweighted_publication_primary,-1.3251041330545426,-1.3251041330545426,1.9049421349019348e-09,100000000.0,1.0,True,True,100.0,921,224,0.32203067836305477,0.32203067836305477,0.32203067836305477,0.0,0.8715277777777779,0.8715277777777779,0.8715277777777779,0.0,0.1619289681029665,0.11355896008568586,0.1135589598514937,-2.341921656601187e-10,True,False,1,3,6.590620896251842e-10,0.10973516309371338,0.02120863599702716,1,2,3042,acfc2ef0cf4ed1fedf91b68b8b0ac3bafc6ab9a8f1c0916e46d4a11d669eb9d9
NR-AR-LBD,MCF7,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,887,258,978,0,False,True,True,False,unweighted_publication_primary,-1.4152801217494027,-1.4152801217494027,0.13621331704931988,1.0,0.31622776601683794,False,False,100.0,887,258,0.6342045607790983,0.6342045607790983,0.6890100672081005,0.05480550642900228,0.8755186721991701,0.8755186721991701,0.8906516963631925,0.015133024164022402,0.1673849622304264,0.13681161440466955,0.12398887611992267,-0.012822738284746879,True,False,10,12,1.2865778249715465e-07,0.08981383224643975,0.06183723802678287,1,3,3042,acfc2ef0cf4ed1fedf91b68b8b0ac3bafc6ab9a8f1c0916e46d4a11d669eb9d9
NR-AR-LBD,MCF7,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,812,333,978,0,False,True,True,False,unweighted_publication_primary,-1.498864041862978,-1.498864041862978,2.157914588199023e-09,100000000.0,1.0,True,True,31.622776601683796,812,333,0.7586483164113094,0.7586483164113094,0.7586483164113094,0.0,0.8905464297686893,0.8905464297686893,0.8905464297686893,0.0,0.12152692455706349,0.1057335297424742,0.10573352958933491,-1.5313929291327355e-10,True,False,1,3,2.3656609310362953e-10,0.11275711896855026,0.02952493098564446,1,4,3042,acfc2ef0cf4ed1fedf91b68b8b0ac3bafc6ab9a8f1c0916e46d4a11d669eb9d9
