task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR,HEPG2,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,584,84,978,0,False,True,True,False,unweighted_publication_primary,-2.0230465356536245,-2.0230465356536245,2.352281403268852e-09,100000000.0,0.31622776601683794,True,True,10.0,584,84,0.7777597402597403,0.7777597402597403,0.7777597402597403,0.0,0.8634868421052632,0.8634868421052632,0.8634868421052632,0.0,0.3748654495060424,0.19886398105245645,0.1988639810084019,-4.405453779554591e-11,True,False,1,3,2.761095588277307e-10,0.17898735747170627,0.01576168101746589,0,0,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,479,189,978,0,False,True,True,False,unweighted_publication_primary,-1.9311979019755496,-1.9311979019755496,2.668438701666564e-09,100000000.0,1.0,True,True,10.0,479,189,0.16479256214775168,0.16479256214775168,0.16479256214775168,0.0,0.5660493827160494,0.5660493827160494,0.5660493827160494,0.0,0.3755912776162037,0.18204711069437007,0.18204711077693586,8.256578754028965e-11,True,False,1,3,6.508779348823879e-10,0.18133344362490114,0.013598698074929416,0,1,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,533,135,978,0,False,True,True,False,unweighted_publication_primary,-2.084755276679011,-2.084755276679011,2.5365800120380086e-09,100000000.0,3.162277660168379,True,True,31.622776601683796,533,135,0.8289254264254263,0.8289254264254263,0.8289254264254263,0.0,0.9438888888888889,0.9438888888888889,0.9438888888888889,0.0,0.373108845408625,0.20470307784552216,0.20470307827905257,4.3353040601878945e-10,True,False,1,3,7.014077998968027e-10,0.17590793014435083,0.010155695024877787,0,2,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,546,122,978,0,False,True,True,False,unweighted_publication_primary,-2.0279160292382103,-2.0279160292382103,2.60467121654051e-09,100000000.0,1.0,True,True,100.0,546,122,0.5870059379684077,0.5870059379684077,0.5870059379684077,0.0,0.8151785714285714,0.8151785714285714,0.8151785714285714,0.0,0.3874693035383348,0.214468964607536,0.21446896472054033,1.1300432811722771e-10,True,False,1,3,9.064865177932369e-10,0.17413086983663872,0.02078345895279199,0,3,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,530,138,978,0,False,True,True,False,unweighted_publication_primary,-1.875026210893336,-1.875026210893336,2.6523222001150042e-09,100000000.0,100000000.0,True,False,,530,138,0.33186746707617854,0.33186746707617854,0.33186746707617854,0.0,0.8320895522388061,0.8320895522388061,0.8320895522388061,0.0,0.3504871763611227,0.12531871321266638,0.12531871322654223,1.3875844917521363e-11,True,False,1,3,2.4736425408011797e-10,0.19652861411790248,0.016502034035511315,0,4,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a
NR-AR,HEPG2,standardized,0,3043,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,584,84,978,0,False,True,True,False,unweighted_publication_primary,-2.0342355474610305,-2.0342355474610305,2.350590979482286e-09,100000000.0,100000000.0,True,False,,584,84,0.7581043956043956,0.7581043956043956,0.7581043956043956,0.0,0.7845394736842105,0.7845394736842105,0.7845394736842105,0.0,0.3597560777819818,0.20454626245155158,0.2045462625364817,8.493011849353138e-11,True,False,1,3,5.953077093778791e-10,0.17820176717271816,0.012491779052652419,1,0,3042,d71b93ec1b663f78ff6f0edb52e520afc3f6cfadf250ae216b29f88f28126f87
NR-AR,HEPG2,standardized,1,3043,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,541,127,978,0,False,True,True,False,unweighted_publication_primary,-1.945755783895901,-1.945755783895901,2.5570031415716288e-09,100000000.0,100000000.0,True,False,,541,127,0.13547760625119115,0.13547760625119115,0.13547760625119115,0.0,0.581267217630854,0.581267217630854,0.581267217630854,0.0,0.38743693063375534,0.18560070260500156,0.18560070269018236,8.518080685249174e-11,True,False,1,3,3.4001568921526726e-10,0.18053006657009965,0.016272754059173167,1,1,3042,d71b93ec1b663f78ff6f0edb52e520afc3f6cfadf250ae216b29f88f28126f87
NR-AR,HEPG2,standardized,2,3043,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,472,196,978,0,False,True,True,False,unweighted_publication_primary,-1.8591389298397225,-1.8591389298397225,2.832021736983618e-09,100000000.0,100000000.0,True,False,,472,196,0.1349255883061228,0.1349255883061228,0.1349255883061228,0.0,0.6903508771929825,0.6903508771929825,0.6903508771929825,0.0,0.3386953971397829,0.13583042152304806,0.1358304215101638,-1.2884249223077404e-11,True,False,1,3,9.35162836057657e-10,0.20107815638959198,0.010305340983904898,1,2,3042,d71b93ec1b663f78ff6f0edb52e520afc3f6cfadf250ae216b29f88f28126f87
NR-AR,HEPG2,standardized,3,3043,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,543,125,978,0,False,True,True,False,unweighted_publication_primary,-1.8985383036343126,-1.8985383036343126,2.6821344851981463e-09,100000000.0,100000000.0,True,False,,543,125,0.2298107121636533,0.2298107121636533,0.2298107121636533,0.0,0.7683333333333333,0.7683333333333333,0.7683333333333333,0.0,0.3865600199445487,0.15539842133554083,0.15539842147357397,1.38033140473226e-10,True,False,1,3,2.626602754740581e-10,0.18772443709942335,0.01686303096357733,1,3,3042,d71b93ec1b663f78ff6f0edb52e520afc3f6cfadf250ae216b29f88f28126f87
NR-AR,HEPG2,standardized,4,3043,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,532,136,978,0,False,True,True,False,unweighted_publication_primary,-2.2475490529447155,-2.2475490529447155,2.138000619843576e-09,100000000.0,100000000.0,True,False,,532,136,0.884395782856547,0.884395782856547,0.884395782856547,0.0,0.9432712215320911,0.9432712215320911,0.9432712215320911,0.0,0.399671526992697,0.2757939362252193,0.27579393617567705,-4.95422591839656e-11,True,False,1,3,8.194297844432707e-11,0.15969792519345305,0.020189551985822618,1,4,3042,d71b93ec1b663f78ff6f0edb52e520afc3f6cfadf250ae216b29f88f28126f87
NR-AR,HEPG2,standardized,0,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,595,73,978,0,False,True,True,False,unweighted_publication_primary,-1.9307481371317676,-1.9307481371317676,2.425571441463939e-09,100000000.0,100000000.0,True,False,,595,73,0.10932033983008495,0.10932033983008495,0.10932033983008495,0.0,0.4047619047619047,0.4047619047619047,0.4047619047619047,0.0,0.42117130942281794,0.1783415815839944,0.17834158166539793,8.140352281138519e-11,True,False,1,3,1.5571813326634154e-10,0.18192886945886586,0.012537184986285865,2,0,4042,f1ea710f37371fff3eabfd1995c0384d6ea1fe59529ccf5a307cf4b87eec4bf5
NR-AR,HEPG2,standardized,1,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,535,133,978,0,False,True,True,False,unweighted_publication_primary,-2.200053338607946,-2.200053338607946,2.15862640658622e-09,100000000.0,100000000.0,True,False,,535,133,0.8414089362554277,0.8414089362554277,0.8414089362554277,0.0,0.927536231884058,0.927536231884058,0.927536231884058,0.0,0.3766205981839438,0.2580495374326081,0.25804953746626835,3.366024126094658e-11,True,False,1,3,5.104893417706702e-10,0.16400097431114516,0.014347617980092764,2,1,4042,f1ea710f37371fff3eabfd1995c0384d6ea1fe59529ccf5a307cf4b87eec4bf5
