task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR,MCF7,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1005,254,978,0,False,True,True,False,unweighted_publication_primary,-1.8894495120608756,-1.8894495120608756,3.1435715003737105e-09,100000000.0,3.162277660168379,True,True,100.0,1005,254,0.4292996650227042,0.4292996650227042,0.4292996650227042,0.0,0.7613636363636364,0.7613636363636364,0.7613636363636364,0.0,0.35763289279176713,0.15734898841937542,0.15734898854840007,1.2902465207353941e-10,True,False,1,3,8.898315036198756e-10,0.1977167870943822,0.023468925966881216,0,0,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,877,382,978,0,False,True,True,False,unweighted_publication_primary,-1.9698666382490362,-1.9698666382490362,3.1461860797928117e-09,100000000.0,10.0,True,True,3162.277660168379,877,382,0.44862523495121803,0.44862523495121803,0.44862523495121803,0.0,0.6931818181818182,0.6931818181818182,0.6931818181818182,0.0,0.3386598366757283,0.1816805742291852,0.18168057411895927,-1.1022593948695203e-10,True,False,1,3,1.142099598921975e-09,0.19289876404431858,0.019986382918432355,0,1,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,991,268,978,0,False,True,True,False,unweighted_publication_primary,-2.022497529032635,-2.022497529032635,2.3364187907858434e-09,100000000.0,10.0,True,True,31.622776601683796,991,268,0.7064458941092506,0.7064458941092506,0.7064458941092506,0.0,0.8229598893499308,0.8229598893499308,0.8229598893499308,0.0,0.3988778646429977,0.22803206700740064,0.22803206652663435,-4.807662878913987e-10,True,False,1,3,8.219219853333737e-10,0.17925818822646947,0.03184434596914798,0,2,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1027,232,978,0,False,True,True,False,unweighted_publication_primary,-1.8556473833830605,-1.8556473833830605,2.4419425092557696e-09,100000000.0,100000000.0,True,False,,1027,232,0.32476438561874216,0.32476438561874216,0.32476438561874216,0.0,0.8036036036036036,0.8036036036036036,0.8036036036036036,0.0,0.38285693974035795,0.15588177968310515,0.15588177928531316,-3.9779199378919827e-10,True,False,1,3,6.061140946783672e-10,0.19736213650435067,0.038969976012595,0,3,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1136,123,978,0,False,True,True,False,unweighted_publication_primary,-2.0044401615742116,-2.0044401615742116,2.853257620552632e-09,100000000.0,3.162277660168379,True,True,1000.0,1136,123,0.4503886109095748,0.4503886109095748,0.4503886109095748,0.0,0.6574675324675324,0.6574675324675324,0.6574675324675324,0.0,0.38915427025431404,0.2705762042197247,0.27057620443453945,2.1481472156636983e-10,True,False,1,3,8.630764714023798e-10,0.1808030958361188,0.04503447096794844,0,4,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1019,240,978,0,False,True,True,False,unweighted_publication_primary,-2.05729688840992,-2.05729688840992,3.217809871020663e-09,100000000.0,3.162277660168379,True,True,316.2277660168379,1019,240,0.7251841244227799,0.7251841244227799,0.7251841244227799,0.0,0.8126511627906977,0.8126511627906977,0.8126511627906977,0.0,0.3808333594683207,0.23570112072207833,0.23570112094795634,2.2587801074003266e-10,True,False,1,3,8.690502172059578e-10,0.1790119580531818,0.021814772044308484,1,0,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116
NR-AR,MCF7,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1017,242,978,0,False,True,True,False,unweighted_publication_primary,-1.8193280907570366,-1.8193280907570366,3.160945152727095e-09,100000000.0,3.162277660168379,True,True,316.2277660168379,1017,242,0.4610069537019665,0.4610069537019665,0.4610069537019665,0.0,0.6981837606837606,0.6981837606837606,0.6981837606837606,0.0,0.3726251410207526,0.13378483460838872,0.1337848347772183,1.6882958919772761e-10,True,False,1,3,1.0643406295196556e-09,0.20331788552601834,0.05131732299923897,1,1,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116
NR-AR,MCF7,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,992,267,978,0,False,True,True,False,unweighted_publication_primary,-1.9133211721698133,-1.9133211721698133,2.39771815485801e-09,100000000.0,1.0,True,True,316.2277660168379,992,267,0.15929548540504107,0.15929548540504107,0.15929548540504107,0.0,0.6303921568627451,0.6303921568627451,0.6303921568627451,0.0,0.35649236198879786,0.17715838550689542,0.1771583850737817,-4.33113711562072e-10,True,False,1,3,4.94544767984384e-10,0.19283533940126132,0.03308638499584049,1,2,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116
NR-AR,MCF7,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,877,382,978,0,False,True,True,False,unweighted_publication_primary,-2.1096482417910813,-2.1096482417910813,2.086804420584779e-09,100000000.0,100000000.0,True,False,,877,382,0.5522319869904004,0.5522319869904004,0.5522319869904004,0.0,0.8192237561865069,0.8192237561865069,0.8192237561865069,0.0,0.3616038756772016,0.22867027457373676,0.22867027427373332,-3.00003438757912e-10,True,False,1,3,2.6016511427834343e-10,0.1734492636660222,0.03015580796636641,1,3,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116
NR-AR,MCF7,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1131,128,978,0,False,True,True,False,unweighted_publication_primary,-1.8874817459643183,-1.8874817459643183,2.877716369318399e-09,100000000.0,3.162277660168379,True,True,100.0,1131,128,0.15022966414288486,0.15022966414288486,0.15022966414288486,0.0,0.4576612903225806,0.4576612903225806,0.4576612903225806,0.0,0.3820580766053513,0.14555643572569354,0.14555643586563075,1.3993720071603377e-10,True,False,1,3,8.490184180698357e-10,0.1945615491939433,0.031659384025260806,1,4,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116
