task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AhR,HEPG2,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,524,61,978,0,False,True,True,False,unweighted_publication_primary,-1.272834010095037,-1.272834010095037,5.077087742050067e-09,100000000.0,3.162277660168379,True,True,316.2277660168379,524,61,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.7627118644067796,0.7627118644067796,0.7627118644067796,0.0,0.2835998224984821,0.1379386791533666,0.13793867862236267,-5.310039352668383e-10,True,False,1,3,1.0499150160381276e-09,0.2997937544192338,0.015212845988571644,0,0,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3
NR-AhR,HEPG2,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,415,170,978,0,False,True,True,False,unweighted_publication_primary,-1.317804847477943,-1.317804847477943,0.015493086899976609,31.622776601683796,3.162277660168379,False,False,1000.0,415,170,0.3593544237289568,0.3593544237289568,0.3803850789245811,0.021030655195624304,0.6766666666666667,0.6766666666666667,0.6773333333333333,0.0006666666666665932,0.44555635695817625,0.32806226914449854,0.3273021022941356,-0.0007601668503629533,True,False,5,7,1.266060542463171e-07,0.2600776130260698,0.017225353978574276,0,1,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3
NR-AhR,HEPG2,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,478,107,978,0,False,True,True,False,unweighted_publication_primary,-1.374485951839066,-1.374485951839066,0.0016590106676567862,316.2277660168379,1.0,False,False,1000.0,478,107,0.6702226915566467,0.6702226915566467,0.6665590712263597,-0.0036636203302869985,0.8159420289855073,0.8159420289855073,0.8159420289855073,0.0,0.36595806981078866,0.28735573167286843,0.2873067738691448,-4.895780372360381e-05,True,False,3,5,4.737944667848604e-08,0.2813651281650376,0.012170623987913132,0,2,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3
NR-AhR,HEPG2,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,465,120,978,0,False,True,True,False,unweighted_publication_primary,-1.4751938469244306,-1.4751938469244306,0.004726369638615106,100.0,1.0,False,False,316.2277660168379,465,120,0.5713772877741057,0.5713772877741057,0.5744624745010453,0.0030851867269395816,0.829077644606566,0.829077644606566,0.8322042730588849,0.0031266284523189247,0.3750728890791482,0.34423289776563604,0.34314831659476697,-0.00108458117086907,True,False,4,6,9.251122544580437e-08,0.26679977804304167,0.019963440019637346,0,3,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3
NR-AhR,HEPG2,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,458,127,978,0,False,True,True,False,unweighted_publication_primary,-1.2484045473689884,-1.2484045473689884,5.488441906289122e-09,100000000.0,1.0,True,True,1000.0,458,127,0.17946660259676286,0.17946660259676286,0.17946660259676286,0.0,0.7372881355932204,0.7372881355932204,0.7372881355932204,0.0,0.37266666654763364,0.24133841124927552,0.24133841103953474,-2.0974078029922794e-10,True,False,1,3,1.5963911581540202e-09,0.29465030653525465,0.009728827979415655,0,4,2042,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3
NR-AhR,HEPG2,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,525,60,978,0,False,True,True,False,unweighted_publication_primary,-1.3194235103432126,-1.3194235103432126,5.0954159577040605e-09,100000000.0,1.0,True,True,316.2277660168379,525,60,0.8293859649122807,0.8293859649122807,0.8293859649122807,0.0,0.9182692307692307,0.9182692307692307,0.9182692307692307,0.0,0.36193063564107547,0.23361447126163642,0.2336144709173305,-3.4430591711043235e-10,True,False,1,3,1.2076560550189352e-09,0.2883762205436344,0.01610484893899411,1,0,3042,3b87eb1362ae69ac93ed3e26e186233dfd9d83b564666db453b5815eae116844
NR-AhR,HEPG2,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,474,111,978,0,False,True,True,False,unweighted_publication_primary,-1.3320879650175794,-1.3320879650175794,5.248405332974233e-09,100000000.0,3.162277660168379,True,True,1000.0,474,111,0.42676667133286383,0.42676667133286383,0.42676667133286383,0.0,0.7445544554455445,0.7445544554455445,0.7445544554455445,0.0,0.3494484026692931,0.25858755771997394,0.2585875570657233,-6.54250653653321e-10,True,False,1,3,1.5841907612113015e-09,0.28840831807969114,0.010410974966362119,1,1,3042,3b87eb1362ae69ac93ed3e26e186233dfd9d83b564666db453b5815eae116844
NR-AhR,HEPG2,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,482,103,978,0,False,True,True,False,unweighted_publication_primary,-1.2926116041076994,-1.2926116041076994,0.04253986669810452,10.0,1.0,False,False,1000.0,482,103,0.21770125030137605,0.21770125030137605,0.24324620545892775,0.025544955157551702,0.6150537634408602,0.6150537634408602,0.6537634408602151,0.03870967741935494,0.44439672811210723,0.31290454347818464,0.30472773628782873,-0.008176807190355906,True,False,7,9,1.2824021580412626e-07,0.2662321515396663,0.02805779897607863,1,2,3042,3b87eb1362ae69ac93ed3e26e186233dfd9d83b564666db453b5815eae116844
NR-AhR,HEPG2,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,469,116,978,0,False,True,True,False,unweighted_publication_primary,-1.4000441751199673,-1.4000441751199673,4.760927429777412e-09,100000000.0,31.622776601683796,True,True,100.0,469,116,0.6426997318843679,0.6426997318843679,0.6426997318843679,0.0,0.8900560224089635,0.8900560224089635,0.8900560224089635,0.0,0.2969022015218925,0.2485042519870961,0.2485042503173833,-1.6697128124576466e-09,True,False,1,3,8.835264776740903e-10,0.2914487430005922,0.01071499998215586,1,3,3042,3b87eb1362ae69ac93ed3e26e186233dfd9d83b564666db453b5815eae116844
NR-AhR,HEPG2,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,390,195,978,0,False,True,True,False,unweighted_publication_primary,-1.3281451456914222,-1.3281451456914222,5.563140918133354e-09,100000000.0,3.162277660168379,True,True,1000.0,390,195,0.37610524320240807,0.37610524320240807,0.37610524320240807,0.0,0.7252275025278059,0.7252275025278059,0.7252275025278059,0.0,0.42985111517567354,0.3175546916757483,0.3175546910766762,-5.990720697290897e-10,True,False,1,3,8.191985423344761e-10,0.2653499275825003,0.006399143021553755,1,4,3042,3b87eb1362ae69ac93ed3e26e186233dfd9d83b564666db453b5815eae116844
