task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-Aromatase,MCF7,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,820,201,978,0,False,True,True,False,unweighted_publication_primary,-2.075493529871008,-2.075493529871008,4.187047057678838e-09,100000000.0,1.0,True,True,316.2277660168379,820,201,0.3422680754700639,0.3422680754700639,0.3422680754700639,0.0,0.7746163682864451,0.7746163682864451,0.7746163682864451,0.0,0.4999794502020472,0.25548963551467396,0.2554896354997611,-1.491284873367249e-11,True,False,1,3,7.280434727308105e-10,0.22139972932532048,0.035679782973602414,0,0,2042,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76
NR-Aromatase,MCF7,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,829,192,978,0,False,True,True,False,unweighted_publication_primary,-2.2170926838830867,-2.2170926838830867,0.1913095260530735,1.0,1.0,False,False,3162.277660168379,829,192,0.4304696999627774,0.4304696999627774,0.5455078304299672,0.1150381304671898,0.7563673784409571,0.7563673784409571,0.8420375611011063,0.08567018266014914,0.48290662354666986,0.33576125395689244,0.29190876704395113,-0.0438524869129413,True,False,13,15,5.154989819334405e-07,0.17527618161396827,0.07336988393217325,0,1,2042,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76
NR-Aromatase,MCF7,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,797,224,978,0,False,True,True,False,unweighted_publication_primary,-1.9871728759139435,-1.9871728759139435,0.037165631738548935,10.0,0.31622776601683794,False,False,1000.0,797,224,0.4693066450010895,0.4693066450010895,0.4725303601461488,0.0032237151450593138,0.7940251572327044,0.7940251572327044,0.8121069182389937,0.018081761006289332,0.44439654146154545,0.17666842910814953,0.1733979324043755,-0.003270496703774023,True,False,5,7,9.946659353804455e-07,0.2351001788635114,0.04438352305442095,0,2,2042,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76
NR-Aromatase,MCF7,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,940,81,978,0,False,True,True,False,unweighted_publication_primary,-2.0771919038929436,-2.0771919038929436,0.08541600668157284,3.162277660168379,1.0,False,False,1000.0,940,81,0.6078417958852742,0.6078417958852742,0.7037603347790728,0.09591853889379864,0.8578767123287672,0.8578767123287672,0.8698630136986302,0.011986301369863006,0.47211789684446415,0.24833522538578268,0.2320684931063198,-0.016266732279462875,True,False,8,10,9.284123923055006e-07,0.21068069677757387,0.062344414996914566,0,3,2042,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76
NR-Aromatase,MCF7,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,698,323,978,0,False,True,True,False,unweighted_publication_primary,-1.929804090463848,-1.929804090463848,0.03798761482476328,10.0,0.31622776601683794,False,False,316.2277660168379,698,323,0.2251089951986871,0.2251089951986871,0.26399504502823457,0.038886049829547464,0.7267915309446255,0.7267915309446255,0.7178338762214984,-0.00895765472312704,0.45777866733797834,0.18637652320369874,0.18442882501546215,-0.0019476981882365907,True,False,6,8,7.276976475221715e-07,0.23996759309216953,0.039566725958138704,0,4,2042,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76
NR-Aromatase,MCF7,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,819,202,978,0,False,True,True,False,unweighted_publication_primary,-2.09864037931881,-2.09864037931881,3.3677635717885274e-09,100000000.0,0.31622776601683794,True,True,100.0,819,202,0.5009748353651639,0.5009748353651639,0.5009748353651639,0.0,0.7983091787439613,0.7983091787439613,0.7983091787439613,0.0,0.4679711838953654,0.24763397834994313,0.247633977544404,-8.055391353956054e-10,True,False,1,3,9.710085790981537e-10,0.22335097843511328,0.02125861996319145,1,0,3042,f879cb07dabcab2d910c4e8c64d99c9118180e4f274d89e7db504a7826789d25
NR-Aromatase,MCF7,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,821,200,978,0,False,True,True,False,unweighted_publication_primary,-2.120862732161391,-2.120862732161391,0.09152395863398922,3.162277660168379,1.0,False,False,1000.0,821,200,0.38369620084379535,0.38369620084379535,0.43098260362114765,0.0472864027773523,0.8147130647130647,0.8147130647130647,0.8293650793650793,0.0146520146520146,0.4693712196466069,0.26383820190328683,0.2555992981872752,-0.008238903716011603,True,False,9,11,7.629007443762936e-07,0.20095920090325778,0.11580463103018701,1,1,3042,f879cb07dabcab2d910c4e8c64d99c9118180e4f274d89e7db504a7826789d25
NR-Aromatase,MCF7,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,680,341,978,0,False,True,True,False,unweighted_publication_primary,-1.9998896207892023,-1.9998896207892023,4.2193829378243126e-09,100000000.0,1.0,True,True,316.2277660168379,680,341,0.25589765197489034,0.25589765197489034,0.25589765197489034,0.0,0.7372023809523809,0.7372023809523809,0.7372023809523809,0.0,0.4627159201199967,0.2124535690683259,0.2124535686953985,-3.7292741117411765e-10,True,False,1,3,8.517911098682163e-10,0.23611846632128686,0.014149927999824286,1,2,3042,f879cb07dabcab2d910c4e8c64d99c9118180e4f274d89e7db504a7826789d25
NR-Aromatase,MCF7,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,936,85,978,0,False,True,True,False,unweighted_publication_primary,-2.0348713802664253,-2.0348713802664253,3.630878446981135e-09,100000000.0,1.0,True,True,100.0,936,85,0.5617108585858586,0.5617108585858586,0.5617108585858586,0.0,0.759493670886076,0.759493670886076,0.759493670886076,0.0,0.5053614375925831,0.20854817683459326,0.20854817604734463,-7.872486273985402e-10,True,False,1,3,1.3909250140553553e-09,0.22989570834015177,0.018070742953568697,1,3,3042,f879cb07dabcab2d910c4e8c64d99c9118180e4f274d89e7db504a7826789d25
NR-Aromatase,MCF7,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,828,193,978,0,False,True,True,False,unweighted_publication_primary,-2.0339048944019846,-2.0339048944019846,0.09151437303982037,3.162277660168379,0.31622776601683794,False,False,1000.0,828,193,0.4611518998000569,0.4611518998000569,0.5445327290845084,0.08338082928445156,0.7705128205128204,0.7705128205128204,0.7752136752136752,0.004700854700854795,0.4648525992800686,0.21001385617706644,0.20303545313974442,-0.0069784030373220285,True,False,9,11,9.220653067235594e-07,0.2140524412979688,0.0652479010168463,1,4,3042,f879cb07dabcab2d910c4e8c64d99c9118180e4f274d89e7db504a7826789d25
