task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ARE,HEPG2,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,371,80,978,0,False,True,True,False,unweighted_publication_primary,-0.8095656054471774,-0.8095656054471774,0.07376360610976386,10.0,1.0,False,False,3162.277660168379,371,80,0.3484721523410832,0.3484721523410832,0.4395871757698455,0.09111502342876232,0.6956521739130435,0.6956521739130435,0.761528326745718,0.06587615283267456,0.504338708138772,0.38275079117828875,0.35648714333282244,-0.02626364784546631,True,False,8,10,7.857966319371745e-07,0.4604951108742525,0.01375312393065542,0,0,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,301,150,978,0,False,True,True,False,unweighted_publication_primary,-0.9951362758312573,-0.9951362758312573,0.17678608178684585,3.162277660168379,1.0,False,False,3162.277660168379,301,150,0.4971026786733022,0.4971026786733022,0.5655209411019384,0.06841826242863619,0.693084693084693,0.693084693084693,0.725977725977726,0.032893032893033025,0.5234995116303721,0.48937016570686276,0.456327044328121,-0.03304312137874177,True,False,12,14,3.0568766383530337e-07,0.3801349539283696,0.016517838928848505,0,1,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,362,89,978,0,False,True,True,False,unweighted_publication_primary,-0.8966472022928204,-0.8966472022928204,0.15797887366186011,3.162277660168379,1.0,False,False,10000.0,362,89,0.30247732244334713,0.30247732244334713,0.5609839822680691,0.258506659824722,0.5896358543417367,0.5896358543417367,0.761204481792717,0.17156862745098034,0.6262130404793997,0.5498997310767904,0.46145973993477374,-0.08843999114201662,True,False,11,13,6.799586082864573e-07,0.3951295126386049,0.023660850943997502,0,2,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,408,43,978,0,False,True,True,False,unweighted_publication_primary,-0.9119628130291175,-0.9119628130291175,0.0713310846491388,10.0,1.0,False,False,3162.277660168379,408,43,0.6795156813309711,0.6795156813309711,0.7663392610973258,0.08682357976635469,0.8306451612903225,0.8306451612903225,0.8682795698924731,0.037634408602150615,0.5410100298137971,0.48102187869018226,0.4376151067491158,-0.04340677194106646,True,False,8,10,3.044434712731747e-07,0.4428084821041883,0.0218593260506168,0,3,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,362,89,978,0,False,True,True,False,unweighted_publication_primary,-0.8969048933773992,-0.8969048933773992,0.07605521495930592,10.0,1.0,False,False,3162.277660168379,362,89,0.47421186232097273,0.47421186232097273,0.5357413321009437,0.061529469779970924,0.7471988795518207,0.7471988795518207,0.8004201680672268,0.053221288515406084,0.5593644201876067,0.48206777180700355,0.4557680221746883,-0.02629974963231524,True,False,8,10,6.596897317509565e-07,0.43665205844565896,0.022673346917144954,0,4,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d
SR-ARE,HEPG2,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,368,83,978,0,False,True,True,False,unweighted_publication_primary,-0.8704171736594232,-0.8704171736594232,0.16667427272468283,3.162277660168379,1.0,False,False,3162.277660168379,368,83,0.41731519606618417,0.41731519606618417,0.5635220389461431,0.1462068428799589,0.694078947368421,0.694078947368421,0.759046052631579,0.06496710526315796,0.5916953505815733,0.49664706531760083,0.4542362513776761,-0.04241081393992474,True,False,11,13,9.29930556482772e-07,0.3953508019304177,0.018577959039248526,1,0,3042,1a03ae2e6fe12b2a829486f2ebd18487230c372af09184654bd01e74bd4dd7ac
SR-ARE,HEPG2,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,340,111,978,0,False,True,True,False,unweighted_publication_primary,-0.7925403592996895,-0.7925403592996895,9.895821199884659e-09,100000000.0,1.0,True,True,1000.0,340,111,0.24377834214956945,0.24377834214956945,0.24377834214956945,0.0,0.5973715651135005,0.5973715651135005,0.5973715651135005,0.0,0.5726510534951693,0.46219963315225826,0.4621996261109378,-7.0413204711350375e-09,True,False,1,3,2.3239840607480744e-09,0.4840415891902925,0.004748148028738797,1,1,3042,1a03ae2e6fe12b2a829486f2ebd18487230c372af09184654bd01e74bd4dd7ac
SR-ARE,HEPG2,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,362,89,978,0,False,True,True,False,unweighted_publication_primary,-1.0193771327462615,-1.0193771327462615,0.07451262198399897,10.0,3.162277660168379,False,False,3162.277660168379,362,89,0.5859987380350318,0.5859987380350318,0.6722894028939523,0.08629066485892056,0.7520908004778971,0.7520908004778971,0.7885304659498208,0.03643966547192368,0.5462037699454957,0.5489690956174114,0.5216146949698721,-0.027354400647539245,True,False,8,10,2.099487960739721e-07,0.42215533627056506,0.01926247391384095,1,2,3042,1a03ae2e6fe12b2a829486f2ebd18487230c372af09184654bd01e74bd4dd7ac
SR-ARE,HEPG2,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,413,38,978,0,False,True,True,False,unweighted_publication_primary,-0.891994022101879,-0.891994022101879,0.0724353825682205,10.0,1.0,False,False,3162.277660168379,413,38,0.7498015873015873,0.7498015873015873,0.8167997542997543,0.06699816699816696,0.8208333333333334,0.8208333333333334,0.8166666666666667,-0.004166666666666763,0.5097591464073039,0.4265472414061254,0.40188501121177783,-0.024662230194347545,True,False,8,10,8.301452788517238e-07,0.4456938389636217,0.016341420938260853,1,3,3042,1a03ae2e6fe12b2a829486f2ebd18487230c372af09184654bd01e74bd4dd7ac
SR-ARE,HEPG2,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,321,130,978,0,False,True,True,False,unweighted_publication_primary,-0.9221953371613365,-0.9221953371613365,0.07225009840549192,10.0,3.162277660168379,False,False,3162.277660168379,321,130,0.38108940225681365,0.38108940225681365,0.505530814924251,0.12444141266743736,0.7119082840236686,0.7119082840236686,0.7884615384615384,0.07655325443786987,0.5153375734781028,0.4582856154400475,0.4166610270674101,-0.04162458837263738,True,False,8,10,2.2163020476501094e-07,0.44976759186218046,0.022073289030231535,1,4,3042,1a03ae2e6fe12b2a829486f2ebd18487230c372af09184654bd01e74bd4dd7ac
