task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ATAD5,MCF7,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1072,124,978,0,False,True,True,False,unweighted_publication_primary,-1.3959445969163076,-1.3959445969163076,2.5170486721661037e-09,100000000.0,1.0,True,True,316.2277660168379,1072,124,0.4224386724386724,0.4224386724386724,0.4224386724386724,0.0,0.9533898305084746,0.9533898305084746,0.9533898305084746,0.0,0.2176485039813886,0.15384149480201426,0.15384149454122495,-2.607893068162781e-10,True,False,1,3,9.39707107266985e-10,0.17064929002835175,0.03754419693723321,0,0,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd
SR-ATAD5,MCF7,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,831,365,978,0,False,True,True,False,unweighted_publication_primary,-1.3799967438938647,-1.3799967438938647,2.6741809927132012e-09,100000000.0,0.09999999999999999,True,True,3.162277660168379,831,365,0.22905505266925008,0.22905505266925008,0.22905505266925008,0.0,0.8009926352865834,0.8009926352865834,0.8009926352865834,0.0,0.24738701255704193,0.17560736851974246,0.17560736829989854,-2.1984392084561932e-10,True,False,1,3,2.081793643721186e-10,0.16596853840164622,0.03618742595426738,0,1,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd
SR-ATAD5,MCF7,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,935,261,978,0,False,True,True,False,unweighted_publication_primary,-1.3964366262590966,-1.3964366262590966,2.630834006724537e-09,100000000.0,3.162277660168379,True,True,100.0,935,261,0.23285717718821303,0.23285717718821303,0.23285717718821303,0.0,0.8298181818181818,0.8298181818181818,0.8298181818181818,0.0,0.21074213822956814,0.15296862501894162,0.15296862479416107,-2.247805552801907e-10,True,False,1,3,4.2785413753576584e-10,0.17335578727572415,0.025149155990220606,0,2,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd
SR-ATAD5,MCF7,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,966,230,978,0,False,True,True,False,unweighted_publication_primary,-1.4766863230157483,-1.4766863230157483,2.6240039044469565e-09,100000000.0,0.31622776601683794,True,True,100.0,966,230,0.2514345920190197,0.2514345920190197,0.2514345920190197,0.0,0.8531746031746031,0.8531746031746031,0.8531746031746031,0.0,0.24731167082820085,0.2058156511589398,0.20581565098440505,-1.7453474776552014e-10,True,False,1,3,4.2856825380188646e-10,0.16030815360168107,0.03802704100962728,0,3,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd
SR-ATAD5,MCF7,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,980,216,978,0,False,True,True,False,unweighted_publication_primary,-1.3173075796517957,-1.3173075796517957,2.682876051611458e-09,100000000.0,0.31622776601683794,True,True,100.0,980,216,0.20491833918897628,0.20491833918897628,0.20491833918897628,0.0,0.7187499999999999,0.7187499999999999,0.7187499999999999,0.0,0.2397200244392449,0.1490632311045866,0.14906323106196273,-4.262387665043832e-11,True,False,1,3,4.826068294994101e-10,0.173438942897411,0.02687254804186523,0,4,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd
SR-ATAD5,MCF7,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1076,120,978,0,False,True,True,False,unweighted_publication_primary,-1.364313299039324,-1.364313299039324,2.4824859341397148e-09,100000000.0,0.31622776601683794,True,True,100.0,1076,120,0.18102564102564103,0.18102564102564103,0.18102564102564103,0.0,0.9008620689655172,0.9008620689655172,0.9008620689655172,0.0,0.21082893061446614,0.1314719866869166,0.13147198668029678,-6.619815806629958e-12,True,False,1,3,3.4381378299919163e-10,0.17310166338041982,0.05117028299719095,1,0,3042,d33981f16a1eb14150586ee78b43d080173d3aad58f712bc1a0b4b9c60a058fc
SR-ATAD5,MCF7,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,983,213,978,0,False,True,True,False,unweighted_publication_primary,-1.3865504700924085,-1.3865504700924085,2.552902552766316e-09,100000000.0,0.31622776601683794,True,True,100.0,983,213,0.21889302690773277,0.21889302690773277,0.21889302690773277,0.0,0.8517241379310345,0.8517241379310345,0.8517241379310345,0.0,0.2318401499232269,0.1637869228354242,0.16378692257303445,-2.623897488174265e-10,True,False,1,3,1.5591349977576996e-10,0.17001685590223686,0.027786806924268603,1,1,3042,d33981f16a1eb14150586ee78b43d080173d3aad58f712bc1a0b4b9c60a058fc
SR-ATAD5,MCF7,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,942,254,978,0,False,True,True,False,unweighted_publication_primary,-1.4639369752044187,-1.4639369752044187,2.6471984415347904e-09,100000000.0,0.31622776601683794,True,True,316.2277660168379,942,254,0.21255169215653152,0.21255169215653152,0.21255169215653152,0.0,0.804463040446304,0.804463040446304,0.804463040446304,0.0,0.2480886040168036,0.20004312798574392,0.20004312789899326,-8.675066220931171e-11,True,False,1,3,3.070803831486599e-10,0.16065111253608058,0.03333489201031625,1,2,3042,d33981f16a1eb14150586ee78b43d080173d3aad58f712bc1a0b4b9c60a058fc
SR-ATAD5,MCF7,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,964,232,978,0,False,True,True,False,unweighted_publication_primary,-1.3734618970987647,-1.3734618970987647,2.65343970066233e-09,100000000.0,3.162277660168379,True,True,31.622776601683796,964,232,0.4237876916296852,0.4237876916296852,0.4237876916296852,0.0,0.9308926367749897,0.9308926367749897,0.9308926367749897,0.0,0.2275249580522195,0.15316279331208393,0.15316279306531486,-2.4676907739440423e-10,True,False,1,3,3.159119346327066e-10,0.1727058476827178,0.022188980015926063,1,3,3042,d33981f16a1eb14150586ee78b43d080173d3aad58f712bc1a0b4b9c60a058fc
SR-ATAD5,MCF7,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,819,377,978,0,False,True,True,False,unweighted_publication_primary,-1.381916412343306,-1.381916412343306,2.945787920216551e-09,100000000.0,0.31622776601683794,True,True,100.0,819,377,0.12797853457354752,0.12797853457354752,0.12797853457354752,0.0,0.7161764705882353,0.7161764705882353,0.7161764705882353,0.0,0.23996780485020308,0.1732250356666503,0.17322503557278648,-9.386380561693386e-11,True,False,1,3,7.692734296793624e-10,0.16692244490977873,0.04046506399754435,1,4,3042,d33981f16a1eb14150586ee78b43d080173d3aad58f712bc1a0b4b9c60a058fc
