task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-HSE,HT29,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,733,73,978,0,False,True,True,False,unweighted_publication_primary,-2.203304729037759,-2.203304729037759,2.81509979388315e-09,100000000.0,1.0,True,True,31.622776601683796,733,73,0.2735483870967742,0.2735483870967742,0.2735483870967742,0.0,0.746268656716418,0.746268656716418,0.746268656716418,0.0,0.4899894497045479,0.2816733963247128,0.2816733954280129,-8.966998810144844e-10,True,False,1,3,1.2634873286510029e-09,0.2177376307180588,0.01410720101557672,0,0,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143
SR-HSE,HT29,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,651,155,978,0,False,True,True,False,unweighted_publication_primary,-2.0738101812968637,-2.0738101812968637,3.7053757903483265e-09,100000000.0,1.0,True,True,100.0,651,155,0.09610596375302256,0.09610596375302256,0.09610596375302256,0.0,0.7729306487695748,0.7729306487695748,0.7729306487695748,0.0,0.47497777370059435,0.16932542252227867,0.1693254228719106,3.496319345153154e-10,True,False,1,3,4.07286086800962e-09,0.23670621560451838,0.018210495938546956,0,1,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143
SR-HSE,HT29,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,634,172,978,0,False,True,True,False,unweighted_publication_primary,-2.1431569647896387,-2.1431569647896387,2.7892328624703726e-09,100000000.0,100000000.0,True,False,,634,172,0.4584951952267525,0.4584951952267525,0.4584951952267525,0.0,0.8771604938271605,0.8771604938271605,0.8771604938271605,0.0,0.4689684831615772,0.2003846455562665,0.2003846451234246,-4.3284190121006816e-10,True,False,1,3,1.0985146334241414e-09,0.22977943831527303,0.020588331972248852,0,2,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143
SR-HSE,HT29,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,644,162,978,0,False,True,True,False,unweighted_publication_primary,-2.22614441778319,-2.22614441778319,3.068377796405871e-09,100000000.0,10.0,True,True,100.0,644,162,0.2979621285174807,0.2979621285174807,0.2979621285174807,0.0,0.7327777777777778,0.7327777777777778,0.7327777777777778,0.0,0.48030401916741117,0.25787792373077617,0.25787792329438625,-4.363899241965896e-10,True,False,1,3,3.0559381275496733e-09,0.21496535963631602,0.022742759087122977,0,3,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143
SR-HSE,HT29,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,562,244,978,0,False,True,True,False,unweighted_publication_primary,-2.1928353569253436,-2.1928353569253436,3.5861060766039335e-09,100000000.0,31.622776601683796,True,True,316.2277660168379,562,244,0.17392344782873145,0.17392344782873145,0.17392344782873145,0.0,0.7132675438596492,0.7132675438596492,0.7132675438596492,0.0,0.48526316355988974,0.23654454088764798,0.23654454072385012,-1.637978641610971e-10,True,False,1,3,2.099551262013666e-09,0.21785034388775534,0.01317195303272456,0,4,2042,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143
SR-HSE,HT29,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,721,85,978,0,False,True,True,False,unweighted_publication_primary,-2.110309335996873,-2.110309335996873,0.07592138869942493,3.162277660168379,1.0,False,False,1000.0,721,85,0.3995760466348701,0.3995760466348701,0.1467948717948718,-0.2527811748399983,0.8008130081300814,0.8008130081300814,0.8333333333333334,0.03252032520325199,0.4744186722631612,0.15373548618607252,0.15460521061656662,0.000869724430494101,True,False,9,11,3.238211033537025e-07,0.2205032528392913,0.04630115895997733,1,0,3042,b179bb80aa6b756f2ca06a13613b9e4b384543a291be9a95ff1a5adae01182be
SR-HSE,HT29,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,564,242,978,0,False,True,True,False,unweighted_publication_primary,-2.2296887101794365,-2.2296887101794365,2.9709918246892093e-09,100000000.0,1.0,True,True,31.622776601683796,564,242,0.1265822229533303,0.1265822229533303,0.1265822229533303,0.0,0.6522875816993464,0.6522875816993464,0.6522875816993464,0.0,0.4898693654288777,0.2526804648370835,0.2526804644485065,-3.885770039069314e-10,True,False,1,3,6.286126124840918e-10,0.21112606733054937,0.02323570498265326,1,1,3042,b179bb80aa6b756f2ca06a13613b9e4b384543a291be9a95ff1a5adae01182be
SR-HSE,HT29,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,644,162,978,0,False,True,True,False,unweighted_publication_primary,-2.3628086444047898,-2.3628086444047898,3.0846132097598308e-09,100000000.0,1.0,True,True,316.2277660168379,644,162,0.48751406262333663,0.48751406262333663,0.48751406262333663,0.0,0.8085192697768763,0.8085192697768763,0.8085192697768763,0.0,0.4925628613361406,0.33262273321315355,0.332622733009992,-2.0316154314414803e-10,True,False,1,3,3.957341995763919e-09,0.19735568131394843,0.012742353952489793,1,2,3042,b179bb80aa6b756f2ca06a13613b9e4b384543a291be9a95ff1a5adae01182be
SR-HSE,HT29,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,653,153,978,0,False,True,True,False,unweighted_publication_primary,-2.0879519993663793,-2.0879519993663793,3.5044585356168806e-09,100000000.0,1.0,True,True,100.0,653,153,0.27444613135402607,0.27444613135402607,0.27444613135402607,0.0,0.8390022675736961,0.8390022675736961,0.8390022675736961,0.0,0.45720907277077133,0.1656066170527051,0.16560661710051872,4.7813614179048614e-11,True,False,1,3,2.7505052332954527e-09,0.2372807177800324,0.01932272606063634,1,3,3042,b179bb80aa6b756f2ca06a13613b9e4b384543a291be9a95ff1a5adae01182be
SR-HSE,HT29,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,642,164,978,0,False,True,True,False,unweighted_publication_primary,-2.0851491475407538,-2.0851491475407538,3.0951903714004004e-09,100000000.0,1.0,True,True,100.0,642,164,0.15077884072449288,0.15077884072449288,0.15077884072449288,0.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.0,0.4734431806281049,0.1770837765797464,0.1770837762280704,-3.5167599388152837e-10,True,False,1,3,1.370383639898165e-09,0.23559390728039098,0.013180968933738768,1,4,3042,b179bb80aa6b756f2ca06a13613b9e4b384543a291be9a95ff1a5adae01182be
