variant,task,cell,gene,mean_beta,sd_beta,n_outer_fits
standardized,NR-AR,HA1E,DDR1,1.2446200181059216e-05,0.00020351340896842233,100
standardized,NR-AR,HA1E,PAX8,-8.610785958498481e-05,0.0004878589562488764,100
standardized,NR-AR,HA1E,RPS5,-0.0001065422554320649,0.0007055277293197085,100
standardized,NR-AR,HA1E,ABCF1,3.4599484741456697e-05,0.00023421483561850183,100
standardized,NR-AR,HA1E,SPAG7,7.255130897350956e-05,0.0004132760654829913,100
standardized,NR-AR,HA1E,RHOA,-6.735205808071561e-05,0.00046474891302578385,100
standardized,NR-AR,HA1E,RNPS1,-0.0001888318833638333,0.0010057548098347912,100
standardized,NR-AR,HA1E,SMNDC1,-0.00011193123002781408,0.000795602696325031,100
standardized,NR-AR,HA1E,ATP6V0B,0.00011620626473816549,0.0006749367880111793,100
standardized,NR-AR,HA1E,RPS6,6.724227817480176e-05,0.00038141075969508076,100
standardized,NR-AR,HA1E,USP22,-2.8295767879978904e-05,0.00018907085670244456,100
standardized,NR-AR,HA1E,APP,0.0001330639289201242,0.0007753895795806619,100
standardized,NR-AR,HA1E,CLTC,0.00018516795875195247,0.0010300256573440177,100
standardized,NR-AR,HA1E,MLEC,7.570492209554341e-05,0.0003989043394710538,100
standardized,NR-AR,HA1E,CSRP1,0.0001426492006324853,0.0009610533814900672,100
standardized,NR-AR,HA1E,CALM3,0.00010455605278926727,0.0007954623726521802,100
standardized,NR-AR,HA1E,PTPRF,7.166632938025361e-05,0.00044647787256636815,100
standardized,NR-AR,HA1E,DNAJB1,4.6802238383207485e-05,0.0002881421856187529,100
standardized,NR-AR,HA1E,XBP1,1.3515967475416138e-05,0.00023441511854218396,100
standardized,NR-AR,HA1E,GRN,4.09957748584298e-05,0.0005287644763897228,100
standardized,NR-AR,HA1E,HK1,-0.0001375738820060694,0.000883514482014621,100
standardized,NR-AR,HA1E,KDELR2,9.178200442882201e-05,0.0006302774965552532,100
standardized,NR-AR,HA1E,SKP1,-0.0002860944524054122,0.00168482641011716,100
standardized,NR-AR,HA1E,CAPN1,8.759118255694845e-05,0.0004722183616380593,100
standardized,NR-AR,HA1E,CALU,-0.00010655259007457047,0.000679727856522924,100
standardized,NR-AR,HA1E,CTSD,-0.000328157353224353,0.001754859697580011,100
standardized,NR-AR,HA1E,MAT2A,3.2759386169718404e-05,0.0003102456493323307,100
