variant,task,cell,ik,y,n_repeats,mean_probability_chem,mean_probability_bio,mean_delta_probability,n_repeats_exceeding_threshold,effect_threshold,wilcoxon_alternative,wilcoxon_p_value,effect_and_stability_pass,bh_q_value,retained,classification
standardized,SR-MMP,HA1E,ACWBQPMHZXGDFX,0,20,0.13991696059483358,0.11703891736642716,-0.022878043228406385,15,-0.02,less,9.5367431640625e-07,True,2.480239319286758e-06,True,corrected
standardized,SR-MMP,HA1E,AFSOIHMEOKEZJF,0,20,0.20049555576987538,0.16059699511505499,-0.03989856065482039,16,-0.02,less,9.5367431640625e-07,True,2.480239319286758e-06,True,corrected
standardized,SR-MMP,HA1E,AGOYDEPGAOXOCK,0,20,0.07853401917446602,0.049676532166808465,-0.028857487007657556,17,-0.02,less,2.86102294921875e-06,True,6.964712431936553e-06,True,corrected
standardized,SR-MMP,HA1E,AKJHMTWEGVYYSE,1,20,0.45700211308937433,0.6236013122061846,0.16659919911681031,18,0.05,greater,9.5367431640625e-07,True,2.480239319286758e-06,True,rescued
standardized,SR-MMP,HA1E,ASUTZQLVASHGKV,0,20,0.1098321521568775,0.08083223208213755,-0.02899992007473992,16,-0.02,less,9.5367431640625e-07,True,2.480239319286758e-06,True,corrected
standardized,SR-MMP,HA1E,BBMULGJBVDDDNI,1,20,0.3541290782239974,0.476651577668759,0.12252249944476161,17,0.05,greater,9.5367431640625e-07,True,2.480239319286758e-06,True,rescued
standardized,SR-MMP,HA1E,BPICBUSOMSTKRF,0,20,0.39083864953972414,0.32657263905397166,-0.06426601048575246,19,-0.02,less,9.5367431640625e-07,True,2.480239319286758e-06,True,corrected
standardized,SR-MMP,HA1E,BPZSYCZIITTYBL,0,20,0.26463632471396326,0.22298426243687247,-0.04165206227709078,19,-0.02,less,9.5367431640625e-07,True,2.480239319286758e-06,True,corrected
standardized,SR-MMP,HA1E,CAMYKONBWHRPDD,0,20,0.1723535800098932,0.12075843582925586,-0.051595144180637355,17,-0.02,less,9.5367431640625e-07,True,2.480239319286758e-06,True,corrected
standardized,SR-MMP,HA1E,CGIGDMFJXJATDK,0,20,0.27048299761775446,0.16629235202826803,-0.1041906455894865,19,-0.02,less,9.5367431640625e-07,True,2.480239319286758e-06,True,corrected
standardized,SR-MMP,HA1E,CPZBLNMUGSZIPR,0,20,0.08752796041204806,0.05956717240557309,-0.027960788006474984,15,-0.02,less,9.5367431640625e-07,True,2.480239319286758e-06,True,corrected
standardized,SR-MMP,HA1E,CXOFVDLJLONNDW,0,20,0.20736171204878104,0.17683063953158246,-0.03053107251719863,16,-0.02,less,9.5367431640625e-07,True,2.480239319286758e-06,True,corrected
