task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR,MCF7,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.20085239571669838,0.40170479143339677,False,False,1,3,42,42,1,7.488338907291059e-10,0.18037857682391772,0.0041178950341418386,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.20085239487012754,0.4017047897402551,True,False,1,3,42,42,1,1.6636293263122548e-09,0.18037857592281406,0.0034397150157019496,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.2008523921930372,0.4017047843860744,True,False,1,3,42,42,1,5.405735142502421e-09,0.18037857307327496,0.0034207809949293733,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.2008523837273499,0.4017047674546998,True,False,1,3,42,42,1,1.7087463662773805e-08,0.18037856406225017,0.003394579980522394,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.20085235695665593,0.40170471391331186,True,False,1,3,42,42,1,5.404321389013145e-08,0.18037853556697733,0.0033993939869105816,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.20085227230188515,0.4017045446037703,True,False,1,3,42,42,1,1.708959648689945e-07,0.180378445457908,0.0033957849955186248,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.2008520046159604,0.4017040092319208,True,False,1,3,42,42,1,5.404034704708377e-07,0.18037816051696498,0.0033918259432539344,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.20085115841228188,0.40170231682456375,True,False,2,4,42,42,1,2.540593378036471e-10,0.180377259544109,0.004199002054519951,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.20084848485676676,0.4016969697135335,True,False,2,4,42,42,1,2.5370611479724747e-09,0.18037441131251414,0.004193171043880284,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.20084005443619923,0.40168010887239847,True,False,2,4,42,42,1,2.52577435945478e-08,0.18036541334519837,0.004195204004645348,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.20081363382884762,0.40162726765769524,True,False,2,4,42,42,1,2.4904436535765073e-07,0.18033704810447057,0.00419662706553936,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,316.2277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.2007323795988896,0.4014647591977792,True,False,3,5,42,42,1,1.3421302420130177e-08,0.18024822261915238,0.005004970007576048,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,100.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.20049610363957437,0.40099220727914875,True,False,3,5,42,42,1,3.8976436316992547e-07,0.17997562583398466,0.004990495042875409,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,31.622776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.19990415316519203,0.39980830633038406,True,False,5,7,42,42,1,1.473987922650903e-07,0.17918527485810498,0.006656932993791997,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,10.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.19884131732807153,0.39768263465614306,True,False,6,8,42,42,1,4.354807023407986e-07,0.17717750254591627,0.007494158926419914,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,3.162277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.19782122159651996,0.3956424431930399,True,False,9,11,42,42,1,4.687987942542625e-07,0.17293064713779663,0.012465329025872052,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,1.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.197752406770523,0.395504813541046,True,False,12,14,42,42,1,8.579220436176135e-07,0.1646070504359823,0.012982749030925333,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,2042,0,lbfgs,0.31622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,857,269,978,0,True,True,-1.978147592494888,True,0.1990479851376255,0.398095970275251,True,False,17,20,42,42,1,4.608098173241801e-07,0.14910306365341072,0.018582904944196343,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
