task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER,HT29,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,329,102,978,0,True,True,-1.3676481459275416,True,0.377817490932218,0.755634981864436,False,False,1,3,42,42,1,2.588498436428832e-09,0.4170407370192626,0.002862787921912968,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,329,102,978,0,True,True,-1.3676481459275416,True,0.377817492280358,0.755634984560716,True,False,1,3,42,42,1,5.6049390129153664e-09,0.41704073249194495,0.0022675039945170283,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,329,102,978,0,True,True,-1.3676481459275416,True,0.37781749654355135,0.7556349930871027,True,False,1,3,42,42,1,1.7699657735986696e-08,0.41704071817531374,0.0020993739599362016,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,329,102,978,0,True,True,-1.3676481459275416,True,0.3778175100249617,0.7556350200499234,True,False,1,3,42,42,1,5.596277813033068e-08,0.41704067290219404,0.0020534020150080323,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,329,102,978,0,True,True,-1.3676481459275416,True,0.3778175526570156,0.7556351053140312,True,False,1,3,42,42,1,1.7696523143054255e-07,0.4170405297364551,0.0021675690077245235,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,329,102,978,0,True,True,-1.3676481459275416,True,0.37781768747232175,0.7556353749446435,True,False,1,3,42,42,1,5.596001956022223e-07,0.4170400770109978,0.0021026369649916887,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,329,102,978,0,True,True,-1.3676481459275416,True,0.3778181137525597,0.7556362275051194,True,False,2,4,42,42,1,7.444255975541658e-11,0.41703864541099733,0.00251694000326097,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,329,102,978,0,True,True,-1.3676481459275416,True,0.37781946155488383,0.7556389231097677,True,False,2,4,42,42,1,7.440654932466817e-10,0.4170341187301533,0.0026310880202800035,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,329,102,978,0,True,True,-1.3676481459275416,True,0.37782372137186054,0.7556474427437211,True,False,2,4,42,42,1,7.429505632233768e-09,0.4170198084625865,0.002691879984922707,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,329,102,978,0,True,True,-1.3676481459275416,True,0.3778371689757726,0.7556743379515451,True,False,2,4,42,42,1,7.394425577400554e-08,0.41697459882556437,0.0025718261022120714,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
