task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-MMP,MCF7,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,672,213,978,0,True,True,-1.2204313590544316,True,0.35047212504209385,0.7009442500841877,False,False,1,3,42,42,1,5.286243161956028e-09,0.31915838109700534,0.010335693950764835,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,84b90ebb2c9b61aee857d4614cf060c5efc610a1dba1b69e6084f908ad721dc6
SR-MMP,MCF7,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,672,213,978,0,True,True,-1.2204313590544316,True,0.3504720991403138,0.7009441982806276,True,False,1,3,42,42,1,1.1647626016464407e-08,0.3191583716963106,0.010527711943723261,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,84b90ebb2c9b61aee857d4614cf060c5efc610a1dba1b69e6084f908ad721dc6
SR-MMP,MCF7,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,672,213,978,0,True,True,-1.2204313590544316,True,0.35047201723177046,0.7009440344635409,True,False,1,3,42,42,1,3.6717345979625504e-08,0.31915834196872805,0.010838602087460458,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,84b90ebb2c9b61aee857d4614cf060c5efc610a1dba1b69e6084f908ad721dc6
SR-MMP,MCF7,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,672,213,978,0,True,True,-1.2204313590544316,True,0.35047175821498716,0.7009435164299743,True,False,1,3,42,42,1,1.1611536476774376e-07,0.31915824796210324,0.01083960197865963,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,84b90ebb2c9b61aee857d4614cf060c5efc610a1dba1b69e6084f908ad721dc6
SR-MMP,MCF7,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,672,213,978,0,True,True,-1.2204313590544316,True,0.35047093913973526,0.7009418782794705,True,False,1,3,42,42,1,3.6718959412970764e-07,0.31915795068950936,0.010450990055687726,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,84b90ebb2c9b61aee857d4614cf060c5efc610a1dba1b69e6084f908ad721dc6
SR-MMP,MCF7,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,672,213,978,0,True,True,-1.2204313590544316,True,0.3504683491079628,0.7009366982159256,True,False,2,4,42,42,1,3.062700093536819e-11,0.3191570106555804,0.012835082015953958,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,84b90ebb2c9b61aee857d4614cf060c5efc610a1dba1b69e6084f908ad721dc6
SR-MMP,MCF7,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,672,213,978,0,True,True,-1.2204313590544316,True,0.35046015968170113,0.7009203193634023,True,False,2,4,42,42,1,3.062304645973235e-10,0.3191540382528,0.012689976952970028,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,84b90ebb2c9b61aee857d4614cf060c5efc610a1dba1b69e6084f908ad721dc6
SR-MMP,MCF7,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,672,213,978,0,True,True,-1.2204313590544316,True,0.35043427228061347,0.7008685445612269,True,False,2,4,42,42,1,3.0610635207151127e-09,0.31914464114422075,0.01369679905474186,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,84b90ebb2c9b61aee857d4614cf060c5efc610a1dba1b69e6084f908ad721dc6
SR-MMP,MCF7,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,672,213,978,0,True,True,-1.2204313590544316,True,0.3503525074165695,0.700705014833139,True,False,2,4,42,42,1,3.057139835033196e-08,0.3191149493958404,0.013499755063094199,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,84b90ebb2c9b61aee857d4614cf060c5efc610a1dba1b69e6084f908ad721dc6
SR-MMP,MCF7,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,672,213,978,0,True,True,-1.2204313590544316,True,0.3500949239155098,0.7001898478310196,True,False,2,4,42,42,1,3.044731863022232e-07,0.3190213002319616,0.013881115010008216,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,84b90ebb2c9b61aee857d4614cf060c5efc610a1dba1b69e6084f908ad721dc6
