task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,DDR1,-3.1785802901659665e-11,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,PAX8,1.7912601187458355e-10,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,RPS5,-2.0626092052452824e-10,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,ABCF1,1.4590016565383043e-10,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,SPAG7,3.7022336999794286e-10,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,RHOA,-3.224266781261386e-10,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,RNPS1,-2.6815026090949875e-10,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,SMNDC1,2.3650544857378443e-10,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,ATP6V0B,2.1273408356553638e-11,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,RPS6,-9.560536885044914e-12,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,USP22,-3.309740438426137e-10,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,APP,2.0987464559970572e-10,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,CLTC,-2.8988869478526965e-11,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,MLEC,-4.388654256880745e-10,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,CSRP1,-1.6665560359843177e-10,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,CALM3,-4.218491101079527e-11,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,PTPRF,1.4004657873224406e-10,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,DNAJB1,-4.349021115748833e-11,100000000.0,-1.7642840425009731,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,72505380440c79b972dfc942f1acb741652fa0c4fc620fca9df3c2516454efb6,XBP1,8.803206205486195e-11,100000000.0,-1.7642840425009731,True
