task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,DDR1,3.371538620245156e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,PAX8,-1.2527417877489199e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,RPS5,-4.604296673182902e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,ABCF1,-8.662731870947406e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,SPAG7,4.696837774566278e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,RHOA,-3.3551203929804993e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,RNPS1,-6.237189385068355e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,SMNDC1,-1.219628867729319e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,ATP6V0B,2.9299993817158737e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,RPS6,-1.2502924594347937e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,USP22,7.322039031309797e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,APP,1.973438533735417e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,CLTC,-2.0904773299827755e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,MLEC,-5.111775737699745e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,CSRP1,3.3843833832928073e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,CALM3,3.0103847115227483e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,PTPRF,3.55203423085532e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,DNAJB1,1.4800171821161007e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,XBP1,1.6859955035338544e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,GRN,2.0451063262524492e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,HK1,-2.377927324445269e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,KDELR2,2.1833745768791443e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,SKP1,5.537310394135712e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,CAPN1,-4.0559090828788566e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,CALU,-9.307702937835483e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,CTSD,5.42774426038288e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,MAT2A,-2.816204541984195e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,STMN1,-1.9404273635062383e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,ECH1,-3.0107759287503416e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,IQGAP1,-6.382530327029264e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,HSPA1A,1.7944540491949378e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,HSPD1,-5.785125681547357e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,CIRBP,2.980597503296192e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,PSME1,-4.3767147727404715e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,PAFAH1B1,-1.376414952593201e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,HYOU1,1.8998670011565569e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,PSMD2,-2.990226392708795e-12,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,EPRS,-9.634608664085214e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,PSMD4,1.654828060445754e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,PGAM1,-2.672832439782298e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,STAT1,-3.5005339331311835e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,FKBP4,8.378434428084653e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,KTN1,5.1943535344598794e-12,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,TMED10,2.1615573393768333e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,ALDOA,2.161162747388622e-12,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,TSPAN3,2.588966195531071e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,GNAS,-1.4442950599989717e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,HIF1A,1.4095423393511845e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,AARS,4.787801493149415e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,RPN1,-9.203767397758758e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,PAICS,-3.097967972781745e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,BLCAP,-2.2352198436388353e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,HADH,-9.525247398848942e-12,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,GNAI2,3.266352557688558e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,PSMF1,2.4442433889054466e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,MYL9,6.169596026217604e-11,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,MMP2,4.719481620219394e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,SMARCC1,-3.138341275224583e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,TM9SF2,-1.5946237669866033e-10,100000000.0,-1.0740392209976828,True
SR-ARE,HT29,standardized,0,0,0,2042,2042,74277b460c3d0e469c28a513bb0288130dabeb609288510273514fa7998c9ea6,PIP4K2B,-4.0485829131320104e-10,100000000.0,-1.0740392209976828,True
